BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
2175,1,0,23.8284,445.9450,95.5651,0.0000,0.0000,0,-4.8673,17.5565,0.0000
2177,1,0,23.9351,449.9440,94.5285,0.0000,0.0000,0,-4.7454,17.5571,0.0000
2178,1,0,23.6407,438.9460,94.7609,0.0000,0.0000,0,-4.6676,17.5572,0.0000
2179,1,0,23.5598,435.9460,98.6897,0.0000,0.0000,0,-4.5456,17.5579,0.0000
2180,1,0,23.9882,451.9440,96.2913,0.0000,0.0000,0,-4.4676,17.5579,0.0000
2181,1,0,23.5598,435.9460,97.6902,0.0000,0.0000,0,-4.3457,17.5585,0.0000
2182,1,0,23.6138,437.9460,97.3652,0.0000,0.0000,0,-4.2677,17.5587,0.0000
2183,1,0,24.1469,457.9430,96.7026,0.0000,0.0000,0,-4.1455,17.5592,0.0000
2184,1,0,23.7482,442.9450,98.2953,0.0000,0.0000,0,-4.0677,17.5596,0.0000
2185,1,0,24.0147,452.9440,97.8266,0.0000,0.0000,0,-3.5152,17.5619,0.0000
2186,1,0,23.7482,442.9450,96.1992,0.0000,0.0000,0,-3.4372,17.5621,0.0000
2187,1,0,23.9882,451.9440,98.9158,0.0000,0.0000,0,-3.3150,17.5625,0.0000
2188,1,0,23.9616,450.9440,97.7045,0.0000,0.0000,0,-3.2372,17.5630,0.0000
2189,1,0,24.1205,456.9440,98.1922,0.0000,0.0000,0,-3.1152,17.5642,0.0000
2190,1,0,24.1995,459.9430,96.3792,0.0000,0.0000,0,-3.0372,17.5647,0.0000
2191,1,0,24.1469,457.9430,98.4067,0.0000,0.0000,0,-2.9151,17.5652,0.0000
2192,1,0,24.1995,459.9430,99.1886,0.0000,0.0000,0,-2.8370,17.5654,0.0000
2193,1,0,24.1205,456.9440,97.4255,0.0000,0.0000,0,-2.2895,17.5678,0.0000
2194,1,0,23.9084,448.9450,95.6591,0.0000,0.0000,0,-2.2117,17.5682,0.0000
2195,1,0,23.9616,450.9440,96.6276,0.0000,0.0000,0,-2.0892,17.5686,0.0000
2196,1,0,23.9351,449.9440,97.0523,0.0000,0.0000,0,-2.0114,17.5691,0.0000
