BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
2175,1,0,23.3971,429.9470,95.6067,0.0000,0.0000,0,-134.2120,17.5895,0.0000
2177,1,0,23.3971,429.9470,92.6867,0.0000,0.0000,0,-134.0900,17.5900,0.0000
2178,1,0,23.2059,422.9480,98.7769,0.0000,0.0000,0,-134.0110,17.5900,0.0000
2179,1,0,23.3971,429.9470,98.1234,0.0000,0.0000,0,-133.8890,17.5905,0.0000
2180,1,0,23.2880,425.9470,96.6381,0.0000,0.0000,0,-133.8110,17.5907,0.0000
2181,1,0,23.3971,429.9470,97.1479,0.0000,0.0000,0,-133.6890,17.5910,0.0000
2182,1,0,23.5868,436.9460,95.5259,0.0000,0.0000,0,-133.6110,17.5914,0.0000
2183,1,0,23.2880,425.9470,97.7644,0.0000,0.0000,0,-133.4880,17.5917,0.0000
2184,1,0,23.5328,434.9460,96.8617,0.0000,0.0000,0,-133.4100,17.5920,0.0000
2185,1,0,23.5057,433.9460,97.8433,0.0000,0.0000,0,-132.8560,17.5936,0.0000
2186,1,0,23.4515,431.9470,98.9789,0.0000,0.0000,0,-132.7780,17.5939,0.0000
2187,1,0,23.6138,437.9460,99.2082,0.0000,0.0000,0,-132.6550,17.5943,0.0000
2188,1,0,23.5598,435.9460,99.0053,0.0000,0.0000,0,-132.5770,17.5946,0.0000
2189,1,0,23.7750,443.9450,97.0917,0.0000,0.0000,0,-132.4550,17.5955,0.0000
2190,1,0,23.7482,442.9450,97.2671,0.0000,0.0000,0,-132.3770,17.5961,0.0000
2191,1,0,23.8551,446.9450,96.6216,0.0000,0.0000,0,-132.2540,17.5963,0.0000
2192,1,0,23.7482,442.9450,98.8425,0.0000,0.0000,0,-132.1760,17.5965,0.0000
2193,1,0,23.5328,434.9460,96.4935,0.0000,0.0000,0,-131.6280,17.5986,0.0000
2194,1,0,23.8818,447.9450,95.6881,0.0000,0.0000,0,-131.5490,17.5990,0.0000
2195,1,0,23.7482,442.9450,95.0240,0.0000,0.0000,0,-131.4270,17.5993,0.0000
