BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
2175,1,0,24.7715,481.9400,84.3027,0.0000,0.0000,0,8.0602,-127.6800,0.0000
2177,1,0,25.6303,515.9360,94.0058,0.0000,0.0000,0,8.1827,-127.6790,0.0000
2178,1,0,25.2298,499.9380,95.4450,0.0000,0.0000,0,8.2594,-127.6790,0.0000
2179,1,0,24.9507,488.9400,92.3342,0.0000,0.0000,0,8.3818,-127.6790,0.0000
2180,1,0,23.4243,430.9470,86.7370,0.0000,0.0000,0,8.4592,-127.6790,0.0000
2181,1,0,23.8818,447.9450,84.1886,0.0000,0.0000,0,8.5824,-127.6780,0.0000
2182,1,0,24.3307,464.9430,93.3088,0.0000,0.0000,0,8.6596,-127.6780,0.0000
2183,1,0,23.5057,433.9460,91.0418,0.0000,0.0000,0,8.7826,-127.6780,0.0000
2184,1,0,24.0412,453.9440,89.8094,0.0000,0.0000,0,8.8602,-127.6780,0.0000
2185,1,0,23.2333,423.9480,88.1623,0.0000,0.0000,0,9.4125,-127.6740,0.0000
2186,1,0,22.4531,395.9510,91.6496,0.0202,0.0202,1,9.4903,-127.6750,0.1421
2187,1,0,23.3971,429.9470,88.7532,0.0000,0.0000,0,9.6119,-127.6740,0.0000
2188,1,0,25.7047,518.9360,81.2151,0.0000,0.0000,0,9.6906,-127.6750,0.0000
2189,1,0,23.4243,430.9470,91.4279,0.0000,0.0000,0,9.8127,-127.6740,0.0000
2190,1,0,24.4612,469.9420,88.0141,0.0000,0.0000,0,9.8896,-127.6730,0.0000
2191,1,0,23.6407,438.9460,92.9759,0.0000,0.0000,0,10.0123,-127.6730,0.0000
2192,1,0,23.4786,432.9470,93.8320,0.0000,0.0000,0,10.0897,-127.6720,0.0000
2193,1,0,24.0677,454.9440,88.4470,0.0000,0.0000,0,10.6368,-127.6700,0.0000
2194,1,0,23.8284,445.9450,87.0523,0.0000,0.0000,0,10.7140,-127.6700,0.0000
2195,1,0,22.4247,394.9510,93.8045,0.0000,0.0000,0,10.8371,-127.6690,0.0000
2196,1,0,23.5328,434.9460,92.8998,0.0000,0.0000,0,10.9146,-127.6690,0.0000
2197,1,0,23.3699,428.9470,97.5338,0.0000,0.0000,0,11.0381,-127.6680,0.0000
2198,1,0,25.9266,527.9350,95.9016,0.0000,0.0000,0,11.1165,-127.6690,0.0000
2199,1,0,25.2045,498.9380,95.9677,0.0000,0.0000,0,11.2374,-127.6670,0.0000
2200,1,0,25.1033,494.9390,86.1532,0.0000,0.0000,0,11.3151,-127.6680,0.0000
2213,1,0,25.0271,491.9390,92.6024,0.0000,0.0000,0,11.4292,-127.6940,0.0000
2240,1,0,25.5557,512.9370,90.6892,0.0000,0.0000,0,8.0217,-127.7190,0.0000
2241,1,0,24.9762,489.9390,91.2699,0.0000,0.0000,0,8.2208,-127.7190,0.0000
2242,1,0,24.1995,459.9430,91.4544,0.0000,0.0000,0,8.4197,-127.7180,0.0000
2243,1,0,25.0017,490.9390,96.8972,0.0000,0.0000,0,8.6210,-127.7180,0.0000
2244,1,0,23.6138,437.9460,82.5273,0.0000,0.0000,0,8.8214,-127.7160,0.0000
2245,1,0,23.8284,445.9450,91.0855,0.0000,0.0000,0,9.4509,-127.7140,0.0000
2246,1,0,24.9252,487.9400,90.7385,0.0000,0.0000,0,9.6514,-127.7130,0.0000
2247,1,0,22.5944,400.9500,85.0017,0.0000,0.0000,0,9.8509,-127.7120,0.0000
2248,1,0,24.0941,455.9440,88.1230,0.0000,0.0000,0,10.0511,-127.7110,0.0000
2249,1,0,24.1732,458.9430,91.2791,0.0000,0.0000,0,10.6758,-127.7090,0.0000
2250,1,0,22.6507,402.9500,90.4008,0.0000,0.0000,0,10.8768,-127.7080,0.0000
2251,1,0,25.4308,507.9370,86.4268,0.0000,0.0000,0,11.0762,-127.7070,0.0000
2252,1,0,24.9507,488.9400,84.7896,0.0000,0.0000,0,11.2769,-127.7060,0.0000
2285,1,0,24.6685,477.9410,95.8815,0.0000,0.0000,0,8.1212,-127.7420,0.0000
2287,1,0,25.3556,504.9380,81.5375,0.0277,0.0277,1,8.3209,-127.7400,0.1665
2288,1,0,25.0017,490.9390,90.1390,0.0000,0.0000,0,8.5220,-127.7400,0.0000
2289,1,0,24.8228,483.9400,98.2266,0.0000,0.0000,0,8.7212,-127.7390,0.0000
2290,1,0,23.5868,436.9460,83.9116,0.0000,0.0000,0,8.9216,-127.7380,0.0000
2291,1,0,22.8465,409.9490,95.5626,0.0000,0.0000,0,9.3503,-127.7370,0.0000
2292,1,0,22.3679,392.9510,95.2162,0.0000,0.0000,0,9.7505,-127.7350,0.0000
2293,1,0,22.6225,401.9500,92.2056,0.0000,0.0000,0,10.1510,-127.7330,0.0000
2294,1,0,25.1286,495.9390,89.4400,0.0000,0.0000,0,10.5761,-127.7310,0.0000
2295,1,0,23.8017,444.9450,85.9800,0.0000,0.0000,0,10.9772,-127.7300,0.0000
2356,1,0,26.8670,566.9300,88.3603,0.0000,0.0000,0,8.0828,-127.7800,0.0000
2357,1,0,24.8228,483.9400,87.5010,0.0000,0.0000,0,8.1611,-127.7790,0.0000
2358,1,0,24.1469,457.9430,95.8702,0.0000,0.0000,0,8.2824,-127.7790,0.0000
