Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
TB500M_T_TEST_RUN12,60,2175,-4.8508,130.5310,24.9252,85.7828,487.9400,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2177,-4.7296,130.5310,25.8035,89.3531,522.9350,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2178,-4.6517,130.5310,25.5058,80.0543,510.9370,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2179,-4.5292,130.5320,26.3648,95.8954,545.9330,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2180,-4.4520,130.5320,24.5132,96.3571,471.9420,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2181,-4.3291,130.5340,24.0147,82.1183,452.9440,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2182,-4.2513,130.5330,25.0017,97.9932,490.9390,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2183,-4.1293,130.5330,23.7482,87.7227,442.9450,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2184,-4.0512,130.5340,25.6799,86.6630,517.9360,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2185,-3.4997,130.5350,22.9022,79.2690,411.9490,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2186,-3.4209,130.5350,23.8551,83.7106,446.9450,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2187,-3.2981,130.5370,25.2298,93.8153,499.9380,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2188,-3.2209,130.5360,26.0490,82.0722,532.9340,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2189,-3.0992,130.5370,23.2333,90.1407,423.9480,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2190,-3.0204,130.5380,23.2880,77.9201,425.9470,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2191,-2.8977,130.5390,22.2823,94.3457,389.9520,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2192,-2.8204,130.5400,24.5909,93.1977,474.9410,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2193,-2.2731,130.5410,24.5132,87.6818,471.9420,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2194,-2.1949,130.5410,24.8228,85.0819,483.9400,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2195,-2.0720,130.5430,25.2298,89.8241,499.9380,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2196,-1.9953,130.5430,24.7715,75.6406,481.9400,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2197,-1.8723,130.5430,25.4558,94.0883,508.9370,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2198,-1.7942,130.5430,26.9616,86.1149,570.9290,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2199,-1.6715,130.5430,25.0525,90.3490,492.9390,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2200,-1.5945,130.5440,24.6685,94.1995,477.9410,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2213,-1.4812,130.5180,26.0979,94.3954,534.9340,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2240,-4.8895,130.4930,24.8228,86.5774,483.9400,4.9600,4.9600,Fail
TB500M_T_TEST_RUN12,60,2241,-4.6906,130.4930,26.2923,93.8608,542.9330,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2242,-4.4903,130.4930,25.9511,77.9899,528.9350,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2243,-4.2907,130.4940,25.3053,85.9663,502.9380,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2244,-4.0908,130.4950,24.3830,77.2664,466.9420,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2245,-3.4601,130.4970,23.9351,87.8459,449.9440,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2246,-3.2595,130.4980,24.7715,84.8836,481.9400,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2247,-3.0597,130.4990,22.8744,78.5467,410.9490,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2248,-2.8594,130.5000,24.6685,90.9127,477.9410,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2249,-2.2340,130.5030,24.8228,90.6992,483.9400,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2250,-2.0344,130.5030,23.0131,93.1286,415.9490,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2251,-1.8331,130.5050,24.7972,96.3765,482.9400,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2252,-1.6331,130.5040,24.3045,77.8774,463.9430,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2285,-4.7896,130.4700,25.4558,91.8368,508.9370,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2287,-4.5896,130.4700,25.6303,90.7125,515.9360,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2288,-4.3908,130.4710,25.3807,81.0562,505.9380,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2289,-4.1894,130.4720,24.2783,88.1238,462.9430,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2290,-3.9905,130.4730,25.0525,83.3990,492.9390,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2291,-3.5605,130.4740,23.8284,76.2755,445.9450,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2292,-3.1601,130.4770,23.3699,87.3841,428.9470,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2293,-2.7597,130.4780,25.2298,95.9293,499.9380,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2294,-2.3340,130.4790,23.6945,90.1340,440.9460,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2295,-1.9335,130.4810,25.1033,86.0695,494.9390,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2356,-4.8286,130.4310,24.8228,90.8312,483.9400,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2357,-4.7510,130.4310,25.4558,79.5310,508.9370,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2358,-4.6285,130.4310,24.1995,90.0063,459.9430,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2359,-4.5523,130.4320,25.3556,91.5044,504.9380,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2360,-4.4286,130.4320,24.7200,94.1566,479.9410,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2361,-4.3510,130.4330,23.5328,78.1511,434.9460,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2362,-4.2291,130.4340,25.5805,80.3818,513.9370,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2363,-4.1509,130.4340,23.3971,79.7157,429.9470,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2364,-4.0289,130.4330,24.7458,90.2602,480.9410,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2365,-3.9506,130.4340,23.5328,85.2566,434.9460,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2366,-3.8264,130.4340,23.8551,77.4466,446.9450,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2367,-3.7486,130.4340,23.2880,99.0746,425.9470,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2368,-3.5973,130.4350,22.2823,83.7417,389.9520,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2369,-3.5206,130.4350,22.2537,90.5957,388.9520,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2370,-3.3986,130.4350,21.4082,88.1922,359.9560,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2371,-3.3206,130.4360,23.0683,91.1889,417.9480,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2372,-3.1989,130.4370,24.3569,88.3899,465.9420,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2373,-3.1208,130.4380,23.7213,85.2699,441.9450,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2374,-2.9984,130.4380,23.8551,91.9055,446.9450,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2375,-2.9207,130.4380,24.7458,95.1973,480.9410,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2376,-2.7964,130.4390,24.3830,82.7865,466.9420,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2377,-2.7212,130.4400,23.5328,94.2813,434.9460,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2378,-2.5899,130.4390,24.2258,95.0417,460.9430,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2379,-2.5109,130.4400,24.4091,85.3379,467.9420,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2380,-2.3733,130.4410,25.0779,91.8783,493.9390,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2381,-2.2952,130.4410,23.5328,88.2707,434.9460,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2382,-2.1725,130.4410,24.9252,90.8310,487.9400,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2383,-2.0960,130.4410,24.2521,92.7550,461.9430,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2384,-1.9720,130.4420,22.2537,97.9975,388.9520,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2385,-1.8939,130.4430,23.7213,87.1564,441.9450,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2386,-1.7720,130.4430,27.1967,89.7123,580.9280,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2387,-1.6943,130.4430,24.9762,91.7300,489.9390,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2428,-4.7893,130.3920,24.1205,90.2692,456.9440,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2429,-4.5900,130.3930,26.1709,88.1745,537.9340,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2430,-4.3899,130.3930,23.3699,91.2469,428.9470,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2431,-4.1902,130.3940,23.6407,94.9313,438.9460,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2432,-3.9895,130.3940,24.3569,93.6222,465.9420,3.2200,3.2200,Fail
TB500M_T_TEST_RUN12,60,2433,-3.7871,130.3950,22.8465,96.2265,409.9490,0.0000,0.0000,Pass
TB500M_T_TEST_RUN12,60,2434,-3.3586,130.3970,23.2059,93.9550,422.9480,0.0000,0.0000,Pass
