file,recipe,n_img,n_composite,n_failed,status,nominal_um,measured_median_um
NXP-SAF85443B1-0R001BK508573860A__116522118__22_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__116522136__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,79.2
NXP-SAF85443B1-0R001BK508573860A__118222008 SGA__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,81.5
NXP-SAF85443B1-0R001BK508573860A__119012058__15_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__120082012 SFS__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,80.4
NXP-SAF85443B1-0R001BK508573860A__120082012 SFS__2_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,80.6
NXP-SAF85443B1-0R001BK508573860A__120082013 SVG__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,80.3
NXP-SAF85443B1-0R001BK508573860A__121162015 MLT__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,79.5
NXP-SAF85443B1-0R001BK508573860A__123112007__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,79.9
NXP-SAF85443B1-0R001BK508573860A__123382006__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__124322014__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,79.9
NXP-SAF85443B1-0R001BK508573860A__124322126__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,0,5,all_fail,80,
NXP-SAF85443B1-0R001BK508573860A__125132021__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,79.5
NXP-SAF85443B1-0R001BK508573860A__125152032 MLP__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,79.6
NXP-SAF85443B1-0R001BK508573860A__125332008__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,79.3
NXP-SAF85443B1-0R001BK508573860A__125342025__5_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__126042048 SVD__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,80.8
NXP-SAF85443B1-0R001BK508573860A__126163047__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,80.1
NXP-SAF85443B1-0R001BK508573860A__126163065__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__126163093_3367__17_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,0,5,all_fail,80,
NXP-SAF85443B1-0R001BK508573860A__126173002__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,79.0
NXP-SAF85443B1-0R001BK508573860A__126173027 SFW__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,81.2
NXP-SAF85443B1-0R001BK508573860A__126173042__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,79.9
NXP-SAF85443B1-0R001BK508573860A__126173050__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__126173092 SKS__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,0,5,all_fail,80,
NXP-SAF85443B1-0R001BK508573860A__126173092__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__126183024__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__126193043 LXW__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,0,5,all_fail,80,
NXP-SAF85443B1-0R001BK508573860A__126193044 SVF__1_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,5,5,0,all_pass,80,80.3
NXP-SAF85443B1-0R001BK508573860A__126193055__2_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
NXP-SAF85443B1-0R001BK508573860A__126193055__4_merged_all.xlsx,NXP-SAF85443B1-0R001BK508573860A,0,0,0,no_image,,
