gid,runid,anchor,pd,kv,R,F,W,md,q,lnq,n8,tact,bumps,lv,gold,diam_gate,n8_gate
D26-01,3709,D26,26.0,60.0,0.5,64.0,4.0,25.464,0.9794,-0.0208,14.4046,169.0,2910,0.0,Y,True,True
D26-02,3710,D26,26.0,60.0,0.5,64.0,4.0,25.436,0.9783,-0.0219,14.3888,154.0,2910,0.0,Y,True,True
D26-03,3711,D26,26.0,60.0,0.5,64.0,4.0,25.5,0.9808,-0.0194,14.425,149.0,2910,0.0,Y,True,True
D26-04,3708/3712,D26,26.0,58.0,0.5,64.0,4.0,21.305,0.8194,-0.1992,12.0519,210.0,2910,0.0,N,False,False
D26-05,3713,D26,26.0,62.0,0.5,64.0,4.0,20.469,0.7873,-0.2392,11.579,158.0,2910,0.0,N,False,False
D26-06,3714,D26,26.0,60.0,0.35,128.0,4.0,25.898,0.9961,-0.0039,20.9287,163.0,1206,0.0,N,True,True
D26-07,3715,D26,26.0,60.0,0.65,64.0,4.0,25.423,0.9778,-0.0224,11.0626,348.0,6090,0.0,N,True,False
D26-08,3717,D26,26.0,60.0,0.5,32.0,4.0,25.456,0.9791,-0.0211,14.4001,152.0,2988,0.001,N,True,True
D26-09,3716,D26,26.0,60.0,0.5,128.0,4.0,25.528,0.9818,-0.0183,14.4408,166.0,2988,0.0,N,True,True
D26-10,3718,D26,26.0,60.0,0.5,64.0,6.0,25.442,0.9785,-0.0217,14.3922,146.0,2988,0.0,N,True,True
D26-11,3720,D26,26.0,60.0,0.5,128.0,6.0,25.529,0.9819,-0.0183,14.4414,158.0,2988,0.0,N,True,True
D26-12,3719,D26,26.0,58.0,0.5,32.0,4.0,21.197,0.8153,-0.2042,11.9908,175.0,2988,0.002,N,False,False
D26-13,3721,D26,26.0,62.0,0.5,32.0,6.0,19.937,0.7668,-0.2655,11.2781,139.0,2988,0.0,N,False,False
D26-14,3728,D26,26.0,58.0,0.35,128.0,4.0,21.69,0.8342,-0.1812,17.5282,208.0,1224,0.0,N,False,True
D26-15,3729,D26,26.0,62.0,0.35,128.0,6.0,21.622,0.8316,-0.1844,17.4732,204.0,1224,1.435,N,False,True
D26-16,3730,D26,26.0,58.0,0.65,32.0,6.0,21.146,0.8133,-0.2066,9.2015,377.0,6204,0.0,N,False,False
D26-17,3731,D26,26.0,62.0,0.65,32.0,4.0,22.947,0.8826,-0.1249,9.9852,342.0,6204,2.718,N,False,False
D26-18,3732,D26,26.0,58.0,0.5,128.0,6.0,21.4,0.8231,-0.1947,12.1057,189.0,2952,0.0,N,False,False
D26-19,3733,D26,26.0,62.0,0.5,128.0,4.0,20.465,0.7871,-0.2394,11.5768,190.0,2952,0.0,N,False,False
D86-06,3736,D86,86.0,60.5,0.5,64.0,4.0,85.817,0.9979,-0.0021,48.5454,147.0,672,0.0,N,True,True
D86-12,3742,D86,86.0,58.5,0.5,32.0,4.0,82.861,0.9635,-0.0372,46.8733,116.0,672,0.0,N,False,True
D86-13,3743,D86,86.0,58.5,0.5,128.0,6.0,82.99,0.965,-0.0356,46.9462,221.0,672,0.0,N,False,True
D86-16,3746,D86,86.0,62.5,0.5,32.0,6.0,73.415,0.8537,-0.1582,41.5298,110.0,672,0.0,N,False,True
D86-17,3747,D86,86.0,62.5,0.5,128.0,4.0,71.332,0.8294,-0.187,40.3515,128.0,672,0.0,N,False,True
D86-01,3725,D86,86.0,60.5,0.8,64.0,4.0,85.558,0.9949,-0.0052,30.2493,354.0,2010,0.0,Y,True,True
D86-02,3726,D86,86.0,60.5,0.8,64.0,4.0,85.079,0.9893,-0.0108,30.08,156.0,2010,0.0,Y,True,True
D86-03,3727,D86,86.0,60.5,0.8,64.0,4.0,85.555,0.9948,-0.0052,30.2483,191.0,2010,0.0,Y,True,True
D86-04,3734,D86,86.0,58.5,0.8,64.0,4.0,82.597,0.9604,-0.0404,29.2024,168.0,2010,0.0,N,False,True
D86-05,3735,D86,86.0,62.5,0.8,64.0,4.0,76.794,0.893,-0.1132,27.1508,164.0,2010,0.0,N,False,True
D86-08,3738,D86,86.0,60.5,0.8,32.0,4.0,85.061,0.9891,-0.011,30.0736,118.0,2010,0.0,N,True,True
D86-09,3739,D86,86.0,60.5,0.8,128.0,4.0,85.266,0.9915,-0.0086,30.1461,134.0,2010,0.0,N,True,True
D86-10,3740,D86,86.0,60.5,0.8,64.0,6.0,85.008,0.9885,-0.0116,30.0549,143.0,2010,0.0,N,True,True
D86-07,3737,D86,86.0,60.5,1.5,64.0,4.0,84.257,0.9797,-0.0205,15.8877,314.0,3018,0.0,N,True,True
D86-11,3741,D86,86.0,60.5,1.5,64.0,6.0,83.745,0.9738,-0.0266,15.7911,143.0,3018,0.0,N,True,True
D86-14,3744,D86,86.0,58.5,1.5,32.0,6.0,79.805,0.928,-0.0748,15.0482,430.0,3018,0.0,N,False,True
D86-15,3745,D86,86.0,58.5,1.5,128.0,4.0,80.356,0.9344,-0.0679,15.1521,126.0,3018,0.0,N,False,True
D86-18,3748,D86,86.0,62.5,1.5,32.0,4.0,70.934,0.8248,-0.1926,13.3754,118.0,3018,0.0,N,False,False
D86-19,3749,D86,86.0,62.5,1.5,128.0,6.0,71.499,0.8314,-0.1847,13.482,127.0,3018,0.0,N,False,False
