run,kV,R,F,W,bumps,void>0,void>=8,거짓NG율%,평균void%
D26-01,60.0,0.5,64.0,4.0,2910,0,0,0.0,0.0
D26-02,60.0,0.5,64.0,4.0,2910,0,0,0.0,0.0
D26-03,60.0,0.5,64.0,4.0,2910,0,0,0.0,0.0
D26-04,58.0,0.5,64.0,4.0,2910,0,0,0.0,0.0
D26-05,62.0,0.5,64.0,4.0,2910,1,0,0.0,0.0
D26-06,60.0,0.35,128.0,4.0,1206,0,0,0.0,0.0
D26-07,60.0,0.65,64.0,4.0,6090,0,0,0.0,0.0
D26-08,60.0,0.5,32.0,4.0,2988,3,0,0.0,0.001
D26-09,60.0,0.5,128.0,4.0,2988,0,0,0.0,0.0
D26-10,60.0,0.5,64.0,6.0,2988,0,0,0.0,0.0
D26-11,60.0,0.5,128.0,6.0,2988,0,0,0.0,0.0
D26-12,58.0,0.5,32.0,4.0,2988,11,0,0.0,0.002
D26-13,62.0,0.5,32.0,6.0,2988,0,0,0.0,0.0
D26-14,58.0,0.35,128.0,4.0,1224,2,0,0.0,0.0
D26-15,62.0,0.35,128.0,6.0,1224,211,121,9.89,1.435
D26-16,58.0,0.65,32.0,6.0,6204,3,0,0.0,0.0
D26-17,62.0,0.65,32.0,4.0,6204,3879,523,8.43,2.718
D26-18,58.0,0.5,128.0,6.0,2952,1,0,0.0,0.0
D26-19,62.0,0.5,128.0,4.0,2952,0,0,0.0,0.0
D86-01,60.5,0.8,64.0,4.0,2010,4,0,0.0,0.0
D86-02,60.5,0.8,64.0,4.0,2010,1,0,0.0,0.0
D86-03,60.5,0.8,64.0,4.0,2010,1,0,0.0,0.0
D86-04,58.5,0.8,64.0,4.0,2010,0,0,0.0,0.0
D86-05,62.5,0.8,64.0,4.0,2010,0,0,0.0,0.0
D86-06,60.5,0.5,64.0,4.0,672,0,0,0.0,0.0
D86-07,60.5,1.5,64.0,4.0,3018,0,0,0.0,0.0
D86-08,60.5,0.8,32.0,4.0,2010,0,0,0.0,0.0
D86-09,60.5,0.8,128.0,4.0,2010,0,0,0.0,0.0
D86-10,60.5,0.8,64.0,6.0,2010,0,0,0.0,0.0
D86-11,60.5,1.5,64.0,6.0,3018,0,0,0.0,0.0
D86-12,58.5,0.5,32.0,4.0,672,0,0,0.0,0.0
D86-13,58.5,0.5,128.0,6.0,672,0,0,0.0,0.0
D86-14,58.5,1.5,32.0,6.0,3018,0,0,0.0,0.0
D86-15,58.5,1.5,128.0,4.0,3018,0,0,0.0,0.0
D86-16,62.5,0.5,32.0,6.0,672,0,0,0.0,0.0
D86-17,62.5,0.5,128.0,4.0,672,0,0,0.0,0.0
D86-18,62.5,1.5,32.0,4.0,3018,0,0,0.0,0.0
D86-19,62.5,1.5,128.0,6.0,3018,0,0,0.0,0.0
