Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
G2,60,286,-7.2293,126.3350,25.6772,92.0322,517.8290,0.0000,0.0000,Pass
G2,60,287,-7.1172,126.3350,25.6152,92.1905,515.3290,0.0000,0.0000,Pass
G2,60,293,-6.5826,126.2890,25.5530,95.7639,512.8290,0.0000,0.0000,Pass
G2,60,294,-6.5346,126.2890,25.6710,95.4075,517.5790,0.0000,0.0000,Pass
G2,60,295,-6.3227,126.2900,25.6772,95.0273,517.8290,0.0000,0.0000,Pass
G2,60,296,-6.2747,126.2900,25.6090,95.5674,515.0790,0.0000,0.0000,Pass
G2,60,337,-6.9536,126.2750,25.5343,93.4509,512.0790,0.0000,0.0000,Pass
G2,60,338,-6.7535,126.2760,25.5467,93.6579,512.5790,0.0000,0.0000,Pass
G2,60,339,-5.7550,126.2800,25.6338,93.7755,516.0790,0.0000,0.0000,Pass
G2,60,340,-5.5546,126.2810,25.7762,92.7864,521.8300,0.0000,0.0000,Pass
G2,60,367,-6.9534,126.1970,25.5280,94.4090,511.8290,0.0000,0.0000,Pass
G2,60,368,-6.7534,126.1980,25.4843,95.1080,510.0780,0.0000,0.0000,Pass
G2,60,369,-5.7547,126.2020,25.6090,93.4597,515.0790,0.0000,0.0000,Pass
G2,60,373,-5.5545,126.2030,25.7701,94.4968,521.5800,0.0000,0.0000,Pass
G2,60,380,-6.0651,126.1950,25.6648,94.3393,517.3290,0.0000,0.0000,Pass
G2,60,381,-6.0115,126.1950,25.6338,94.9553,516.0790,0.0000,0.0000,Pass
G2,60,434,-7.2286,126.1640,25.5779,93.5043,513.8290,0.0000,0.0000,Pass
G2,60,435,-7.1166,126.1640,25.6338,93.8498,516.0790,0.0000,0.0000,Pass
G2,60,441,-6.9531,126.1300,25.4843,95.6859,510.0780,0.0000,0.0000,Pass
G2,60,442,-5.7546,126.1350,25.6027,95.9141,514.8290,0.0000,0.0000,Pass
G2,60,468,-6.9527,126.0520,25.5716,95.4349,513.5790,0.0000,0.0000,Pass
G2,60,469,-5.7543,126.0570,25.5903,96.0098,514.3290,0.0000,0.0000,Pass
G2,60,497,-7.1159,126.0100,25.4656,95.1682,509.3280,0.0000,0.0000,Pass
G2,60,499,-7.2280,126.0100,25.5779,93.8580,513.8290,0.0000,0.0000,Pass
G2,60,500,-6.1268,126.0090,25.5530,97.7021,512.8290,0.0000,0.0000,Pass
G2,60,501,-6.0788,126.0090,25.5343,97.5761,512.0790,0.0000,0.0000,Pass
G2,60,502,-5.9966,126.0090,25.5280,96.3806,511.8290,0.0000,0.0000,Pass
G2,60,503,-5.9487,126.0090,25.4968,96.7194,510.5780,0.0000,0.0000,Pass
G2,60,535,-6.9524,125.9800,25.4281,96.1136,507.8280,0.0000,0.0000,Pass
G2,60,536,-6.7526,125.9810,25.4093,96.1002,507.0780,0.0000,0.0000,Pass
G2,60,537,-5.7541,125.9850,25.4968,96.0685,510.5780,0.0000,0.0000,Pass
G2,60,538,-5.5538,125.9860,25.5965,95.5314,514.5790,0.0000,0.0000,Pass
G2,60,547,-6.6225,125.9610,25.4218,97.3650,507.5780,0.0000,0.0000,Pass
G2,60,548,-6.2326,125.9630,25.3151,96.8928,503.3270,0.0000,0.0000,Pass
G2,60,549,-5.4236,125.9660,25.6896,95.1828,518.3300,0.0000,0.0000,Pass
G2,60,575,-5.9519,125.9340,25.6027,96.4096,514.8290,0.0000,0.0000,Pass
G2,60,591,-6.9521,125.9020,25.4719,96.0036,509.5780,0.0000,0.0000,Pass
G2,60,592,-6.7523,125.9030,25.3967,97.9574,506.5780,0.0000,0.0000,Pass
G2,60,593,-5.7538,125.9070,25.4719,97.8532,509.5780,0.0000,0.0000,Pass
G2,60,594,-5.5535,125.9080,25.4906,95.5632,510.3280,0.0000,0.0000,Pass
G2,60,600,-6.5163,125.8970,25.5716,97.8437,513.5790,0.0000,0.0000,Pass
G2,60,601,-6.4683,125.8970,25.5592,98.1673,513.0790,0.0000,0.0000,Pass
G2,60,602,-6.3863,125.8970,25.5716,98.2335,513.5790,0.0000,0.0000,Pass
G2,60,603,-6.3384,125.8980,25.5031,96.7901,510.8280,0.0000,0.0000,Pass
G2,60,604,-5.9907,125.8950,25.5779,98.0562,513.8290,0.0000,0.0000,Pass
G2,60,605,-5.9128,125.8950,25.5218,98.0488,511.5790,0.0000,0.0000,Pass
G2,60,656,-6.6222,125.8830,25.4468,96.9109,508.5780,0.0000,0.0000,Pass
G2,60,657,-6.2323,125.8850,25.5093,97.9159,511.0780,0.0000,0.0000,Pass
G2,60,658,-5.4232,125.8880,25.5903,94.6446,514.3290,0.0000,0.0000,Pass
G2,60,684,-7.2037,125.8630,25.5965,95.7377,514.5790,0.0000,0.0000,Pass
G2,60,694,-5.9515,125.8560,25.5280,98.0636,511.8290,0.0000,0.0000,Pass
G2,60,700,-6.9642,125.8360,25.4719,96.4180,509.5780,0.0000,0.0000,Pass
G2,60,701,-5.7659,125.8410,25.4531,97.6003,508.8280,0.0000,0.0000,Pass
