BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
787,1,0,20.1715,319.5690,96.8103,0.0000,0.0000,0,5.8525,-132.0440,0.0000
788,1,0,20.6654,335.4110,91.3880,0.0000,0.0000,0,6.9379,-132.0400,0.0000
789,1,0,20.3324,324.6900,93.8396,0.0000,0.0000,0,7.0500,-132.0400,0.0000
798,1,0,20.6259,334.1310,97.2962,0.0000,0.0000,0,6.5401,-132.0610,0.0000
799,1,0,20.6407,334.6110,91.4878,0.0000,0.0000,0,6.6177,-132.0600,0.0000
835,1,0,20.0550,315.8880,98.2393,0.0000,0.0000,0,6.2881,-132.1010,0.0000
836,1,0,20.7048,336.6920,91.2855,0.0000,0.0000,0,7.3180,-132.0960,0.0000
848,1,0,20.0499,315.7280,95.6772,0.0000,0.0000,0,6.0090,-132.1010,0.0000
849,1,0,20.3625,325.6500,97.2894,0.0000,0.0000,0,6.1196,-132.1010,0.0000
850,1,0,20.3074,323.8900,97.3552,0.0000,0.0000,0,6.1677,-132.1010,0.0000
851,1,0,20.6012,333.3310,98.4674,0.0000,0.0000,0,6.2404,-132.1010,0.0000
852,1,0,20.0854,316.8490,95.8316,0.0000,0.0000,0,6.3987,-132.1000,0.0000
853,1,0,20.8128,340.2120,98.1270,0.0000,0.0000,0,6.5790,-132.0990,0.0000
854,1,0,20.5666,332.2110,91.2888,0.0000,0.0000,0,7.2069,-132.0970,0.0000
926,1,0,20.6703,335.5720,94.5944,0.0086,0.0086,1,6.6791,-132.1210,0.0926
939,1,0,20.7883,339.4120,94.2704,0.0000,0.0000,0,6.6402,-132.1600,0.0000
940,1,0,20.9056,343.2530,96.4911,0.0000,0.0000,0,6.7184,-132.1600,0.0000
980,1,0,20.6309,334.2910,97.5930,0.0000,0.0000,0,6.6794,-132.1990,0.0000
1000,1,0,20.4124,327.2500,97.4094,0.0000,0.0000,0,5.9796,-132.2240,0.0000
1001,1,0,20.1158,317.8090,95.1349,0.0000,0.0000,0,6.1794,-132.2230,0.0000
1002,1,0,20.2923,323.4100,96.9756,0.0000,0.0000,0,6.3794,-132.2220,0.0000
1003,1,0,20.5021,330.1310,98.7520,0.0000,0.0000,0,6.5796,-132.2220,0.0000
1004,1,0,20.6506,334.9310,88.2694,0.0000,0.0000,0,7.2148,-132.2190,0.0000
1042,1,0,20.3274,324.5300,93.9850,0.0000,0.0000,0,5.9407,-132.2630,0.0000
1043,1,0,20.0753,316.5290,97.7072,0.0000,0.0000,0,6.0185,-132.2630,0.0000
1044,1,0,19.9786,313.4880,98.4443,0.0000,0.0000,0,6.1407,-132.2620,0.0000
1045,1,0,20.3525,325.3300,94.5977,0.0000,0.0000,0,6.2186,-132.2620,0.0000
1046,1,0,20.2219,321.1690,95.7353,0.0000,0.0000,0,6.3405,-132.2610,0.0000
1047,1,0,20.5715,332.3710,95.7980,0.0000,0.0000,0,6.4186,-132.2610,0.0000
1048,1,0,20.8568,341.6520,96.0592,0.0000,0.0000,0,6.5406,-132.2610,0.0000
1049,1,0,20.7048,336.6920,97.9510,0.0000,0.0000,0,6.6186,-132.2600,0.0000
1050,1,0,21.0077,346.6130,98.4084,0.0000,0.0000,0,7.1760,-132.2580,0.0000
1051,1,0,20.6210,333.9710,95.7191,0.0000,0.0000,0,7.2542,-132.2580,0.0000
1142,1,0,20.6062,333.4910,94.3721,0.0000,0.0000,0,5.9797,-132.3020,0.0000
1143,1,0,20.2269,321.3290,96.4582,0.0000,0.0000,0,6.5799,-132.3000,0.0000
1144,1,0,20.7883,339.4120,91.8266,0.0000,0.0000,0,7.2151,-132.2960,0.0000
1157,1,0,20.2622,322.4490,95.4010,0.0000,0.0000,0,6.1796,-132.3010,0.0000
1158,1,0,20.0753,316.5290,97.5947,0.0000,0.0000,0,6.3796,-132.3000,0.0000
1196,1,0,19.6703,303.8870,95.8027,0.0000,0.0000,0,6.0798,-132.3240,0.0000
1197,1,0,20.2873,323.2500,96.0995,0.0000,0.0000,0,6.2796,-132.3230,0.0000
1198,1,0,20.3875,326.4500,91.2998,0.0000,0.0000,0,6.4799,-132.3220,0.0000
1199,1,0,20.0803,316.6890,91.5719,0.0000,0.0000,0,6.6799,-132.3210,0.0000
1200,1,0,20.9834,345.8130,92.3345,0.0000,0.0000,0,7.3155,-132.3190,0.0000
1234,1,0,20.2823,323.0900,95.8654,0.0000,0.0000,0,6.9573,-132.3310,0.0000
1259,1,0,19.9327,312.0480,96.2037,0.0000,0.0000,0,6.0409,-132.3620,0.0000
1260,1,0,20.0296,315.0880,96.1186,0.0000,0.0000,0,6.1188,-132.3620,0.0000
1261,1,0,20.0600,316.0480,96.4705,0.0000,0.0000,0,6.2411,-132.3620,0.0000
1262,1,0,20.4623,328.8500,91.6115,0.0000,0.0000,0,6.3188,-132.3620,0.0000
1263,1,0,20.2521,322.1290,96.2327,0.0000,0.0000,0,6.4410,-132.3610,0.0000
1264,1,0,20.2772,322.9300,96.0053,0.0000,0.0000,0,6.5189,-132.3610,0.0000
1265,1,0,20.6210,333.9710,97.4556,0.0000,0.0000,0,6.6412,-132.3600,0.0000
1266,1,0,21.0754,348.8540,93.1343,0.0000,0.0000,0,6.7190,-132.3600,0.0000
1267,1,0,20.7736,338.9320,89.3797,0.0000,0.0000,0,7.2766,-132.3580,0.0000
1335,1,0,20.4075,327.0900,95.4647,0.0000,0.0000,0,5.8653,-132.3930,0.0000
1336,1,0,20.0194,314.7680,98.6745,0.0000,0.0000,0,6.8526,-132.3890,0.0000
1337,1,0,20.4573,328.6900,95.2381,0.0000,0.0000,0,7.0627,-132.3880,0.0000
1341,1,0,21.1863,352.5340,90.6694,0.0000,0.0000,0,7.3156,-132.3960,0.0000
1343,1,0,19.9429,312.3680,97.7684,0.0000,0.0000,0,6.0800,-132.4010,0.0000
1344,1,0,20.2923,323.4100,95.3695,0.0000,0.0000,0,6.2798,-132.4010,0.0000
1345,1,0,20.3475,325.1700,94.3872,0.0000,0.0000,0,6.4801,-132.4000,0.0000
1346,1,0,20.2068,320.6890,98.0172,0.0000,0.0000,0,6.6802,-132.3990,0.0000
1390,1,0,20.2672,322.6090,97.0584,0.0000,0.0000,0,5.9802,-132.4240,0.0000
1391,1,0,19.8661,309.9680,98.1465,0.0000,0.0000,0,6.1801,-132.4230,0.0000
1392,1,0,20.1816,319.8890,95.2258,0.0000,0.0000,0,6.3799,-132.4220,0.0000
1393,1,0,20.2973,323.5700,96.8808,0.0000,0.0000,0,6.5801,-132.4220,0.0000
1441,1,0,20.6605,335.2510,96.7410,0.0000,0.0000,0,5.9415,-132.4630,0.0000
1442,1,0,20.1614,319.2490,96.7466,0.0000,0.0000,0,6.0195,-132.4630,0.0000
1443,1,0,20.0296,315.0880,95.1593,0.0000,0.0000,0,6.1415,-132.4620,0.0000
1444,1,0,19.9888,313.8080,96.4910,0.0000,0.0000,0,6.2190,-132.4620,0.0000
1445,1,0,20.0296,315.0880,96.1073,0.0000,0.0000,0,6.3415,-132.4620,0.0000
1446,1,0,20.5120,330.4510,93.2890,0.0000,0.0000,0,6.4194,-132.4610,0.0000
1447,1,0,21.0077,346.6130,94.7188,0.0000,0.0000,0,6.5415,-132.4610,0.0000
1448,1,0,21.2871,355.8950,96.5594,0.0000,0.0000,0,6.6192,-132.4600,0.0000
1449,1,0,20.8128,340.2120,96.8499,0.0000,0.0000,0,7.1767,-132.4580,0.0000
1450,1,0,20.6605,335.2510,87.2545,0.0000,0.0000,0,7.2547,-132.4580,0.0000
1520,1,0,20.0550,315.8880,93.6101,0.0000,0.0000,0,6.9578,-132.4630,0.0000
1523,1,0,20.4075,327.0900,93.8472,0.0000,0.0000,0,5.8654,-132.4710,0.0000
1524,1,0,20.4623,328.8500,96.3450,0.0000,0.0000,0,6.8529,-132.4670,0.0000
1525,1,0,20.4025,326.9300,95.5418,0.0000,0.0000,0,7.0630,-132.4660,0.0000
1544,1,0,20.4971,329.9710,98.4576,0.0000,0.0000,0,5.9803,-132.5020,0.0000
1545,1,0,19.9684,313.1680,92.0558,0.0000,0.0000,0,6.1805,-132.5010,0.0000
1546,1,0,20.7589,338.4520,94.1906,0.0000,0.0000,0,6.3801,-132.5000,0.0000
1547,1,0,21.4587,361.6550,96.6082,0.0000,0.0000,0,6.5805,-132.5000,0.0000
1548,1,0,20.6950,336.3720,91.0696,0.0000,0.0000,0,7.2158,-132.4970,0.0000
1588,1,0,19.8405,309.1670,96.0075,0.0000,0.0000,0,6.0804,-132.5240,0.0000
1589,1,0,20.7048,336.6920,95.9794,0.0000,0.0000,0,7.3161,-132.5180,0.0000
1599,1,0,22.1317,384.6990,93.7405,0.0000,0.0000,0,6.6804,-132.5210,0.0000
