BumpId,VoidId,Bump_X,Bump_Y,X(um),Y(um),Diam_X,Diam_Y,Diameter(%),Area(um2),Area(%)
1449,1,-6.1899,-2.4634,-0.0005,0.0006,3.0273,3.0273,13.5769,7.1978,1.8433
1520,1,-6.4087,-2.4689,-0.0013,0.0004,2.1406,2.1406,9.2292,3.5989,0.8518
1525,1,-6.3036,-2.4712,0.0020,-0.0011,1.5136,1.5136,6.6256,1.7994,0.4390
1534,1,-5.3323,-2.4775,0.0016,-0.0008,2.7077,2.7077,11.4944,5.7582,1.3212
1545,1,-7.1860,-2.5063,0.0000,0.0009,2.6217,2.6217,11.5112,5.3983,1.3251
1548,1,-6.1512,-2.5021,0.0035,-0.0008,1.9146,1.9146,8.7080,2.8791,0.7583
1638,1,-5.8898,-2.5620,-0.0010,0.0007,3.5819,3.5819,16.2835,10.0769,2.6515
1640,1,-5.6894,-2.5611,-0.0036,-0.0021,1.9146,1.9146,8.7039,2.8791,0.7576
1641,1,-5.6106,-2.5601,-0.0011,-0.0004,1.5136,1.5136,6.7237,1.7994,0.4521
1647,1,-7.2474,-2.5674,0.0005,0.0022,3.9471,3.9471,17.9265,12.2362,3.2136
1647,2,-7.2474,-2.5674,-0.0004,-0.0022,2.5328,2.5328,11.5033,5.0385,1.3233
1649,1,-7.0476,-2.5671,-0.0020,0.0031,4.2274,4.2274,19.2542,14.0357,3.7072
1654,1,-6.0904,-2.5633,-0.0007,0.0014,3.5819,3.5819,16.3299,10.0768,2.6667
1725,1,-5.2937,-2.5892,-0.0019,0.0002,1.9146,1.9146,8.4403,2.8791,0.7124
1789,1,-7.1859,-2.6287,-0.0002,-0.0026,2.7077,2.7077,12.6302,5.7582,1.5952
1844,1,-6.8249,-2.6665,0.0005,0.0040,1.9146,1.9146,8.4705,2.8791,0.7175
1846,1,-6.1900,-2.6633,-0.0013,0.0003,4.2274,4.2274,19.1453,14.0357,3.6654
1847,1,-6.1122,-2.6629,-0.0001,0.0010,1.9146,1.9146,8.9622,2.8791,0.8032
1849,1,-5.9113,-2.6624,0.0005,0.0038,2.3449,2.3449,10.6299,4.3187,1.1299
1851,1,-5.7108,-2.6616,-0.0044,-0.0006,3.5819,3.5819,16.4638,10.0769,2.7106
1936,1,-6.1503,-2.7026,0.0012,-0.0037,2.9507,2.9507,13.6684,6.8379,1.8683
1938,1,-5.7501,-2.7000,0.0020,0.0013,3.5820,3.5820,16.1540,10.0769,2.6095
1939,1,-5.5496,-2.6994,0.0002,0.0025,5.1553,5.1553,24.0952,20.8735,5.8058
1980,1,-6.8860,-2.7279,-0.0014,-0.0013,3.4516,3.4516,15.9656,9.3571,2.5490
1981,1,-6.0504,-2.7240,-0.0017,0.0011,5.1553,5.1553,23.4359,20.8735,5.4924
1982,1,-5.6497,-2.7227,-0.0023,-0.0012,4.2812,4.2812,18.9321,14.3956,3.5842
2029,1,-5.8110,-2.7624,-0.0016,0.0019,4.0615,4.0615,18.1319,12.9560,3.2877
2029,2,-5.8110,-2.7624,0.0038,0.0027,3.1021,3.1021,13.8485,7.5577,1.9178
2037,1,-7.1249,-2.7670,-0.0040,-0.0025,1.9146,1.9146,8.7163,2.8791,0.7597
2116,1,-6.8858,-2.8058,-0.0013,0.0006,1.5136,1.5136,6.8519,1.7994,0.4695
2117,1,-6.6856,-2.8052,-0.0022,0.0006,4.6407,4.6407,21.1974,16.9147,4.4933
2161,1,-6.7858,-2.8277,-0.0010,0.0016,4.1176,4.1176,18.7718,13.3159,3.5238
2163,1,-5.9500,-2.8236,-0.0016,0.0012,4.5911,4.5911,19.9222,16.5549,3.9689
2192,1,-5.3315,-2.8292,-0.0023,0.0033,3.0273,3.0273,13.6462,7.1977,1.8622
2208,1,-6.7462,-2.8659,0.0009,0.0028,3.7077,3.7077,17.1080,10.7967,2.9268
2212,1,-6.3461,-2.8649,-0.0025,-0.0008,2.1406,2.1406,9.1211,3.5989,0.8319
2216,1,-5.9108,-2.8622,-0.0020,0.0021,4.5409,4.5409,19.9205,16.1950,3.9683
2219,1,-5.5882,-2.8618,-0.0023,0.0006,2.9506,2.9506,13.2392,6.8379,1.7528
2290,1,-5.2926,-2.8680,-0.0057,0.0021,2.7077,2.7077,11.9151,5.7582,1.4197
2306,1,-6.9849,-2.9061,0.0023,0.0004,2.5328,2.5328,12.2235,5.0385,1.4941
2309,1,-5.7490,-2.9009,-0.0025,0.0030,1.9146,1.9146,8.4781,2.8791,0.7188
2338,1,-5.3310,-2.9065,-0.0012,0.0021,3.0273,3.0273,13.7686,7.1978,1.8957
2345,1,-6.8849,-2.9278,-0.0023,0.0012,4.6899,4.6899,21.9199,17.2747,4.8048
2346,1,-6.6857,-2.9272,0.0030,0.0004,2.7077,2.7077,12.6554,5.7582,1.6016
2348,1,-6.2837,-2.9249,-0.0002,0.0027,1.9146,1.9146,8.5828,2.8791,0.7366
2349,1,-6.0499,-2.9242,0.0063,0.0030,2.7910,2.7910,12.5115,6.1181,1.5654
2349,2,-6.0499,-2.9242,-0.0006,0.0000,6.2775,6.2775,28.1407,30.9506,7.9190
2351,1,-5.6491,-2.9228,0.0002,0.0015,1.9146,1.9146,8.4515,2.8791,0.7143
2395,1,-6.7239,-2.9658,-0.0024,0.0010,1.5136,1.5136,6.8487,1.7994,0.4690
2396,1,-6.0105,-2.9634,-0.0018,0.0005,4.4389,4.4389,19.8802,15.4753,3.9522
2397,1,-5.8104,-2.9627,-0.0015,0.0040,4.2812,4.2812,20.3279,14.3956,4.1322
2399,1,-5.6094,-2.9615,-0.0019,0.0030,4.9744,4.9744,21.7930,19.4340,4.7493
2399,2,-5.6094,-2.9615,0.0027,0.0007,3.3846,3.3846,14.8282,8.9972,2.1988
2400,1,-5.4875,-2.9611,-0.0018,-0.0017,2.7077,2.7077,11.8783,5.7582,1.4109
2411,1,-6.5231,-2.9651,-0.0028,0.0023,4.2274,4.2274,18.5042,14.0357,3.4241
2413,1,-6.3243,-2.9638,0.0006,-0.0011,2.9506,2.9506,12.9099,6.8379,1.6667
2414,1,-6.2455,-2.9639,-0.0003,0.0020,6.4574,6.4574,30.0463,32.7500,9.0278
2415,1,-6.0886,-2.9633,0.0010,0.0023,3.0273,3.0273,13.1477,7.1978,1.7286
2416,1,-5.8879,-2.9626,-0.0011,0.0001,5.1995,5.1995,22.4656,21.2334,5.0470
2494,1,-7.0845,-3.0069,0.0026,0.0008,2.1406,2.1406,10.0100,3.5989,1.0020
2495,1,-6.8850,-3.0063,-0.0018,0.0004,3.2464,3.2464,14.9943,8.2775,2.2483
2500,1,-5.8489,-3.0015,-0.0001,0.0002,5.4575,5.4575,24.7864,23.3928,6.1437
2502,1,-5.4484,-2.9998,-0.0012,0.0014,6.3139,6.3139,28.2389,31.3104,7.9744
2503,1,-5.2321,-2.9992,-0.0018,0.0007,3.3162,3.3162,14.6845,8.6374,2.1563
2579,1,-7.3457,-3.0897,-0.0004,0.0007,1.5136,1.5136,7.0014,1.7994,0.4902
2580,1,-7.1773,-3.0882,-0.0002,0.0025,4.0047,4.0047,18.2923,12.5961,3.3461
2582,1,-6.9305,-3.0872,0.0011,-0.0005,3.2464,3.2464,15.2886,8.2775,2.3374
2584,1,-6.6844,-3.0866,-0.0005,0.0027,3.5819,3.5819,16.8687,10.0769,2.8455
2585,1,-6.6059,-3.0863,0.0012,0.0006,2.7910,2.7910,12.1955,6.1181,1.4873
2588,1,-6.1904,-3.0843,-0.0033,0.0021,4.7385,4.7385,19.7674,17.6346,3.9075
2588,2,-6.1904,-3.0843,0.0055,-0.0008,2.3449,2.3449,9.7823,4.3187,0.9569
2589,1,-6.1127,-3.0840,-0.0021,0.0020,3.7077,3.7077,15.6492,10.7966,2.4490
2590,1,-5.9431,-3.0834,-0.0033,0.0014,3.5174,3.5174,15.8114,9.7170,2.5000
2592,1,-5.5158,-3.0813,-0.0010,0.0006,5.2869,5.2869,24.8855,21.9532,6.1929
2593,1,-5.4376,-3.0810,-0.0016,0.0002,5.4994,5.4994,24.1997,23.7527,5.8563
2594,1,-5.2687,-3.0805,-0.0013,0.0017,1.9146,1.9146,8.5049,2.8791,0.7233
2594,2,-5.2687,-3.0805,-0.0017,-0.0019,4.0615,4.0615,18.0415,12.9559,3.2550
2667,1,-5.6004,-3.1058,-0.0011,-0.0026,2.7910,2.7910,13.2045,6.1181,1.7436
2685,1,-7.4228,-3.1376,-0.0039,0.0015,2.3449,2.3449,10.5021,4.3187,1.1029
2686,1,-7.3456,-3.1372,-0.0007,0.0001,6.4574,6.4574,28.0086,32.7498,7.8448
2691,1,-6.6837,-3.1346,-0.0015,-0.0008,4.7385,4.7385,21.0866,17.6345,4.4464
2692,1,-6.6056,-3.1350,-0.0004,-0.0005,2.3449,2.3449,9.9422,4.3187,0.9885
2695,1,-6.1903,-3.1321,-0.0027,0.0005,3.5174,3.5174,14.3400,9.7170,2.0564
2696,1,-6.1118,-3.1319,-0.0017,0.0017,2.8719,2.8719,12.0483,6.4780,1.4516
2697,1,-5.9432,-3.1313,-0.0005,-0.0003,6.7353,6.7353,28.9529,35.6289,8.3827
2698,1,-5.8653,-3.1312,-0.0032,0.0005,1.9146,1.9146,8.5010,2.8791,0.7227
2759,1,-6.0280,-3.1507,-0.0014,0.0054,2.6217,2.6217,10.7088,5.3983,1.1468
2759,2,-6.0280,-3.1507,0.0013,0.0009,2.9506,2.9506,12.0524,6.8379,1.4526
2773,1,-6.8070,-3.1637,-0.0005,0.0000,3.3846,3.3846,15.8750,8.9972,2.5202
