Recipe,Lot,Wafer,MAX Area Void,MAX Diameter Void,Total NG,DieId,BumpId,Area Percent,Diameter Percent
G9,d26,126173086.17,28.45,53.34,890.00,60,1525,12.66,35.58
G9,d26,126173086.17,28.45,53.34,890.00,60,1550,9.70,31.15
G9,d26,126173086.17,28.45,53.34,890.00,60,1589,13.94,37.34
G9,d26,126173086.17,28.45,53.34,890.00,60,1652,9.84,31.36
G9,d26,126173086.17,28.45,53.34,890.00,60,1786,9.56,30.91
G9,d26,126173086.17,28.45,53.34,890.00,60,1793,10.51,32.41
G9,d26,126173086.17,28.45,53.34,890.00,60,1843,8.68,29.47
G9,d26,126173086.17,28.45,53.34,890.00,60,1850,9.02,30.03
G9,d26,126173086.17,28.45,53.34,890.00,60,1936,11.78,34.33
G9,d26,126173086.17,28.45,53.34,890.00,60,2043,10.56,32.49
G9,d26,126173086.17,28.45,53.34,890.00,60,2119,9.01,30.02
G9,d26,126173086.17,28.45,53.34,890.00,60,2162,13.02,36.08
G9,d26,126173086.17,28.45,53.34,890.00,60,2163,10.30,32.09
G9,d26,126173086.17,28.45,53.34,890.00,60,2202,9.24,30.40
G9,d26,126173086.17,28.45,53.34,890.00,60,2210,8.41,29.00
G9,d26,126173086.17,28.45,53.34,890.00,60,2211,9.82,31.34
G9,d26,126173086.17,28.45,53.34,890.00,60,2212,8.65,29.41
G9,d26,126173086.17,28.45,53.34,890.00,60,2307,14.51,38.09
G9,d26,126173086.17,28.45,53.34,890.00,60,2345,11.59,34.04
G9,d26,126173086.17,28.45,53.34,890.00,60,2346,8.16,28.57
G9,d26,126173086.17,28.45,53.34,890.00,60,2349,8.13,28.51
G9,d26,126173086.17,28.45,53.34,890.00,60,2350,9.32,30.53
G9,d26,126173086.17,28.45,53.34,890.00,60,2394,8.71,29.52
G9,d26,126173086.17,28.45,53.34,890.00,60,2396,8.07,28.41
G9,d26,126173086.17,28.45,53.34,890.00,60,2398,11.76,34.30
G9,d26,126173086.17,28.45,53.34,890.00,60,2405,9.50,30.81
G9,d26,126173086.17,28.45,53.34,890.00,60,2413,9.52,30.86
G9,d26,126173086.17,28.45,53.34,890.00,60,2416,8.07,28.41
G9,d26,126173086.17,28.45,53.34,890.00,60,2499,10.11,31.80
G9,d26,126173086.17,28.45,53.34,890.00,60,2500,11.50,33.91
G9,d26,126173086.17,28.45,53.34,890.00,60,2502,9.38,30.63
G9,d26,126173086.17,28.45,53.34,890.00,60,2584,8.72,29.53
G9,d26,126173086.17,28.45,53.34,890.00,60,2588,12.37,35.16
G9,d26,126173086.17,28.45,53.34,890.00,60,2589,10.23,31.99
G9,d26,126173086.17,28.45,53.34,890.00,60,2685,9.22,30.36
G9,d26,126173086.17,28.45,53.34,890.00,60,2687,9.15,30.26
G9,d26,126173086.17,28.45,53.34,890.00,60,2689,11.77,34.31
G9,d26,126173086.17,28.45,53.34,890.00,60,2690,12.40,35.22
G9,d26,126173086.17,28.45,53.34,890.00,60,2694,8.46,29.08
G9,d26,126173086.17,28.45,53.34,890.00,60,2696,10.00,31.62
G9,d26,126173086.17,28.45,53.34,890.00,60,2697,8.54,29.23
G9,d26,126173086.17,28.45,53.34,890.00,60,2698,10.07,31.74
G9,d26,126173086.17,28.45,53.34,890.00,60,2699,8.34,28.88
G9,d26,126173086.17,28.45,53.34,890.00,60,2700,10.78,32.83
G9,d26,126173086.17,28.45,53.34,890.00,60,2701,11.14,33.38
G9,d26,126173086.17,28.45,53.34,890.00,60,2758,8.70,29.50
G9,d26,126173086.17,28.45,53.34,890.00,60,2759,10.96,33.10
G9,d26,126173086.17,28.45,53.34,890.00,60,2773,12.80,35.78
G9,d26,126173086.17,28.45,53.34,890.00,60,2774,12.20,34.93
G9,d26,126173086.17,28.45,53.34,890.00,60,2776,8.30,28.81
G9,d26,126173086.17,28.45,53.34,890.00,60,2779,9.10,30.16
G9,d26,126173086.17,28.45,53.34,890.00,60,2780,8.27,28.75
G9,d26,126173086.17,28.45,53.34,890.00,60,2850,9.34,30.56
G9,d26,126173086.17,28.45,53.34,890.00,60,2851,8.59,29.31
G9,d26,126173086.17,28.45,53.34,890.00,60,2852,12.77,35.74
G9,d26,126173086.17,28.45,53.34,890.00,60,2860,10.87,32.97
G9,d26,126173086.17,28.45,53.34,890.00,60,2861,10.27,32.05
G9,d26,126173086.17,28.45,53.34,890.00,60,2919,10.02,31.66
G9,d26,126173086.17,28.45,53.34,890.00,60,2941,9.31,30.52
G9,d26,126173086.17,28.45,53.34,890.00,60,2944,11.38,33.73
G9,d26,126173086.17,28.45,53.34,890.00,60,2946,14.52,38.10
G9,d26,126173086.17,28.45,53.34,890.00,60,2950,12.76,35.72
G9,d26,126173086.17,28.45,53.34,890.00,60,2951,11.88,34.46
G9,d26,126173086.17,28.45,53.34,890.00,60,2954,9.53,30.87
G9,d26,126173086.17,28.45,53.34,890.00,60,3026,11.41,33.78
G9,d26,126173086.17,28.45,53.34,890.00,60,3043,12.02,34.67
G9,d26,126173086.17,28.45,53.34,890.00,60,3044,8.26,28.74
G9,d26,126173086.17,28.45,53.34,890.00,60,3045,8.69,29.48
G9,d26,126173086.17,28.45,53.34,890.00,60,3053,8.22,28.67
G9,d26,126173086.17,28.45,53.34,890.00,60,3054,9.86,31.40
G9,d26,126173086.17,28.45,53.34,890.00,60,3055,11.88,34.47
G9,d26,126173086.17,28.45,53.34,890.00,60,3058,8.24,28.71
G9,d26,126173086.17,28.45,53.34,890.00,60,3059,12.32,35.10
G9,d26,126173086.17,28.45,53.34,890.00,60,3060,9.67,31.10
G9,d26,126173086.17,28.45,53.34,890.00,60,3135,12.05,34.72
G9,d26,126173086.17,28.45,53.34,890.00,60,3136,14.05,37.48
G9,d26,126173086.17,28.45,53.34,890.00,60,3138,9.15,30.25
G9,d26,126173086.17,28.45,53.34,890.00,60,3139,11.78,34.33
G9,d26,126173086.17,28.45,53.34,890.00,60,3170,13.13,36.23
G9,d26,126173086.17,28.45,53.34,890.00,60,3171,9.00,30.00
G9,d26,126173086.17,28.45,53.34,890.00,60,3200,9.58,30.96
G9,d26,126173086.17,28.45,53.34,890.00,60,3210,12.52,35.39
G9,d26,126173086.17,28.45,53.34,890.00,60,3225,8.35,28.89
G9,d26,126173086.17,28.45,53.34,890.00,60,3288,8.01,28.30
G9,d26,126173086.17,28.45,53.34,890.00,60,3301,11.96,34.58
G9,d26,126173086.17,28.45,53.34,890.00,60,3303,10.16,31.87
G9,d26,126173086.17,28.45,53.34,890.00,60,3304,8.37,28.92
G9,d26,126173086.17,28.45,53.34,890.00,60,3305,10.42,32.27
G9,d26,126173086.17,28.45,53.34,890.00,60,3307,9.94,31.53
G9,d26,126173086.17,28.45,53.34,890.00,60,3310,10.68,32.68
G9,d26,126173086.17,28.45,53.34,890.00,60,3311,12.04,34.69
G9,d26,126173086.17,28.45,53.34,890.00,60,3312,13.96,37.37
G9,d26,126173086.17,28.45,53.34,890.00,60,3314,11.91,34.51
G9,d26,126173086.17,28.45,53.34,890.00,60,3315,10.70,32.71
G9,d26,126173086.17,28.45,53.34,890.00,60,3317,9.20,30.33
G9,d26,126173086.17,28.45,53.34,890.00,60,3389,11.64,34.12
G9,d26,126173086.17,28.45,53.34,890.00,60,3408,9.39,30.64
G9,d26,126173086.17,28.45,53.34,890.00,60,3411,11.98,34.62
G9,d26,126173086.17,28.45,53.34,890.00,60,3413,9.95,31.54
G9,d26,126173086.17,28.45,53.34,890.00,60,3415,10.30,32.09
G9,d26,126173086.17,28.45,53.34,890.00,60,3416,13.19,36.32
G9,d26,126173086.17,28.45,53.34,890.00,60,3418,13.08,36.17
G9,d26,126173086.17,28.45,53.34,890.00,60,3419,12.91,35.93
G9,d26,126173086.17,28.45,53.34,890.00,60,3420,11.05,33.25
G9,d26,126173086.17,28.45,53.34,890.00,60,3421,8.58,29.29
G9,d26,126173086.17,28.45,53.34,890.00,60,3422,12.67,35.60
G9,d26,126173086.17,28.45,53.34,890.00,60,3484,9.92,31.50
G9,d26,126173086.17,28.45,53.34,890.00,60,3485,10.70,32.72
G9,d26,126173086.17,28.45,53.34,890.00,60,3486,14.45,38.01
G9,d26,126173086.17,28.45,53.34,890.00,60,3508,8.32,28.84
G9,d26,126173086.17,28.45,53.34,890.00,60,3510,18.16,42.61
G9,d26,126173086.17,28.45,53.34,890.00,60,3511,9.65,31.07
G9,d26,126173086.17,28.45,53.34,890.00,60,3512,11.56,34.00
G9,d26,126173086.17,28.45,53.34,890.00,60,3513,9.62,31.02
G9,d26,126173086.17,28.45,53.34,890.00,60,3567,10.91,33.03
G9,d26,126173086.17,28.45,53.34,890.00,60,3584,14.26,37.77
G9,d26,126173086.17,28.45,53.34,890.00,60,3591,9.53,30.87
G9,d26,126173086.17,28.45,53.34,890.00,60,3592,10.28,32.06
G9,d26,126173086.17,28.45,53.34,890.00,60,3596,8.03,28.33
G9,d26,126173086.17,28.45,53.34,890.00,60,3656,12.62,35.53
G9,d26,126173086.17,28.45,53.34,890.00,60,3658,9.43,30.71
G9,d26,126173086.17,28.45,53.34,890.00,60,3659,9.01,30.01
G9,d26,126173086.17,28.45,53.34,890.00,60,3672,10.22,31.97
G9,d26,126173086.17,28.45,53.34,890.00,60,3677,12.30,35.07
G9,d26,126173086.17,28.45,53.34,890.00,60,3678,12.39,35.20
G9,d26,126173086.17,28.45,53.34,890.00,60,3680,13.92,37.31
G9,d26,126173086.17,28.45,53.34,890.00,60,3682,9.72,31.18
G9,d26,126173086.17,28.45,53.34,890.00,60,3683,12.47,35.31
G9,d26,126173086.17,28.45,53.34,890.00,60,3684,13.91,37.29
G9,d26,126173086.17,28.45,53.34,890.00,60,3688,10.02,31.65
G9,d26,126173086.17,28.45,53.34,890.00,60,3764,9.50,30.83
G9,d26,126173086.17,28.45,53.34,890.00,60,3779,12.81,35.79
G9,d26,126173086.17,28.45,53.34,890.00,60,3780,8.38,28.94
G9,d26,126173086.17,28.45,53.34,890.00,60,3785,10.04,31.68
G9,d26,126173086.17,28.45,53.34,890.00,60,3787,12.88,35.89
G9,d26,126173086.17,28.45,53.34,890.00,60,3790,16.86,41.07
G9,d26,126173086.17,28.45,53.34,890.00,60,3791,8.22,28.66
G9,d26,126173086.17,28.45,53.34,890.00,60,3792,13.24,36.38
G9,d26,126173086.17,28.45,53.34,890.00,60,3854,10.98,33.14
G9,d26,126173086.17,28.45,53.34,890.00,60,3855,8.34,28.88
G9,d26,126173086.17,28.45,53.34,890.00,60,3871,10.60,32.56
G9,d26,126173086.17,28.45,53.34,890.00,60,3872,11.15,33.39
G9,d26,126173086.17,28.45,53.34,890.00,60,3873,14.12,37.58
G9,d26,126173086.17,28.45,53.34,890.00,60,3875,11.74,34.26
G9,d26,126173086.17,28.45,53.34,890.00,60,3876,9.78,31.28
G9,d26,126173086.17,28.45,53.34,890.00,60,3877,8.60,29.33
G9,d26,126173086.17,28.45,53.34,890.00,60,3878,11.74,34.27
G9,d26,126173086.17,28.45,53.34,890.00,60,3880,14.05,37.49
G9,d26,126173086.17,28.45,53.34,890.00,60,3935,9.87,31.41
G9,d26,126173086.17,28.45,53.34,890.00,60,3960,8.50,29.16
G9,d26,126173086.17,28.45,53.34,890.00,60,3961,10.81,32.88
G9,d26,126173086.17,28.45,53.34,890.00,60,3962,8.09,28.43
G9,d26,126173086.17,28.45,53.34,890.00,60,3963,11.07,33.27
G9,d26,126173086.17,28.45,53.34,890.00,60,4042,13.24,36.38
G9,d26,126173086.17,28.45,53.34,890.00,60,4044,11.54,33.96
G9,d26,126173086.17,28.45,53.34,890.00,60,4046,10.74,32.77
G9,d26,126173086.17,28.45,53.34,890.00,60,4047,9.66,31.09
G9,d26,126173086.17,28.45,53.34,890.00,60,4048,11.89,34.49
G9,d26,126173086.17,28.45,53.34,890.00,60,4050,14.95,38.66
G9,d26,126173086.17,28.45,53.34,890.00,60,4053,13.68,36.98
G9,d26,126173086.17,28.45,53.34,890.00,60,4054,8.48,29.12
G9,d26,126173086.17,28.45,53.34,890.00,60,4056,10.06,31.72
G9,d26,126173086.17,28.45,53.34,890.00,60,4121,10.58,32.53
G9,d26,126173086.17,28.45,53.34,890.00,60,4149,11.77,34.31
G9,d26,126173086.17,28.45,53.34,890.00,60,4152,8.13,28.52
G9,d26,126173086.17,28.45,53.34,890.00,60,4153,14.79,38.46
G9,d26,126173086.17,28.45,53.34,890.00,60,4154,11.65,34.14
G9,d26,126173086.17,28.45,53.34,890.00,60,4155,10.76,32.80
G9,d26,126173086.17,28.45,53.34,890.00,60,4157,10.62,32.58
G9,d26,126173086.17,28.45,53.34,890.00,60,4158,9.19,30.31
G9,d26,126173086.17,28.45,53.34,890.00,60,4159,13.58,36.85
G9,d26,126173086.17,28.45,53.34,890.00,60,4160,14.49,38.07
G9,d26,126173086.17,28.45,53.34,890.00,60,4164,8.87,29.78
G9,d26,126173086.17,28.45,53.34,890.00,60,4222,8.41,29.01
G9,d26,126173086.17,28.45,53.34,890.00,60,4238,12.07,34.75
G9,d26,126173086.17,28.45,53.34,890.00,60,4240,12.27,35.02
G9,d26,126173086.17,28.45,53.34,890.00,60,4241,8.94,29.90
G9,d26,126173086.17,28.45,53.34,890.00,60,4243,8.33,28.87
G9,d26,126173086.17,28.45,53.34,890.00,60,4247,9.72,31.18
G9,d26,126173086.17,28.45,53.34,890.00,60,4294,8.15,28.54
G9,d26,126173086.17,28.45,53.34,890.00,60,4295,15.38,39.22
G9,d26,126173086.17,28.45,53.34,890.00,60,4327,11.85,34.42
G9,d26,126173086.17,28.45,53.34,890.00,60,4328,13.74,37.06
G9,d26,126173086.17,28.45,53.34,890.00,60,4329,11.51,33.93
G9,d26,126173086.17,28.45,53.34,890.00,60,4330,15.55,39.44
G9,d26,126173086.17,28.45,53.34,890.00,60,4331,9.55,30.90
G9,d26,126173086.17,28.45,53.34,890.00,60,4335,8.49,29.14
G9,d26,126173086.17,28.45,53.34,890.00,60,4397,11.56,33.99
G9,d26,126173086.17,28.45,53.34,890.00,60,4398,15.11,38.88
G9,d26,126173086.17,28.45,53.34,890.00,60,4412,10.53,32.44
G9,d26,126173086.17,28.45,53.34,890.00,60,4413,28.45,53.34
G9,d26,126173086.17,28.45,53.34,890.00,60,4414,9.43,30.71
G9,d26,126173086.17,28.45,53.34,890.00,60,4416,16.40,40.50
G9,d26,126173086.17,28.45,53.34,890.00,60,4418,17.26,41.54
G9,d26,126173086.17,28.45,53.34,890.00,60,4420,9.95,31.54
G9,d26,126173086.17,28.45,53.34,890.00,60,4421,8.46,29.09
G9,d26,126173086.17,28.45,53.34,890.00,60,4429,11.56,34.00
G9,d26,126173086.17,28.45,53.34,890.00,60,4430,8.84,29.74
G9,d26,126173086.17,28.45,53.34,890.00,60,4431,12.79,35.77
G9,d26,126173086.17,28.45,53.34,890.00,60,4432,13.94,37.34
G9,d26,126173086.17,28.45,53.34,890.00,60,4433,18.81,43.37
G9,d26,126173086.17,28.45,53.34,890.00,60,4523,8.35,28.90
G9,d26,126173086.17,28.45,53.34,890.00,60,4526,16.27,40.34
G9,d26,126173086.17,28.45,53.34,890.00,60,4527,11.99,34.62
G9,d26,126173086.17,28.45,53.34,890.00,60,4528,8.99,29.98
G9,d26,126173086.17,28.45,53.34,890.00,60,4530,9.25,30.42
G9,d26,126173086.17,28.45,53.34,890.00,60,4531,14.84,38.53
G9,d26,126173086.17,28.45,53.34,890.00,60,4533,13.81,37.16
G9,d26,126173086.17,28.45,53.34,890.00,60,4612,13.79,37.13
G9,d26,126173086.17,28.45,53.34,890.00,60,4614,8.04,28.35
G9,d26,126173086.17,28.45,53.34,890.00,60,4615,11.17,33.41
G9,d26,126173086.17,28.45,53.34,890.00,60,4621,14.45,38.02
G9,d26,126173086.17,28.45,53.34,890.00,60,4622,10.98,33.14
G9,d26,126173086.17,28.45,53.34,890.00,60,4623,13.02,36.08
G9,d26,126173086.17,28.45,53.34,890.00,60,4691,9.47,30.77
G9,d26,126173086.17,28.45,53.34,890.00,60,4693,8.42,29.02
G9,d26,126173086.17,28.45,53.34,890.00,60,4694,9.89,31.44
