BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
113,1,0,20.2243,321.2440,96.8300,0.0000,0.0000,0,6.0334,-132.1660,0.0000
114,1,0,20.1315,318.3040,96.8930,0.0000,0.0000,0,6.1449,-132.1650,0.0000
149,1,0,20.2088,320.7540,96.7939,0.0000,0.0000,0,6.3083,-132.2220,0.0000
150,1,0,19.9368,312.1780,96.2415,0.0000,0.0000,0,6.5084,-132.2220,0.0000
173,1,0,20.6215,333.9860,90.8984,0.0000,0.0000,0,6.6145,-132.2530,0.0000
174,1,0,20.3626,325.6550,95.4812,0.0000,0.0000,0,6.6622,-132.2530,0.0000
175,1,0,20.4467,328.3500,98.6915,0.0000,0.0000,0,6.7442,-132.2520,0.0000
176,1,0,20.5533,331.7810,94.7089,0.0000,0.0000,0,6.7922,-132.2520,0.0000
177,1,0,20.6328,334.3540,97.9834,0.0000,0.0000,0,6.8740,-132.2520,0.0000
178,1,0,20.7271,337.4170,91.3469,0.0000,0.0000,0,6.9220,-132.2520,0.0000
179,1,0,20.3856,326.3900,91.5473,0.0000,0.0000,0,7.0040,-132.2510,0.0000
180,1,0,20.6101,333.6190,91.9044,0.0000,0.0000,0,7.0521,-132.2510,0.0000
181,1,0,20.4696,329.0850,93.1987,0.0000,0.0000,0,7.1342,-132.2510,0.0000
182,1,0,20.3665,325.7770,92.4549,0.0000,0.0000,0,7.1820,-132.2510,0.0000
286,1,0,20.0305,315.1180,97.9121,0.0000,0.0000,0,6.0334,-132.3190,0.0000
287,1,0,20.1509,318.9160,98.1622,0.0000,0.0000,0,6.1455,-132.3190,0.0000
293,1,0,20.1625,319.2840,98.7306,0.0000,0.0000,0,6.6796,-132.3650,0.0000
294,1,0,20.4886,329.6980,95.5361,0.0000,0.0000,0,6.7275,-132.3650,0.0000
295,1,0,20.4696,329.0850,88.9881,0.0000,0.0000,0,6.9395,-132.3650,0.0000
296,1,0,20.8434,341.2150,92.3352,0.0000,0.0000,0,6.9874,-132.3650,0.0000
337,1,0,20.5191,330.6780,95.6824,0.0000,0.0000,0,6.3090,-132.3790,0.0000
338,1,0,20.0500,315.7310,94.9494,0.0000,0.0000,0,6.5088,-132.3790,0.0000
367,1,0,20.4848,329.5760,98.5729,0.0000,0.0000,0,6.3091,-132.4570,0.0000
368,1,0,20.0110,314.5060,97.7507,0.0000,0.0000,0,6.5088,-132.4570,0.0000
380,1,0,20.3818,326.2680,91.9704,0.0000,0.0000,0,7.1969,-132.4600,0.0000
434,1,0,20.4963,329.9430,94.4336,0.0000,0.0000,0,6.0340,-132.4900,0.0000
435,1,0,20.4085,327.1250,96.0350,0.0000,0.0000,0,6.1458,-132.4900,0.0000
441,1,0,20.0539,315.8530,94.9354,0.0000,0.0000,0,6.3091,-132.5240,0.0000
468,1,0,20.1973,320.3870,97.3073,0.0000,0.0000,0,6.3095,-132.6020,0.0000
497,1,0,20.3089,323.9400,96.0135,0.0000,0.0000,0,6.1465,-132.6440,0.0000
499,1,0,20.2551,322.2240,94.5541,0.0000,0.0000,0,6.0345,-132.6450,0.0000
500,1,0,20.7045,336.6820,95.1896,0.0000,0.0000,0,7.1356,-132.6460,0.0000
501,1,0,20.9330,344.1550,93.6868,0.0000,0.0000,0,7.1835,-132.6460,0.0000
535,1,0,21.0927,349.4240,96.1130,0.0000,0.0000,0,6.3098,-132.6740,0.0000
536,1,0,21.0668,348.5660,97.1494,0.0000,0.0000,0,6.5097,-132.6740,0.0000
547,1,0,21.2841,355.7950,96.7607,0.0028,0.0028,1,6.6394,-132.6930,0.0525
548,1,0,20.7760,339.0100,91.3639,0.0000,0.0000,0,7.0296,-132.6910,0.0000
591,1,0,21.6005,366.4540,95.3969,0.0000,0.0000,0,6.3104,-132.7520,0.0000
592,1,0,21.1665,351.8740,99.2505,0.0000,0.0000,0,6.5097,-132.7510,0.0000
600,1,0,21.4956,362.9010,95.3289,0.0000,0.0000,0,6.7457,-132.7570,0.0000
601,1,0,22.0579,382.1360,95.0768,0.0000,0.0000,0,6.7936,-132.7570,0.0000
602,1,0,22.1637,385.8120,98.7707,0.0000,0.0000,0,6.8758,-132.7570,0.0000
603,1,0,22.1038,383.7290,92.8031,0.0000,0.0000,0,6.9235,-132.7560,0.0000
656,1,0,20.5988,333.2510,96.1150,0.0000,0.0000,0,6.6398,-132.7710,0.0000
657,1,0,20.5419,331.4130,94.6992,0.0000,0.0000,0,7.0295,-132.7690,0.0000
684,1,0,20.2397,321.7340,94.0600,0.0000,0.0000,0,6.0582,-132.7910,0.0000
700,1,0,21.4738,362.1660,93.8590,0.0000,0.0000,0,6.2983,-132.8170,0.0000
702,1,0,20.4162,327.3700,96.9767,0.0000,0.0000,0,6.6398,-132.8230,0.0000
703,1,0,21.0223,347.0960,95.0817,0.0000,0.0000,0,6.7508,-132.8220,0.0000
704,1,0,21.4265,360.5730,92.9029,0.0000,0.0000,0,6.7985,-132.8220,0.0000
705,1,0,21.4556,361.5530,97.1776,0.0000,0.0000,0,6.8715,-132.8220,0.0000
706,1,0,22.0225,380.9110,95.1087,0.0000,0.0000,0,6.9192,-132.8220,0.0000
707,1,0,20.6290,334.2310,93.6215,0.0000,0.0000,0,7.0296,-132.8210,0.0000
708,1,0,20.9479,344.6450,92.9705,0.0000,0.0000,0,7.2105,-132.8210,0.0000
731,1,0,20.4276,327.7380,94.5121,0.0000,0.0000,0,6.0196,-132.8300,0.0000
732,1,0,20.2397,321.7340,91.9471,0.0000,0.0000,0,6.0975,-132.8300,0.0000
786,1,0,21.0816,349.0560,93.6665,0.0000,0.0000,0,6.3712,-132.8440,0.0000
787,1,0,20.5874,332.8840,97.1706,0.0000,0.0000,0,6.4836,-132.8440,0.0000
798,1,0,20.7083,336.8040,93.9485,0.0000,0.0000,0,7.1716,-132.8600,0.0000
832,1,0,20.0888,316.9560,95.0819,0.0000,0.0000,0,6.0585,-132.8690,0.0000
833,1,0,20.1354,318.4260,88.1116,0.0000,0.0000,0,5.9466,-132.8870,0.0000
834,1,0,20.4848,329.5760,95.4213,0.0000,0.0000,0,6.1847,-132.8920,0.0000
835,1,0,21.9231,377.4800,96.3510,0.0000,0.0000,0,6.9192,-132.9000,0.0000
848,1,0,19.3330,293.5550,89.4632,0.0000,0.0000,0,6.6401,-132.9010,0.0000
849,1,0,20.8322,340.8470,91.8094,0.0000,0.0000,0,6.7508,-132.9000,0.0000
850,1,0,21.3901,359.3480,91.5996,0.0000,0.0000,0,6.7989,-132.9000,0.0000
851,1,0,21.7768,372.4570,93.3014,0.0000,0.0000,0,6.8713,-132.9000,0.0000
852,1,0,20.7647,338.6420,91.7945,0.0000,0.0000,0,7.0301,-132.8990,0.0000
853,1,0,20.8509,341.4600,92.9356,0.0000,0.0000,0,7.2111,-132.8990,0.0000
925,1,0,20.2204,321.1220,94.8945,0.0000,0.0000,0,5.9857,-132.9260,0.0000
935,1,0,20.5001,330.0660,95.6922,0.0000,0.0000,0,6.1460,-132.9310,0.0000
936,1,0,20.5950,333.1290,93.3960,0.0000,0.0000,0,6.2241,-132.9310,0.0000
977,1,0,20.2435,321.8570,94.1485,0.0000,0.0000,0,6.1852,-132.9700,0.0000
978,1,0,19.9837,313.6480,90.4633,0.0000,0.0000,0,6.0593,-132.9910,0.0000
979,1,0,20.1082,317.5690,96.2981,0.0000,0.0000,0,5.9471,-132.9960,0.0000
1000,1,0,20.3051,323.8170,94.0490,0.0000,0.0000,0,6.6104,-133.0220,0.0000
1001,1,0,21.4738,362.1660,93.9604,0.0000,0.0000,0,6.8106,-133.0220,0.0000
1002,1,0,20.8322,340.8470,94.4781,0.0000,0.0000,0,7.0108,-133.0210,0.0000
1003,1,0,20.5533,331.7810,93.2740,0.0000,0.0000,0,7.2110,-133.0210,0.0000
1039,1,0,19.9486,312.5450,92.7493,0.0000,0.0000,0,6.0203,-133.0300,0.0000
1040,1,0,20.0577,315.9760,94.6459,0.0000,0.0000,0,6.0983,-133.0300,0.0000
1042,1,0,21.2474,354.5690,93.2210,0.0000,0.0000,0,6.5717,-133.0620,0.0000
1043,1,0,21.1370,350.8940,94.3168,0.0000,0.0000,0,6.6497,-133.0610,0.0000
1044,1,0,21.8661,375.5200,97.3601,0.0000,0.0000,0,6.7721,-133.0610,0.0000
1045,1,0,21.9267,377.6030,97.3382,0.0000,0.0000,0,6.8496,-133.0610,0.0000
1046,1,0,20.6366,334.4760,90.3899,0.0000,0.0000,0,6.9720,-133.0600,0.0000
1047,1,0,20.3511,325.2870,92.1512,0.0000,0.0000,0,7.0499,-133.0600,0.0000
1048,1,0,20.8097,340.1120,93.9844,0.0000,0.0000,0,7.1724,-133.0590,0.0000
1137,1,0,20.2358,321.6120,96.9388,0.0000,0.0000,0,5.9472,-133.0750,0.0000
1142,1,0,21.0297,347.3410,93.7731,0.0000,0.0000,0,6.6107,-133.1000,0.0000
1143,1,0,20.7158,337.0490,94.2218,0.0000,0.0000,0,7.2115,-133.0990,0.0000
1157,1,0,22.2726,389.6100,93.8487,0.0000,0.0000,0,6.8109,-133.1000,0.0000
1158,1,0,20.1663,319.4060,97.6667,0.0000,0.0000,0,7.0112,-133.0990,0.0000
1193,1,0,20.1044,317.4460,90.1221,0.0000,0.0000,0,6.0598,-133.1070,0.0000
1196,1,0,21.7230,370.6190,95.7120,0.0000,0.0000,0,6.7110,-133.1220,0.0000
1197,1,0,21.0371,347.5860,98.6569,0.0000,0.0000,0,6.9108,-133.1210,0.0000
1198,1,0,20.1160,317.8140,96.4529,0.0000,0.0000,0,7.1115,-133.1210,0.0000
1233,1,0,21.5028,363.1460,96.3715,0.0000,0.0000,0,6.3910,-133.1340,0.0000
1240,1,0,20.2474,321.9790,94.8848,0.0000,0.0000,0,6.0208,-133.1460,0.0000
1241,1,0,20.4810,329.4530,99.1096,0.0000,0.0000,0,6.0987,-133.1460,0.0000
1259,1,0,21.9302,377.7250,93.8607,0.0000,0.0000,0,6.6721,-133.1610,0.0000
1260,1,0,22.0826,382.9940,95.2457,0.0000,0.0000,0,6.7499,-133.1610,0.0000
1261,1,0,20.9181,343.6650,97.5895,0.0000,0.0000,0,6.8721,-133.1610,0.0000
1262,1,0,20.9069,343.2980,97.4063,0.0000,0.0000,0,6.9501,-133.1600,0.0000
1263,1,0,20.7421,337.9070,98.4053,0.0000,0.0000,0,7.0724,-133.1600,0.0000
1264,1,0,20.9144,343.5430,94.0468,0.0000,0.0000,0,7.1503,-133.1600,0.0000
1334,1,0,20.5381,331.2910,95.7816,0.0000,0.0000,0,6.2864,-133.1930,0.0000
1335,1,0,21.5716,365.4740,95.9399,0.0000,0.0000,0,6.4960,-133.1920,0.0000
1343,1,0,21.9835,379.5630,97.4228,0.0000,0.0000,0,6.7112,-133.2000,0.0000
