Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
RF2,60,113,-6.8709,126.0440,20.0927,95.9541,317.0790,0.0000,0.0000,Pass
RF2,60,114,-6.7584,126.0440,20.1895,94.4467,320.1420,0.0000,0.0000,Pass
RF2,60,149,-6.5950,125.9870,20.2666,94.4717,322.5920,0.0000,0.0000,Pass
RF2,60,150,-6.3950,125.9880,20.7572,97.5189,338.3970,0.0000,0.0000,Pass
RF2,60,173,-6.2891,125.9570,20.6063,95.7071,333.4960,0.0000,0.0000,Pass
RF2,60,174,-6.2410,125.9570,20.4505,92.4710,328.4730,0.0000,0.0000,Pass
RF2,60,175,-6.1588,125.9570,20.3166,91.4704,324.1850,0.0000,0.0000,Pass
RF2,60,176,-6.1111,125.9570,20.6063,90.9730,333.4960,0.0000,0.0000,Pass
RF2,60,177,-6.0290,125.9580,20.7722,91.4331,338.8870,0.0000,0.0000,Pass
RF2,60,178,-5.9809,125.9580,20.3550,90.6809,325.4100,0.0000,0.0000,Pass
RF2,60,179,-5.8988,125.9580,20.4009,96.2281,326.8800,0.0000,0.0000,Pass
RF2,60,180,-5.8509,125.9580,20.1934,90.9019,320.2640,0.0000,0.0000,Pass
RF2,60,181,-5.7688,125.9580,20.3281,89.7637,324.5520,0.0000,0.0000,Pass
RF2,60,182,-5.7208,125.9590,21.0000,92.4531,346.3610,0.0000,0.0000,Pass
RF2,60,286,-6.8701,125.8900,19.6967,99.7100,304.7040,0.0000,0.0000,Pass
RF2,60,287,-6.7580,125.8900,20.3473,96.0939,325.1650,0.0000,0.0000,Pass
RF2,60,293,-6.2239,125.8440,20.3741,95.2050,326.0220,0.0000,0.0000,Pass
RF2,60,294,-6.1760,125.8440,20.5798,95.4056,332.6390,0.0000,0.0000,Pass
RF2,60,295,-5.9636,125.8450,20.4276,92.8975,327.7380,0.0000,0.0000,Pass
RF2,60,296,-5.9156,125.8450,20.7497,89.8705,338.1520,0.0000,0.0000,Pass
RF2,60,337,-6.5946,125.8300,20.3128,98.4753,324.0620,0.0000,0.0000,Pass
RF2,60,338,-6.3945,125.8300,20.1702,96.2752,319.5290,0.0000,0.0000,Pass
RF2,60,367,-6.5944,125.7520,20.0655,94.9134,316.2210,0.0000,0.0000,Pass
RF2,60,368,-6.3944,125.7520,20.0032,95.5748,314.2610,0.0000,0.0000,Pass
RF2,60,380,-5.7060,125.7490,20.9814,91.9426,345.7480,0.0000,0.0000,Pass
RF2,60,434,-6.8697,125.7190,20.5115,95.8843,330.4330,0.0000,0.0000,Pass
RF2,60,435,-6.7575,125.7190,20.4963,94.7735,329.9430,0.0000,0.0000,Pass
RF2,60,441,-6.5942,125.6850,20.1779,98.9375,319.7740,0.0000,0.0000,Pass
RF2,60,468,-6.5938,125.6070,20.0733,95.3473,316.4660,0.0000,0.0000,Pass
RF2,60,497,-6.7569,125.5650,20.3205,97.9289,324.3070,0.0000,0.0000,Pass
RF2,60,499,-6.8692,125.5650,20.2743,96.0398,322.8370,0.0000,0.0000,Pass
RF2,60,500,-5.7677,125.5630,20.5495,93.4862,331.6580,0.0000,0.0000,Pass
RF2,60,501,-5.7194,125.5630,20.7497,90.9180,338.1520,0.0000,0.0000,Pass
RF2,60,535,-6.5934,125.5350,20.6555,92.9641,335.0890,0.0000,0.0000,Pass
RF2,60,536,-6.3935,125.5360,21.2364,96.8995,354.2020,0.0000,0.0000,Pass
RF2,60,547,-6.2639,125.5160,21.2584,92.4530,354.9370,0.0000,0.0000,Pass
RF2,60,548,-5.8735,125.5180,20.5001,92.7791,330.0660,0.0000,0.0000,Pass
RF2,60,591,-6.5933,125.4570,21.4956,96.3968,362.9010,0.0000,0.0000,Pass
RF2,60,592,-6.3935,125.4580,20.9665,94.6907,345.2580,0.0000,0.0000,Pass
RF2,60,600,-6.1576,125.4520,21.1259,98.4096,350.5260,0.0000,0.0000,Pass
RF2,60,601,-6.1096,125.4520,21.9160,92.5791,377.2350,0.0000,0.0000,Pass
RF2,60,602,-6.0275,125.4520,22.0225,93.7913,380.9110,0.0000,0.0000,Pass
RF2,60,603,-5.9796,125.4530,21.4047,94.1105,359.8380,0.0000,0.0000,Pass
RF2,60,656,-6.2635,125.4380,21.1185,92.4111,350.2810,0.0000,0.0000,Pass
RF2,60,657,-5.8735,125.4400,20.8060,92.3752,339.9900,0.0000,0.0000,Pass
RF2,60,684,-6.8451,125.4180,20.1663,94.2314,319.4060,0.0000,0.0000,Pass
RF2,60,700,-6.6053,125.3910,22.1672,95.3816,385.9340,0.0000,0.0000,Pass
RF2,60,702,-6.2635,125.3860,20.7233,94.2630,337.2940,0.0000,0.0000,Pass
RF2,60,703,-6.1525,125.3870,21.7409,96.3926,371.2320,0.0000,0.0000,Pass
RF2,60,704,-6.1047,125.3870,21.7301,95.9549,370.8640,0.0000,0.0000,Pass
RF2,60,705,-6.0320,125.3870,21.9516,95.7385,378.4610,0.0000,0.0000,Pass
RF2,60,706,-5.9839,125.3870,21.5789,95.2380,365.7190,0.0000,0.0000,Pass
RF2,60,707,-5.8732,125.3880,20.2551,92.6331,322.2240,0.0000,0.0000,Pass
RF2,60,708,-5.6928,125.3880,21.2143,90.3880,353.4670,0.0000,0.0000,Pass
RF2,60,731,-6.8839,125.3790,20.3320,93.8379,324.6750,0.0000,0.0000,Pass
RF2,60,732,-6.8059,125.3790,20.1005,93.1163,317.3240,0.0000,0.0000,Pass
RF2,60,786,-6.5320,125.3650,20.8584,95.5916,341.7050,0.0000,0.0000,Pass
RF2,60,787,-6.4197,125.3650,20.4963,94.6782,329.9430,0.0000,0.0000,Pass
RF2,60,798,-5.7317,125.3490,20.5153,92.2616,330.5560,0.0000,0.0000,Pass
RF2,60,832,-6.8448,125.3400,20.1470,94.0679,318.7940,0.0000,0.0000,Pass
RF2,60,833,-6.9570,125.3220,19.6730,94.1637,303.9690,0.0000,0.0000,Pass
RF2,60,834,-6.7191,125.3170,20.0811,97.8717,316.7110,0.0000,0.0000,Pass
RF2,60,835,-5.9835,125.3090,21.9445,93.1205,378.2160,0.0000,0.0000,Pass
RF2,60,848,-6.2629,125.3080,19.4095,89.3975,295.8830,0.0000,0.0000,Pass
RF2,60,849,-6.1522,125.3090,21.1996,97.1962,352.9770,0.0000,0.0000,Pass
RF2,60,850,-6.1046,125.3090,21.4992,95.7795,363.0230,0.0000,0.0000,Pass
RF2,60,851,-6.0319,125.3090,21.3791,90.8376,358.9800,0.0000,0.0000,Pass
RF2,60,852,-5.8729,125.3090,20.2936,94.2417,323.4500,0.0000,0.0000,Pass
