BumpId,VoidId,Bump_X,Bump_Y,X(um),Y(um),Diam_X,Diam_Y,Diameter(%),Area(um2),Area(%)
299,1,-5.4600,126.6600,0.0040,0.0008,3.0237,3.0237,13.3421,7.1806,1.7801
339,1,-6.0915,126.6460,-0.0001,0.0022,2.0742,2.0742,8.9893,3.3791,0.8081
368,1,-7.0897,126.5650,-0.0005,0.0026,5.5366,5.5366,24.6774,24.0759,6.0897
373,1,-5.8915,126.5690,-0.0006,0.0037,2.5404,2.5404,11.2449,5.0686,1.2645
375,1,-5.1485,126.5650,-0.0004,0.0014,4.4001,4.4001,18.9170,15.2058,3.5785
442,1,-6.0912,126.5010,0.0000,0.0015,3.1966,3.1966,14.3320,8.0253,2.0541
502,1,-6.3333,126.3760,0.0000,-0.0001,4.6957,4.6957,20.0983,17.3178,4.0394
506,1,-5.1342,126.3790,-0.0006,0.0017,2.3190,2.3190,9.9900,4.2238,0.9980
538,1,-5.8900,126.3510,-0.0030,-0.0004,4.5797,4.5797,20.8747,16.4729,4.3575
547,1,-6.9594,126.3280,-0.0022,0.0007,4.8645,4.8645,21.7864,18.5849,4.7465
575,1,-6.2887,126.3010,-0.0024,0.0002,2.5404,2.5404,11.2154,5.0686,1.2579
596,1,-5.6542,126.2680,-0.0010,0.0005,5.7276,5.7276,25.1551,25.7654,6.3278
603,1,-6.6749,126.2630,-0.0012,0.0021,4.9738,4.9738,22.2163,19.4298,4.9356
604,1,-6.3274,126.2610,0.0005,-0.0010,3.8805,3.8805,17.3702,11.8268,3.0172
705,1,-6.7272,126.1980,-0.0017,0.0018,4.3385,4.3385,18.9954,14.7835,3.6083
707,1,-6.5686,126.1990,-0.0005,0.0004,4.0831,4.0831,18.2476,13.0939,3.3297
711,1,-5.6017,126.2020,0.0008,-0.0036,3.5170,3.5170,15.8719,9.7149,2.5192
835,1,-6.6792,126.1200,-0.0009,0.0009,1.6398,1.6398,7.3206,2.1119,0.5359
837,1,-5.6016,126.1240,-0.0002,0.0022,4.4001,4.4001,19.2947,15.2059,3.7229
839,1,-5.4799,126.1250,0.0023,0.0001,2.8402,2.8402,12.2597,6.3358,1.5030
840,1,-5.3697,126.1250,-0.0005,-0.0002,3.8805,3.8805,17.4932,11.8268,3.0601
852,1,-6.5687,126.1210,0.0007,0.0032,3.8805,3.8805,16.7332,11.8268,2.8000
938,1,-5.2127,126.0650,-0.0005,-0.0033,1.6398,1.6398,7.3363,2.1119,0.5382
939,1,-6.3273,126.0610,0.0000,0.0019,3.9492,3.9492,16.7228,12.2491,2.7965
980,1,-6.2880,126.0220,-0.0002,-0.0003,6.0027,6.0027,24.2536,28.2999,5.8824
