Recipe,Lot,Wafer,MAX Area Void,MAX Diameter Void,Total NG,DieId,BumpId,Area Percent,Diameter Percent
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,1199,8.08,28.43
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,1628,9.49,30.80
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,1918,8.11,28.47
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,2030,10.06,31.71
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,3418,9.49,30.80
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,3675,8.10,28.46
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,3787,9.19,30.31
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,4028,8.17,28.59
RF4,d26_0,126173086.17,16.78,40.96,161.00,60,4158,9.83,31.35
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,502,9.32,30.52
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,503,8.77,29.61
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,548,9.19,30.32
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,694,13.58,36.85
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,851,8.52,29.19
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,853,10.66,32.64
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,939,8.91,29.85
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1047,8.11,28.48
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1048,11.27,33.56
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1049,9.64,31.04
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1051,8.21,28.65
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1143,9.35,30.58
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1144,11.14,33.38
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1263,10.46,32.35
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1267,10.52,32.44
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1335,10.56,32.50
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1337,8.14,28.54
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1344,8.17,28.58
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1392,15.50,39.36
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1393,11.76,34.29
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1394,9.27,30.45
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1442,8.23,28.69
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1444,8.74,29.56
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1446,10.13,31.83
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1447,9.03,30.05
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1451,9.08,30.13
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1452,13.44,36.66
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1519,9.79,31.29
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1637,12.01,34.65
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1652,14.77,38.43
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1654,8.70,29.49
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1736,8.05,28.38
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1740,8.41,28.99
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1783,8.97,29.96
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1789,8.60,29.33
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1793,8.23,28.68
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1845,11.32,33.64
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1846,10.75,32.78
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,1847,8.02,28.33
