BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
286,1,0,25.5779,513.8290,90.2403,0.0000,0.0000,0,135.0490,-2.7830,0.0000
287,1,0,25.4719,509.5780,92.8785,0.0000,0.0000,0,135.1610,-2.7826,0.0000
293,1,0,25.4843,510.0780,95.7237,0.0000,0.0000,0,135.6950,-2.8292,0.0000
294,1,0,25.7206,519.5800,95.9875,0.0000,0.0000,0,135.7430,-2.8291,0.0000
295,1,0,25.4343,508.0780,95.1428,0.0000,0.0000,0,135.9550,-2.8280,0.0000
296,1,0,25.4093,507.0780,97.2868,0.0000,0.0000,0,136.0030,-2.8277,0.0000
337,1,0,25.3528,504.8270,94.9615,0.0000,0.0000,0,135.3240,-2.8426,0.0000
338,1,0,25.3277,503.8270,94.0474,0.0000,0.0000,0,135.5240,-2.8421,0.0000
339,1,0,25.4593,509.0780,94.8495,0.0000,0.0000,0,136.5220,-2.8382,0.0000
340,1,0,25.5779,513.8290,93.3789,0.0000,0.0000,0,136.7230,-2.8374,0.0000
367,1,0,25.5093,511.0780,95.0936,0.0000,0.0000,0,135.3240,-2.9207,0.0000
368,1,0,25.3842,506.0780,95.4662,0.0000,0.0000,0,135.5240,-2.9202,0.0000
369,1,0,25.4906,510.3280,96.2306,0.0000,0.0000,0,136.5220,-2.9164,0.0000
373,1,0,25.4719,509.5780,94.8047,0.0000,0.0000,0,136.7230,-2.9156,0.0000
380,1,0,25.4968,510.5780,96.1152,0.0000,0.0000,0,136.2120,-2.9235,0.0000
381,1,0,25.3967,506.5780,96.5120,0.0000,0.0000,0,136.2660,-2.9233,0.0000
434,1,0,25.4719,509.5780,93.4562,0.0000,0.0000,0,135.0490,-2.9540,0.0000
435,1,0,25.4281,507.8280,93.9264,0.0000,0.0000,0,135.1610,-2.9537,0.0000
441,1,0,25.3151,503.3270,95.6290,0.0000,0.0000,0,135.3240,-2.9878,0.0000
442,1,0,25.4468,508.5780,96.3785,0.0000,0.0000,0,136.5230,-2.9834,0.0000
468,1,0,25.4093,507.0780,95.1541,0.0000,0.0000,0,135.3250,-3.0658,0.0000
469,1,0,25.5280,511.8290,96.3016,0.0000,0.0000,0,136.5230,-3.0615,0.0000
497,1,0,25.3277,503.8270,93.7087,0.0000,0.0000,0,135.1620,-3.1077,0.0000
499,1,0,25.3779,505.8280,94.5740,0.0000,0.0000,0,135.0500,-3.1081,0.0000
500,1,0,25.4218,507.5780,98.6265,0.0000,0.0000,0,136.1500,-3.1095,0.0000
501,1,0,25.4343,508.0780,99.2108,0.0000,0.0000,0,136.1980,-3.1092,0.0000
502,1,0,25.3967,506.5780,97.2164,0.0000,0.0000,0,136.2800,-3.1090,0.0000
503,1,0,25.3528,504.8270,97.4101,0.0000,0.0000,0,136.3280,-3.1087,0.0000
535,1,0,25.3717,505.5780,95.8485,0.0000,0.0000,0,135.3250,-3.1377,0.0000
536,1,0,25.3277,503.8270,97.0701,0.0000,0.0000,0,135.5250,-3.1372,0.0000
537,1,0,25.4781,509.8280,96.6825,0.0000,0.0000,0,136.5230,-3.1335,0.0000
538,1,0,25.4719,509.5780,95.6839,0.0000,0.0000,0,136.7230,-3.1327,0.0000
547,1,0,25.2774,501.8270,97.9917,0.0000,0.0000,0,135.6550,-3.1568,0.0000
548,1,0,25.3088,503.0770,98.7059,0.0000,0.0000,0,136.0440,-3.1551,0.0000
549,1,0,25.4218,507.5780,95.0249,0.0000,0.0000,0,136.8540,-3.1523,0.0000
575,1,0,25.5156,511.3290,98.5944,0.0000,0.0000,0,136.3250,-3.1840,0.0000
591,1,0,25.2963,502.5770,96.2810,0.0000,0.0000,0,135.3250,-3.2157,0.0000
592,1,0,25.3591,505.0780,97.5953,0.0000,0.0000,0,135.5250,-3.2152,0.0000
593,1,0,25.4155,507.3280,96.9754,0.0000,0.0000,0,136.5230,-3.2115,0.0000
594,1,0,25.4656,509.3280,95.9763,0.0000,0.0000,0,136.7240,-3.2108,0.0000
600,1,0,25.6214,515.5790,97.6164,0.0000,0.0000,0,135.7610,-3.2212,0.0000
601,1,0,25.5530,512.8290,98.0458,0.0000,0.0000,0,135.8090,-3.2210,0.0000
602,1,0,25.6462,516.5790,98.8019,0.0000,0.0000,0,135.8910,-3.2207,0.0000
603,1,0,25.6152,515.3290,98.6442,0.0000,0.0000,0,135.9390,-3.2205,0.0000
604,1,0,25.4218,507.5780,98.0467,0.0000,0.0000,0,136.2860,-3.2231,0.0000
605,1,0,25.5965,514.5790,98.2069,0.0000,0.0000,0,136.3640,-3.2229,0.0000
656,1,0,25.4155,507.3280,98.2477,0.0000,0.0000,0,135.6550,-3.2348,0.0000
657,1,0,25.5965,514.5790,98.4139,0.0000,0.0000,0,136.0450,-3.2332,0.0000
658,1,0,25.4155,507.3280,95.4680,0.0000,0.0000,0,136.8540,-3.2303,0.0000
684,1,0,25.5218,511.5790,95.4904,0.0000,0.0000,0,135.0740,-3.2548,0.0000
694,1,0,25.4593,509.0780,98.2180,0.0000,0.0000,0,136.3250,-3.2620,0.0000
700,1,0,25.4218,507.5780,96.8943,0.0000,0.0000,0,135.3130,-3.2812,0.0000
701,1,0,25.5405,512.3290,97.2224,0.0000,0.0000,0,136.5110,-3.2769,0.0000
702,1,0,25.4468,508.5780,98.3673,0.0000,0.0000,0,135.6550,-3.2868,0.0000
703,1,0,25.6834,518.0800,99.0006,0.0000,0.0000,0,135.7660,-3.2865,0.0000
704,1,0,25.8009,522.8300,98.5902,0.0000,0.0000,0,135.8130,-3.2863,0.0000
705,1,0,25.7268,519.8300,98.7030,0.0000,0.0000,0,135.8860,-3.2861,0.0000
706,1,0,25.8564,525.0810,98.2728,0.0000,0.0000,0,135.9340,-3.2860,0.0000
707,1,0,25.8009,522.8300,97.5835,0.0000,0.0000,0,136.0450,-3.2852,0.0000
708,1,0,25.5530,512.8290,98.2654,0.0000,0.0000,0,136.2250,-3.2844,0.0000
709,1,0,25.4968,510.5780,96.2669,0.0000,0.0000,0,136.8540,-3.2823,0.0000
731,1,0,25.3967,506.5780,95.8744,0.0000,0.0000,0,135.0350,-3.2939,0.0000
732,1,0,25.4218,507.5780,96.0012,0.0000,0.0000,0,135.1130,-3.2938,0.0000
786,1,0,25.2837,502.0770,97.6612,0.0000,0.0000,0,135.3860,-3.3077,0.0000
787,1,0,25.2837,502.0770,97.6709,0.0000,0.0000,0,135.4980,-3.3074,0.0000
788,1,0,25.4218,507.5780,96.4774,0.0000,0.0000,0,136.5850,-3.3036,0.0000
789,1,0,25.4093,507.0780,96.7845,0.0000,0.0000,0,136.6970,-3.3031,0.0000
798,1,0,25.7824,522.0800,98.4299,0.0000,0.0000,0,136.1860,-3.3237,0.0000
799,1,0,25.6648,517.3290,98.3879,0.0000,0.0000,0,136.2640,-3.3234,0.0000
832,1,0,25.3026,502.8270,96.2540,0.0000,0.0000,0,135.0740,-3.3328,0.0000
834,1,0,25.4218,507.5780,96.6989,0.0000,0.0000,0,135.2000,-3.3558,0.0000
835,1,0,25.7701,521.5800,99.5336,0.0000,0.0000,0,135.9340,-3.3640,0.0000
848,1,0,25.6214,515.5790,97.3688,0.0000,0.0000,0,135.6550,-3.3649,0.0000
849,1,0,25.7948,522.5800,98.3681,0.0000,0.0000,0,135.7660,-3.3645,0.0000
850,1,0,25.7948,522.5800,99.5428,0.0000,0.0000,0,135.8140,-3.3644,0.0000
851,1,0,25.7268,519.8300,98.6835,0.0000,0.0000,0,135.8860,-3.3641,0.0000
852,1,0,25.7020,518.8300,99.2363,0.0000,0.0000,0,136.0450,-3.3632,0.0000
853,1,0,25.8133,523.3300,98.3940,0.0000,0.0000,0,136.2250,-3.3624,0.0000
854,1,0,25.5467,512.5790,96.1276,0.0000,0.0000,0,136.8550,-3.3605,0.0000
926,1,0,25.6027,514.8290,98.6985,0.0000,0.0000,0,136.3260,-3.3843,0.0000
935,1,0,25.3277,503.8270,95.9652,0.0000,0.0000,0,135.1610,-3.3948,0.0000
936,1,0,25.5093,511.0780,96.2725,0.0000,0.0000,0,135.2390,-3.3947,0.0000
939,1,0,25.8194,523.5800,99.7235,0.0000,0.0000,0,136.2870,-3.4234,0.0000
940,1,0,25.7515,520.8300,98.8443,0.0000,0.0000,0,136.3650,-3.4231,0.0000
977,1,0,25.4343,508.0780,95.7480,0.0000,0.0000,0,135.2000,-3.4338,0.0000
978,1,0,25.3717,505.5780,95.8069,0.0000,0.0000,0,135.0740,-3.4552,0.0000
980,1,0,25.8256,523.8300,98.5238,0.0000,0.0000,0,136.3260,-3.4623,0.0000
1000,1,0,25.9670,529.5810,98.5596,0.0000,0.0000,0,135.6260,-3.4870,0.0000
1001,1,0,25.7020,518.8300,99.7026,0.0000,0.0000,0,135.8260,-3.4864,0.0000
1002,1,0,25.6152,515.3290,99.2951,0.0000,0.0000,0,136.0260,-3.4853,0.0000
1003,1,0,25.6586,517.0790,98.2406,0.0000,0.0000,0,136.2260,-3.4847,0.0000
1039,1,0,25.2963,502.5770,96.2699,0.0000,0.0000,0,135.0360,-3.4942,0.0000
1040,1,0,25.3528,504.8270,95.1277,0.0000,0.0000,0,135.1130,-3.4940,0.0000
1042,1,0,25.9731,529.8310,98.9681,0.0000,0.0000,0,135.5870,-3.5261,0.0000
1043,1,0,25.9792,530.0810,99.1245,0.0000,0.0000,0,135.6650,-3.5258,0.0000
1044,1,0,25.7639,521.3300,99.1829,0.0000,0.0000,0,135.7870,-3.5255,0.0000
1045,1,0,25.7577,521.0800,99.1509,0.0000,0.0000,0,135.8650,-3.5251,0.0000
1046,1,0,25.5654,513.3290,99.5251,0.0000,0.0000,0,135.9870,-3.5244,0.0000
1047,1,0,25.5841,514.0790,99.2974,0.0000,0.0000,0,136.0650,-3.5241,0.0000
1048,1,0,25.5218,511.5790,98.5971,0.0000,0.0000,0,136.1870,-3.5237,0.0000
1049,1,0,25.7144,519.3300,99.3359,0.0000,0.0000,0,136.2650,-3.5235,0.0000
1050,1,0,25.6338,516.0790,95.5646,0.0000,0.0000,0,136.8230,-3.5216,0.0000
1142,1,0,25.9424,528.5810,99.2255,0.0000,0.0000,0,135.6260,-3.5649,0.0000
1143,1,0,25.5716,513.5790,99.3711,0.0000,0.0000,0,136.2260,-3.5626,0.0000
1144,1,0,25.4656,509.3280,96.7701,0.0000,0.0000,0,136.8620,-3.5606,0.0000
1157,1,0,25.6152,515.3290,99.1291,0.0000,0.0000,0,135.8260,-3.5643,0.0000
1158,1,0,25.5467,512.5790,99.4207,0.0000,0.0000,0,136.0260,-3.5633,0.0000
1193,1,0,25.4406,508.3280,95.8439,0.0000,0.0000,0,135.0750,-3.5706,0.0000
1196,1,0,25.7639,521.3300,99.5273,0.0000,0.0000,0,135.7260,-3.5868,0.0000
1197,1,0,25.6896,518.3300,99.8487,0.0000,0.0000,0,135.9260,-3.5861,0.0000
1198,1,0,25.5716,513.5790,99.2204,0.0000,0.0000,0,136.1260,-3.5851,0.0000
1199,1,0,25.6276,515.8290,98.9440,0.0000,0.0000,0,136.3260,-3.5845,0.0000
1233,1,0,25.5031,510.8280,97.7308,0.0000,0.0000,0,135.4060,-3.5982,0.0000
1234,1,0,25.3528,504.8270,96.7839,0.0000,0.0000,0,136.6040,-3.5940,0.0000
1240,1,0,25.2396,500.3270,97.0691,0.0000,0.0000,0,135.0360,-3.6096,0.0000
1241,1,0,25.3967,506.5780,96.0906,0.0000,0.0000,0,135.1140,-3.6094,0.0000
1259,1,0,25.6214,515.5790,99.0460,0.0000,0.0000,0,135.6870,-3.6258,0.0000
1260,1,0,25.6648,517.3290,99.2140,0.0000,0.0000,0,135.7650,-3.6256,0.0000
1261,1,0,25.6648,517.3290,98.9921,0.0000,0.0000,0,135.8870,-3.6253,0.0000
1262,1,0,25.6338,516.0790,99.7556,0.0000,0.0000,0,135.9650,-3.6246,0.0000
1263,1,0,25.5093,511.0780,99.6519,0.0000,0.0000,0,136.0870,-3.6242,0.0000
1264,1,0,25.4781,509.8280,98.9993,0.0000,0.0000,0,136.1650,-3.6239,0.0000
1265,1,0,25.5343,512.0790,98.8818,0.0000,0.0000,0,136.2870,-3.6235,0.0000
1266,1,0,25.7268,519.8300,98.6779,0.0000,0.0000,0,136.3650,-3.6233,0.0000
1334,1,0,25.4281,507.8280,97.7738,0.0000,0.0000,0,135.3010,-3.6566,0.0000
1335,1,0,25.8009,522.8300,98.7643,0.0000,0.0000,0,135.5110,-3.6560,0.0000
1336,1,0,25.6834,518.0800,98.1696,0.0000,0.0000,0,136.4990,-3.6524,0.0000
1337,1,0,25.4468,508.5780,96.4520,0.0000,0.0000,0,136.7100,-3.6518,0.0000
1343,1,0,25.6772,517.8290,99.8707,0.0000,0.0000,0,135.7260,-3.6646,0.0000
1344,1,0,25.6152,515.3290,99.6108,0.0000,0.0000,0,135.9260,-3.6641,0.0000
1345,1,0,25.5218,511.5790,99.6993,0.0000,0.0000,0,136.1260,-3.6630,0.0000
1346,1,0,25.6027,514.8290,99.5909,0.0000,0.0000,0,136.3270,-3.6625,0.0000
1388,1,0,25.5530,512.8290,95.5426,0.0000,0.0000,0,135.0750,-3.6808,0.0000
1390,1,0,25.7577,521.0800,98.9439,0.0000,0.0000,0,135.6260,-3.6871,0.0000
1391,1,0,25.6090,515.0790,99.6041,0.0000,0.0000,0,135.8260,-3.6865,0.0000
1392,1,0,25.4406,508.3280,99.3367,0.0000,0.0000,0,136.0260,-3.6854,0.0000
1393,1,0,25.5031,510.8280,99.3047,0.0000,0.0000,0,136.2260,-3.6849,0.0000
1435,1,0,25.2585,501.0770,96.1502,0.0000,0.0000,0,135.0360,-3.7199,0.0000
1436,1,0,25.4656,509.3280,96.3160,0.0000,0.0000,0,135.1140,-3.7197,0.0000
1441,1,0,25.7453,520.5800,98.2657,0.0000,0.0000,0,135.5870,-3.7262,0.0000
1442,1,0,25.6462,516.5790,99.6467,0.0000,0.0000,0,135.6650,-3.7260,0.0000
1443,1,0,25.6276,515.8290,99.4527,0.0000,0.0000,0,135.7870,-3.7256,0.0000
1444,1,0,25.5716,513.5790,98.4082,0.0000,0.0000,0,135.8650,-3.7254,0.0000
1445,1,0,25.3842,506.0780,99.5784,0.0000,0.0000,0,135.9870,-3.7246,0.0000
1446,1,0,25.3905,506.3280,99.7871,0.0000,0.0000,0,136.0650,-3.7243,0.0000
1447,1,0,25.4468,508.5780,99.0219,0.0000,0.0000,0,136.1880,-3.7239,0.0000
1448,1,0,25.4406,508.3280,99.6375,0.0000,0.0000,0,136.2650,-3.7236,0.0000
1449,1,0,25.3967,506.5780,96.6153,0.0000,0.0000,0,136.8240,-3.7219,0.0000
1519,1,0,25.4593,509.0780,98.2520,0.0000,0.0000,0,135.4060,-3.7312,0.0000
1520,1,0,25.3151,503.3270,98.6785,0.0000,0.0000,0,136.6050,-3.7271,0.0000
1522,1,0,25.5093,511.0780,97.3629,0.0000,0.0000,0,135.3020,-3.7346,0.0000
1523,1,0,25.8256,523.8300,98.9057,0.0000,0.0000,0,135.5110,-3.7339,0.0000
1524,1,0,25.6090,515.0790,98.1177,0.0000,0.0000,0,136.4990,-3.7305,0.0000
1525,1,0,25.4531,508.8280,96.5040,0.0000,0.0000,0,136.7100,-3.7297,0.0000
1543,1,0,25.4281,507.8280,97.0425,0.0000,0.0000,0,135.0750,-3.7587,0.0000
1544,1,0,25.5903,514.3290,99.3420,0.0000,0.0000,0,135.6270,-3.7651,0.0000
1545,1,0,25.6834,518.0800,99.6886,0.0000,0.0000,0,135.8270,-3.7645,0.0000
1546,1,0,25.3905,506.3280,99.4694,0.0000,0.0000,0,136.0260,-3.7634,0.0000
1547,1,0,25.3905,506.3280,99.3388,0.0000,0.0000,0,136.2270,-3.7628,0.0000
1588,1,0,25.5903,514.3290,98.8953,0.0000,0.0000,0,135.7270,-3.7870,0.0000
1599,1,0,25.5965,514.5790,98.5542,0.0000,0.0000,0,136.3270,-3.7846,0.0000
1626,1,0,25.3842,506.0780,96.6818,0.0000,0.0000,0,135.3020,-3.8066,0.0000
1627,1,0,25.7144,519.3300,98.3658,0.0000,0.0000,0,135.5120,-3.8059,0.0000
1628,1,0,25.6338,516.0790,98.5713,0.0000,0.0000,0,136.5000,-3.8025,0.0000
1629,1,0,25.3779,505.8280,96.3404,0.0000,0.0000,0,136.7100,-3.8019,0.0000
1646,1,0,25.3591,505.0780,97.9944,0.0000,0.0000,0,135.6880,-3.8258,0.0000
1647,1,0,25.3842,506.0780,98.8958,0.0000,0.0000,0,135.7660,-3.8256,0.0000
