Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
Rep1_3,60,286,-7.2183,126.3340,25.7330,91.8159,520.0800,0.0000,0.0000,Pass
Rep1_3,60,287,-7.1063,126.3340,25.7082,91.5860,519.0800,0.0000,0.0000,Pass
Rep1_3,60,293,-6.5717,126.2870,25.7577,94.6537,521.0800,0.0000,0.0000,Pass
Rep1_3,60,294,-6.5237,126.2870,25.5903,95.2664,514.3290,0.0000,0.0000,Pass
Rep1_3,60,295,-6.3118,126.2880,25.6338,95.6718,516.0790,0.0000,0.0000,Pass
Rep1_3,60,296,-6.2638,126.2890,25.6524,96.4913,516.8290,0.0000,0.0000,Pass
Rep1_3,60,337,-6.9427,126.2740,25.5716,93.1568,513.5790,0.0000,0.0000,Pass
Rep1_3,60,338,-6.7427,126.2740,25.5156,94.6017,511.3290,0.0000,0.0000,Pass
Rep1_3,60,339,-5.7441,126.2780,25.6027,93.3985,514.8290,0.0000,0.0000,Pass
Rep1_3,60,340,-5.5437,126.2780,25.6772,92.1986,517.8290,0.0000,0.0000,Pass
Rep1_3,60,367,-6.9425,126.1960,25.5592,95.0299,513.0790,0.0000,0.0000,Pass
Rep1_3,60,368,-6.7425,126.1960,25.4843,95.5778,510.0780,0.0000,0.0000,Pass
Rep1_3,60,369,-5.7439,126.2000,25.6400,94.4846,516.3290,0.0000,0.0000,Pass
Rep1_3,60,373,-5.5436,126.2000,25.7392,94.0574,520.3300,0.0000,0.0000,Pass
Rep1_3,60,380,-6.0543,126.1930,25.6400,95.3283,516.3290,0.0000,0.0000,Pass
Rep1_3,60,381,-6.0006,126.1930,25.6090,95.7014,515.0790,0.0000,0.0000,Pass
Rep1_3,60,434,-7.2178,126.1630,25.6710,92.2059,517.5790,0.0000,0.0000,Pass
Rep1_3,60,435,-7.1058,126.1630,25.6648,93.6829,517.3290,0.0000,0.0000,Pass
Rep1_3,60,441,-6.9424,126.1290,25.5405,94.9140,512.3290,0.0000,0.0000,Pass
Rep1_3,60,442,-5.7439,126.1330,25.6214,94.9919,515.5790,0.0000,0.0000,Pass
Rep1_3,60,468,-6.9421,126.0510,25.5716,94.8889,513.5790,0.0000,0.0000,Pass
Rep1_3,60,469,-5.7436,126.0550,25.5467,95.3830,512.5790,0.0000,0.0000,Pass
Rep1_3,60,497,-7.1053,126.0090,25.4531,95.1544,508.8280,0.0000,0.0000,Pass
Rep1_3,60,499,-7.2174,126.0080,25.4406,94.8314,508.3280,0.0000,0.0000,Pass
Rep1_3,60,500,-6.1160,126.0070,25.5716,97.5810,513.5790,0.0000,0.0000,Pass
