Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
B3-1,60,286,-7.2201,126.3350,25.5218,93.1024,511.5790,0.0000,0.0000,Pass
B3-1,60,287,-7.1081,126.3360,25.6400,91.6843,516.3290,0.0000,0.0000,Pass
B3-1,60,293,-6.5735,126.2890,25.6648,95.0497,517.3290,0.0000,0.0000,Pass
B3-1,60,294,-6.5254,126.2890,25.6276,95.7508,515.8290,0.0000,0.0000,Pass
B3-1,60,295,-6.3135,126.2910,25.6834,95.2959,518.0800,0.0000,0.0000,Pass
B3-1,60,296,-6.2656,126.2910,25.6400,95.4762,516.3290,0.0000,0.0000,Pass
B3-1,60,337,-6.9444,126.2760,25.5218,93.1569,511.5790,0.0000,0.0000,Pass
B3-1,60,338,-6.7444,126.2760,25.4719,95.1969,509.5780,0.0000,0.0000,Pass
B3-1,60,339,-5.7458,126.2810,25.6090,92.9487,515.0790,0.0000,0.0000,Pass
B3-1,60,340,-5.5454,126.2810,25.7082,92.7617,519.0800,0.0000,0.0000,Pass
B3-1,60,367,-6.9442,126.1970,25.4781,94.4137,509.8280,0.0000,0.0000,Pass
B3-1,60,368,-6.7442,126.1980,25.4343,94.5107,508.0780,0.0000,0.0000,Pass
B3-1,60,369,-5.7456,126.2030,25.5965,94.6879,514.5790,0.0000,0.0000,Pass
B3-1,60,373,-5.5454,126.2030,25.6772,93.4636,517.8290,0.0000,0.0000,Pass
B3-1,60,380,-6.0561,126.1950,25.6586,95.3505,517.0790,0.0000,0.0000,Pass
B3-1,60,381,-6.0023,126.1950,25.7330,94.9014,520.0800,0.0000,0.0000,Pass
B3-1,60,434,-7.2194,126.1640,25.6214,92.3929,515.5790,0.0000,0.0000,Pass
B3-1,60,435,-7.1074,126.1640,25.5654,93.3597,513.3290,0.0000,0.0000,Pass
B3-1,60,441,-6.9440,126.1300,25.4781,94.8750,509.8280,0.0000,0.0000,Pass
B3-1,60,442,-5.7455,126.1350,25.5716,96.1936,513.5790,0.0000,0.0000,Pass
B3-1,60,468,-6.9436,126.0520,25.4531,96.5056,508.8280,0.0000,0.0000,Pass
B3-1,60,469,-5.7451,126.0570,25.4468,95.8839,508.5780,0.0000,0.0000,Pass
B3-1,60,497,-7.1067,126.0100,25.3403,94.8377,504.3270,0.0000,0.0000,Pass
B3-1,60,499,-7.2188,126.0100,25.5156,94.1276,511.3290,0.0000,0.0000,Pass
B3-1,60,500,-6.1175,126.0090,25.5405,98.1372,512.3290,0.0000,0.0000,Pass
B3-1,60,501,-6.0695,126.0090,25.5093,98.5520,511.0780,0.0000,0.0000,Pass
B3-1,60,502,-5.9875,126.0100,25.5093,97.7562,511.0780,0.0000,0.0000,Pass
B3-1,60,503,-5.9395,126.0100,25.4656,97.6407,509.3280,0.0000,0.0000,Pass
B3-1,60,535,-6.9433,125.9800,25.3779,95.5003,505.8280,0.0000,0.0000,Pass
B3-1,60,536,-6.7434,125.9810,25.4155,96.4450,507.3280,0.0000,0.0000,Pass
B3-1,60,537,-5.7448,125.9850,25.5530,96.2872,512.8290,0.0000,0.0000,Pass
B3-1,60,538,-5.5446,125.9860,25.5280,94.7058,511.8290,0.0000,0.0000,Pass
B3-1,60,547,-6.6133,125.9610,25.3340,97.3706,504.0770,0.0000,0.0000,Pass
