BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
286,1,0,24.6977,479.0740,93.3477,0.0000,0.0000,0,-7.2333,-2.7699,0.0000
287,1,0,24.7620,481.5740,93.3339,0.0000,0.0000,0,-7.1213,-2.7696,0.0000
293,1,0,24.7492,481.0740,96.9514,0.0000,0.0000,0,-6.5871,-2.8158,0.0000
294,1,0,24.9095,487.3250,97.1784,0.0000,0.0000,0,-6.5391,-2.8157,0.0000
295,1,0,24.8070,483.3240,96.3941,0.0000,0.0000,0,-6.3271,-2.8143,0.0000
296,1,0,24.7813,482.3240,96.6865,0.0000,0.0000,0,-6.2793,-2.8141,0.0000
337,1,0,24.7492,481.0740,95.9856,0.0000,0.0000,0,-6.9577,-2.8296,0.0000
338,1,0,24.7877,482.5740,96.0708,0.0000,0.0000,0,-6.7580,-2.8288,0.0000
339,1,0,24.9095,487.3250,95.5207,0.0000,0.0000,0,-5.7596,-2.8243,0.0000
340,1,0,24.7428,480.8240,93.9712,0.0000,0.0000,0,-5.5594,-2.8234,0.0000
367,1,0,24.6912,478.8230,96.1412,0.0000,0.0000,0,-6.9574,-2.9076,0.0000
368,1,0,24.8583,485.3240,96.1849,0.0000,0.0000,0,-6.7577,-2.9068,0.0000
369,1,0,24.8583,485.3240,96.6194,0.0000,0.0000,0,-5.7594,-2.9024,0.0000
373,1,0,24.7170,479.8240,95.3471,0.0000,0.0000,0,-5.5591,-2.9015,0.0000
380,1,0,24.8903,486.5750,97.0972,0.0000,0.0000,0,-6.0697,-2.9096,0.0000
381,1,0,24.9222,487.8250,96.9086,0.0000,0.0000,0,-6.0160,-2.9094,0.0000
434,1,0,24.7685,481.8240,94.2068,0.0000,0.0000,0,-7.2326,-2.9411,0.0000
435,1,0,24.7685,481.8240,95.2390,0.0000,0.0000,0,-7.1207,-2.9406,0.0000
441,1,0,24.7106,479.5740,96.6474,0.0000,0.0000,0,-6.9574,-2.9746,0.0000
442,1,0,24.9350,488.3250,95.8857,0.0000,0.0000,0,-5.7592,-2.9695,0.0000
468,1,0,24.7041,479.3240,96.1362,0.0000,0.0000,0,-6.9569,-3.0527,0.0000
469,1,0,24.8070,483.3240,98.0625,0.0000,0.0000,0,-5.7589,-3.0474,0.0000
497,1,0,24.6138,475.8230,95.2667,0.0000,0.0000,0,-7.1201,-3.0947,0.0000
499,1,0,24.6461,477.0730,96.5963,0.0000,0.0000,0,-7.2320,-3.0951,0.0000
500,1,0,24.8839,486.3250,97.9130,0.0000,0.0000,0,-6.1312,-3.0955,0.0000
501,1,0,24.8391,484.5740,97.3839,0.0000,0.0000,0,-6.0834,-3.0953,0.0000
502,1,0,24.8070,483.3240,97.8040,0.0000,0.0000,0,-6.0011,-3.0950,0.0000
503,1,0,24.9222,487.8250,98.4846,0.0000,0.0000,0,-5.9532,-3.0948,0.0000
535,1,0,24.6590,477.5730,96.0998,0.0000,0.0000,0,-6.9566,-3.1247,0.0000
536,1,0,24.7556,481.3240,98.2332,0.0000,0.0000,0,-6.7569,-3.1240,0.0000
537,1,0,24.8006,483.0740,98.8023,0.0000,0.0000,0,-5.7587,-3.1194,0.0000
538,1,0,24.8583,485.3240,95.8674,0.0000,0.0000,0,-5.5583,-3.1185,0.0000
547,1,0,24.6590,477.5730,98.5522,0.0000,0.0000,0,-6.6269,-3.1434,0.0000
548,1,0,24.7428,480.8240,98.7571,0.0000,0.0000,0,-6.2371,-3.1414,0.0000
549,1,0,24.9988,490.8250,95.5953,0.0000,0.0000,0,-5.4280,-3.1380,0.0000
575,1,0,24.8647,485.5750,98.9032,0.0000,0.0000,0,-5.9563,-3.1701,0.0000
591,1,0,24.6008,475.3230,97.0298,0.0000,0.0000,0,-6.9562,-3.2026,0.0000
592,1,0,24.7299,480.3240,97.4109,0.0000,0.0000,0,-6.7566,-3.2019,0.0000
593,1,0,24.8198,483.8240,98.2151,0.0000,0.0000,0,-5.7583,-3.1974,0.0000
594,1,0,24.9222,487.8250,95.5034,0.0000,0.0000,0,-5.5581,-3.1966,0.0000
600,1,0,25.0115,491.3250,98.2937,0.0000,0.0000,0,-6.5206,-3.2076,0.0000
601,1,0,25.0115,491.3250,99.3859,0.0000,0.0000,0,-6.4728,-3.2075,0.0000
602,1,0,25.1195,495.5760,99.2772,0.0000,0.0000,0,-6.3905,-3.2071,0.0000
603,1,0,25.0624,493.3260,96.8253,0.0000,0.0000,0,-6.3428,-3.2068,0.0000
604,1,0,24.8839,486.3250,97.9815,0.0000,0.0000,0,-5.9952,-3.2092,0.0000
605,1,0,24.8839,486.3250,98.3860,0.0000,0.0000,0,-5.9172,-3.2088,0.0000
656,1,0,24.8006,483.0740,98.8736,0.0000,0.0000,0,-6.6266,-3.2215,0.0000
657,1,0,25.1258,495.8260,98.2587,0.0000,0.0000,0,-6.2368,-3.2195,0.0000
658,1,0,24.9095,487.3250,96.3609,0.0000,0.0000,0,-5.4276,-3.2160,0.0000
684,1,0,24.7106,479.5740,97.0787,0.0000,0.0000,0,-7.2077,-3.2419,0.0000
694,1,0,24.8903,486.5750,98.8367,0.0000,0.0000,0,-5.9560,-3.2481,0.0000
700,1,0,24.7106,479.5740,97.6403,0.0000,0.0000,0,-6.9683,-3.2681,0.0000
701,1,0,24.8967,486.8250,98.9682,0.0000,0.0000,0,-5.7704,-3.2629,0.0000
702,1,0,24.8327,484.3240,97.5157,0.0000,0.0000,0,-6.6264,-3.2734,0.0000
703,1,0,25.2017,498.8270,98.4585,0.0000,0.0000,0,-6.5157,-3.2730,0.0000
704,1,0,25.3026,502.8270,98.8499,0.0000,0.0000,0,-6.4679,-3.2729,0.0000
