Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
D26-01_03,60,286,-7.2223,126.3320,25.2143,92.3023,499.3270,0.0000,0.0000,Pass
D26-01_03,60,287,-7.1103,126.3320,25.1701,92.1510,497.5760,0.0000,0.0000,Pass
D26-01_03,60,293,-6.5757,126.2860,25.2522,95.7491,500.8270,0.0000,0.0000,Pass
D26-01_03,60,294,-6.5277,126.2860,25.2900,95.9606,502.3270,0.0000,0.0000,Pass
D26-01_03,60,295,-6.3157,126.2870,25.2522,96.3617,500.8270,0.0000,0.0000,Pass
D26-01_03,60,296,-6.2678,126.2870,25.2711,96.6778,501.5770,0.0000,0.0000,Pass
D26-01_03,60,337,-6.9467,126.2720,25.1764,92.9756,497.8260,0.0000,0.0000,Pass
D26-01_03,60,338,-6.7467,126.2730,25.1131,95.3260,495.3260,0.0000,0.0000,Pass
D26-01_03,60,339,-5.7481,126.2770,25.2774,93.6734,501.8270,0.0000,0.0000,Pass
D26-01_03,60,340,-5.5478,126.2780,25.2270,92.4910,499.8270,0.0000,0.0000,Pass
D26-01_03,60,367,-6.9464,126.1940,25.1195,95.4730,495.5760,0.0000,0.0000,Pass
D26-01_03,60,368,-6.7465,126.1950,25.1574,95.3093,497.0760,0.0000,0.0000,Pass
D26-01_03,60,369,-5.7479,126.1990,25.2648,94.6921,501.3270,0.0000,0.0000,Pass
D26-01_03,60,373,-5.5476,126.2000,25.2143,95.6222,499.3270,0.0000,0.0000,Pass
D26-01_03,60,380,-6.0583,126.1920,25.2837,97.0859,502.0770,0.0000,0.0000,Pass
D26-01_03,60,381,-6.0046,126.1920,25.4093,95.6232,507.0780,0.0000,0.0000,Pass
D26-01_03,60,434,-7.2217,126.1610,25.1891,93.5013,498.3270,0.0000,0.0000,Pass
D26-01_03,60,435,-7.1097,126.1610,25.2017,94.6011,498.8270,0.0000,0.0000,Pass
D26-01_03,60,441,-6.9462,126.1270,25.0624,95.4298,493.3260,0.0000,0.0000,Pass
D26-01_03,60,442,-5.7478,126.1320,25.1701,96.3886,497.5760,0.0000,0.0000,Pass
D26-01_03,60,468,-6.9459,126.0490,25.1764,96.0799,497.8260,0.0000,0.0000,Pass
D26-01_03,60,469,-5.7475,126.0540,25.0878,97.4591,494.3260,0.0000,0.0000,Pass
D26-01_03,60,497,-7.1090,126.0070,25.1004,95.2531,494.8260,0.0000,0.0000,Pass
D26-01_03,60,499,-7.2211,126.0070,25.1511,94.1081,496.8260,0.0000,0.0000,Pass
D26-01_03,60,500,-6.1199,126.0060,25.1891,98.0211,498.3270,0.0000,0.0000,Pass
D26-01_03,60,501,-6.0719,126.0060,25.2270,99.1420,499.8270,0.0000,0.0000,Pass
D26-01_03,60,502,-5.9898,126.0060,25.2585,97.0795,501.0770,0.0000,0.0000,Pass
D26-01_03,60,503,-5.9418,126.0060,25.1701,97.8461,497.5760,0.0000,0.0000,Pass
D26-01_03,60,535,-6.9456,125.9770,25.1068,96.8018,495.0760,0.0000,0.0000,Pass
D26-01_03,60,536,-6.7457,125.9780,25.0115,97.0420,491.3250,0.0000,0.0000,Pass
D26-01_03,60,537,-5.7473,125.9820,25.2080,97.3778,499.0770,0.0000,0.0000,Pass
D26-01_03,60,538,-5.5469,125.9820,25.1701,96.2732,497.5760,0.0000,0.0000,Pass
D26-01_03,60,547,-6.6157,125.9580,25.0624,97.1759,493.3260,0.0000,0.0000,Pass
D26-01_03,60,548,-6.2259,125.9600,25.0878,96.7631,494.3260,0.0000,0.0000,Pass
D26-01_03,60,549,-5.4167,125.9630,25.3717,95.2167,505.5780,0.0000,0.0000,Pass
D26-01_03,60,575,-5.9451,125.9310,25.2711,97.6792,501.5770,0.0000,0.0000,Pass
D26-01_03,60,591,-6.9453,125.8990,25.1068,97.1160,495.0760,0.0000,0.0000,Pass
D26-01_03,60,592,-6.7455,125.9000,25.1321,98.6403,496.0760,0.0000,0.0000,Pass
D26-01_03,60,593,-5.7470,125.9030,25.1891,96.8631,498.3270,0.0000,0.0000,Pass
D26-01_03,60,594,-5.5468,125.9040,25.2333,95.2891,500.0770,0.0000,0.0000,Pass
D26-01_03,60,600,-6.5095,125.8940,25.1195,98.6912,495.5760,0.0000,0.0000,Pass
D26-01_03,60,601,-6.4615,125.8940,25.1638,98.8403,497.3260,0.0000,0.0000,Pass
D26-01_03,60,602,-6.3795,125.8940,25.1131,98.8392,495.3260,0.0000,0.0000,Pass
D26-01_03,60,603,-6.3316,125.8950,25.0369,97.2285,492.3260,0.0000,0.0000,Pass
D26-01_03,60,604,-5.9839,125.8920,25.2333,98.2245,500.0770,0.0000,0.0000,Pass
D26-01_03,60,605,-5.9059,125.8920,25.2711,97.6089,501.5770,0.0000,0.0000,Pass
D26-01_03,60,656,-6.6154,125.8800,25.0687,97.9333,493.5760,0.0000,0.0000,Pass
D26-01_03,60,657,-6.2256,125.8820,25.0751,97.8448,493.8260,0.0000,0.0000,Pass
D26-01_03,60,658,-5.4164,125.8850,25.3277,95.6545,503.8270,0.0000,0.0000,Pass
D26-01_03,60,684,-7.1969,125.8600,25.2017,95.7359,498.8270,0.0000,0.0000,Pass
D26-01_03,60,694,-5.9448,125.8530,25.1827,99.0935,498.0760,0.0000,0.0000,Pass
D26-01_03,60,700,-6.9573,125.8330,25.1511,95.9767,496.8260,0.0000,0.0000,Pass
D26-01_03,60,701,-5.7592,125.8380,25.2143,97.5214,499.3270,0.0000,0.0000,Pass
D26-01_03,60,702,-6.6152,125.8280,25.1321,98.0933,496.0760,0.0000,0.0000,Pass
D26-01_03,60,703,-6.5045,125.8280,25.2270,99.0520,499.8270,0.0000,0.0000,Pass
D26-01_03,60,704,-6.4566,125.8280,25.1891,99.3902,498.3270,0.0000,0.0000,Pass
D26-01_03,60,705,-6.3839,125.8290,25.2270,99.6863,499.8270,0.0000,0.0000,Pass
D26-01_03,60,706,-6.3361,125.8290,25.0433,96.4572,492.5760,0.0000,0.0000,Pass
D26-01_03,60,707,-6.2254,125.8300,25.2143,98.0611,499.3270,0.0000,0.0000,Pass
D26-01_03,60,708,-6.0450,125.8310,25.3528,97.9047,504.8270,0.0000,0.0000,Pass
D26-01_03,60,709,-5.4162,125.8330,25.3403,96.1057,504.3270,0.0000,0.0000,Pass
D26-01_03,60,731,-7.2357,125.8210,25.1574,96.0982,497.0760,0.0000,0.0000,Pass
D26-01_03,60,732,-7.1579,125.8210,25.1638,96.3657,497.3260,0.0000,0.0000,Pass
D26-01_03,60,786,-6.8840,125.8070,25.1511,97.4045,496.8260,0.0000,0.0000,Pass
D26-01_03,60,787,-6.7718,125.8070,25.0878,97.8028,494.3260,0.0000,0.0000,Pass
D26-01_03,60,788,-5.6856,125.8120,25.1827,96.8650,498.0760,0.0000,0.0000,Pass
D26-01_03,60,789,-5.5732,125.8120,25.1891,96.0608,498.3270,0.0000,0.0000,Pass
D26-01_03,60,798,-6.0838,125.7910,25.3591,98.5752,505.0780,0.0000,0.0000,Pass
D26-01_03,60,799,-6.0058,125.7920,25.3277,98.8348,503.8270,0.0000,0.0000,Pass
D26-01_03,60,832,-7.1966,125.7820,25.0941,96.4393,494.5760,0.0000,0.0000,Pass
D26-01_03,60,834,-7.0706,125.7590,25.1574,96.8983,497.0760,0.0000,0.0000,Pass
D26-01_03,60,835,-6.3358,125.7510,25.2774,97.2921,501.8270,0.0000,0.0000,Pass
D26-01_03,60,848,-6.6149,125.7500,25.2206,98.2439,499.5770,0.0000,0.0000,Pass
D26-01_03,60,849,-6.5043,125.7500,25.3403,99.0763,504.3270,0.0000,0.0000,Pass
D26-01_03,60,850,-6.4563,125.7500,25.4030,98.9825,506.8280,0.0000,0.0000,Pass
D26-01_03,60,851,-6.3837,125.7510,25.4719,98.8190,509.5780,0.0000,0.0000,Pass
D26-01_03,60,852,-6.2251,125.7520,25.3905,99.1914,506.3280,0.0000,0.0000,Pass
D26-01_03,60,853,-6.0447,125.7530,25.5093,98.1443,511.0780,0.0000,0.0000,Pass
D26-01_03,60,854,-5.4161,125.7550,25.2900,95.9301,502.3270,0.0000,0.0000,Pass
D26-01_03,60,926,-5.9445,125.7310,25.4218,98.1546,507.5780,0.0000,0.0000,Pass
D26-01_03,60,935,-7.1093,125.7200,25.1448,96.6789,496.5760,0.0000,0.0000,Pass
D26-01_03,60,936,-7.0315,125.7200,25.2080,97.4399,499.0770,0.0000,0.0000,Pass
D26-01_03,60,939,-5.9833,125.6920,25.4281,99.0075,507.8280,0.0000,0.0000,Pass
D26-01_03,60,940,-5.9053,125.6920,25.3528,98.4136,504.8270,0.0000,0.0000,Pass
D26-01_03,60,977,-7.0702,125.6810,25.1258,97.8537,495.8260,0.0000,0.0000,Pass
D26-01_03,60,978,-7.1960,125.6590,25.1638,97.3158,497.3260,0.0000,0.0000,Pass
D26-01_03,60,980,-5.9441,125.6530,25.5903,98.5584,514.3290,0.0000,0.0000,Pass
D26-01_03,60,1000,-6.6444,125.6280,25.5280,99.0571,511.8290,0.0000,0.0000,Pass
D26-01_03,60,1001,-6.4444,125.6280,25.5530,98.6089,512.8290,0.0000,0.0000,Pass
D26-01_03,60,1002,-6.2444,125.6300,25.4656,99.4565,509.3280,0.0000,0.0000,Pass
