BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
286,1,0,25.4906,510.3280,92.5643,0.0000,0.0000,0,-136.5750,-2.7486,0.0000
287,1,0,25.4531,508.8280,92.8358,0.0000,0.0000,0,-136.4630,-2.7483,0.0000
293,1,0,25.4593,509.0780,95.2610,0.0000,0.0000,0,-135.9280,-2.7948,0.0000
294,1,0,25.4155,507.3280,94.6992,0.0000,0.0000,0,-135.8810,-2.7947,0.0000
295,1,0,25.4281,507.8280,95.0489,0.0000,0.0000,0,-135.6690,-2.7935,0.0000
296,1,0,25.4968,510.5780,94.9120,0.0000,0.0000,0,-135.6210,-2.7933,0.0000
337,1,0,25.4343,508.0780,93.3636,0.0000,0.0000,0,-136.2990,-2.8083,0.0000
338,1,0,25.4281,507.8280,94.9230,0.0000,0.0000,0,-136.0990,-2.8077,0.0000
339,1,0,25.4281,507.8280,93.4746,0.0000,0.0000,0,-135.1010,-2.8037,0.0000
340,1,0,25.4406,508.3280,92.5313,0.0000,0.0000,0,-134.9010,-2.8028,0.0000
367,1,0,25.4406,508.3280,93.9330,0.0000,0.0000,0,-136.2990,-2.8864,0.0000
368,1,0,25.3340,504.0770,95.8374,0.0000,0.0000,0,-136.0990,-2.8859,0.0000
369,1,0,25.3779,505.8280,95.2255,0.0000,0.0000,0,-135.1010,-2.8818,0.0000
373,1,0,25.3905,506.3280,93.4392,0.0000,0.0000,0,-134.9010,-2.8811,0.0000
380,1,0,25.2963,502.5770,95.7961,0.0000,0.0000,0,-135.4110,-2.8890,0.0000
381,1,0,25.3905,506.3280,95.0045,0.0000,0.0000,0,-135.3570,-2.8888,0.0000
434,1,0,25.4030,506.8280,93.3996,0.0000,0.0000,0,-136.5740,-2.9198,0.0000
435,1,0,25.3717,505.5780,94.5529,0.0000,0.0000,0,-136.4620,-2.9195,0.0000
441,1,0,25.3340,504.0770,95.3223,0.0000,0.0000,0,-136.2990,-2.9536,0.0000
442,1,0,25.3340,504.0770,94.6287,0.0000,0.0000,0,-135.1010,-2.9489,0.0000
468,1,0,25.2900,502.3270,94.9475,0.0000,0.0000,0,-136.2990,-3.0316,0.0000
469,1,0,25.4531,508.8280,95.7593,0.0000,0.0000,0,-135.1000,-3.0269,0.0000
497,1,0,25.3591,505.0780,94.1807,0.0000,0.0000,0,-136.4620,-3.0736,0.0000
499,1,0,25.2711,501.5770,94.1196,0.0000,0.0000,0,-136.5740,-3.0739,0.0000
500,1,0,25.4406,508.3280,97.7312,0.0000,0.0000,0,-135.4730,-3.0750,0.0000
501,1,0,25.2774,501.8270,98.5869,0.0000,0.0000,0,-135.4250,-3.0748,0.0000
502,1,0,25.4343,508.0780,97.8881,0.0000,0.0000,0,-135.3430,-3.0745,0.0000
503,1,0,25.3842,506.0780,97.5987,0.0000,0.0000,0,-135.2950,-3.0743,0.0000
535,1,0,25.3591,505.0780,95.8159,0.0000,0.0000,0,-136.2980,-3.1036,0.0000
536,1,0,25.3967,506.5780,96.4950,0.0000,0.0000,0,-136.0980,-3.1030,0.0000
537,1,0,25.4468,508.5780,95.8244,0.0000,0.0000,0,-135.1000,-3.0990,0.0000
538,1,0,25.5093,511.0780,94.1309,0.0000,0.0000,0,-134.9000,-3.0981,0.0000
547,1,0,25.2711,501.5770,98.6041,0.0000,0.0000,0,-135.9680,-3.1225,0.0000
548,1,0,25.2396,500.3270,98.6329,0.0000,0.0000,0,-135.5790,-3.1208,0.0000
