Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
D26-05,60,286,-7.2190,126.3240,20.1155,93.1760,317.7990,0.0000,0.0000,Pass
D26-05,60,287,-7.1071,126.3240,20.1234,95.2245,318.0490,0.0000,0.0000,Pass
D26-05,60,293,-6.5728,126.2780,20.7082,97.6194,336.8020,0.0000,0.0000,Pass
D26-05,60,294,-6.5249,126.2780,20.0283,98.6197,315.0480,0.0000,0.0000,Pass
D26-05,60,295,-6.3128,126.2790,20.5539,97.1339,331.8010,0.0000,0.0000,Pass
D26-05,60,296,-6.2646,126.2790,19.9726,96.6215,313.2980,0.0000,0.0000,Pass
D26-05,60,337,-6.9434,126.2640,20.2339,97.9160,321.5490,0.0000,0.0000,Pass
D26-05,60,338,-6.7436,126.2650,20.1392,97.8817,318.5490,0.0000,0.0000,Pass
D26-05,60,339,-5.7452,126.2680,20.2181,94.7676,321.0490,0.0000,0.0000,Pass
D26-05,60,340,-5.5450,126.2690,20.2260,92.8562,321.2990,0.0000,0.0000,Pass
D26-05,60,367,-6.9434,126.1860,20.1708,94.8400,319.5490,0.0000,0.0000,Pass
D26-05,60,368,-6.7432,126.1870,20.4062,96.3413,327.0500,0.0000,0.0000,Pass
D26-05,60,369,-5.7449,126.1900,20.2339,92.3288,321.5490,0.0000,0.0000,Pass
D26-05,60,373,-5.5448,126.1910,20.5151,93.4063,330.5510,0.0000,0.0000,Pass
D26-05,60,380,-6.0551,126.1830,20.4685,95.7623,329.0510,0.0000,0.0000,Pass
D26-05,60,381,-6.0015,126.1830,20.6851,93.0937,336.0520,0.0000,0.0000,Pass
D26-05,60,434,-7.2183,126.1530,20.2732,92.7386,322.8000,0.0000,0.0000,Pass
D26-05,60,435,-7.1065,126.1530,20.2024,95.2174,320.5490,0.0000,0.0000,Pass
D26-05,60,441,-6.9431,126.1190,20.1629,93.9965,319.2990,0.0000,0.0000,Pass
D26-05,60,442,-5.7449,126.1230,20.3593,94.3150,325.5500,0.0000,0.0000,Pass
D26-05,60,468,-6.9430,126.0410,20.3281,93.8040,324.5500,0.0000,0.0000,Pass
D26-05,60,469,-5.7447,126.0450,20.6003,91.8769,333.3010,0.0000,0.0000,Pass
D26-05,60,497,-7.1060,125.9990,20.2575,90.0662,322.2990,0.0000,0.0000,Pass
D26-05,60,499,-7.2182,125.9990,20.3984,94.5993,326.8000,0.0000,0.0000,Pass
D26-05,60,500,-6.1170,125.9970,20.4530,95.5587,328.5500,0.0000,0.0000,Pass
D26-05,60,501,-6.0690,125.9970,20.0442,95.7094,315.5480,0.0000,0.0000,Pass
D26-05,60,502,-5.9872,125.9970,20.0283,96.9753,315.0480,0.0000,0.0000,Pass
D26-05,60,503,-5.9390,125.9980,20.1708,96.3352,319.5490,0.0000,0.0000,Pass
D26-05,60,535,-6.9429,125.9690,19.7320,92.9345,305.7970,0.0000,0.0000,Pass
D26-05,60,536,-6.7429,125.9700,19.6025,94.2233,301.7960,0.0000,0.0000,Pass
