BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
173,1,0,19.6593,303.5470,96.9749,0.0000,0.0000,0,-6.6395,126.3820,0.0000
174,1,0,19.6025,301.7960,95.1441,0.0000,0.0000,0,-6.5915,126.3820,0.0000
175,1,0,20.2181,321.0490,98.7054,0.0000,0.0000,0,-6.5092,126.3830,0.0000
176,1,0,19.3080,292.7950,94.7420,0.0000,0.0000,0,-6.4616,126.3830,0.0000
177,1,0,20.1708,319.5490,94.5092,0.0000,0.0000,0,-6.3791,126.3830,0.0000
178,1,0,19.8687,310.0480,94.3209,0.0000,0.0000,0,-6.3313,126.3840,0.0000
179,1,0,19.9965,314.0480,97.0563,0.0000,0.0000,0,-6.2495,126.3840,0.0000
180,1,0,20.2181,321.0490,91.8120,0.0000,0.0000,0,-6.2014,126.3840,0.0000
181,1,0,20.3281,324.5500,95.5566,0.0000,0.0000,0,-6.1193,126.3840,0.0000
182,1,0,20.3437,325.0500,97.3050,0.0000,0.0000,0,-6.0717,126.3840,0.0000
183,1,0,20.2181,321.0490,91.8253,0.0000,0.0000,0,-5.9891,126.3850,0.0000
184,1,0,20.3359,324.8000,99.2543,0.0000,0.0000,0,-5.9409,126.3850,0.0000
185,1,0,21.2019,353.0540,90.1645,0.0000,0.0000,0,-5.4405,126.3860,0.0000
286,1,0,20.1234,318.0490,95.1325,0.0000,0.0000,0,-7.2207,126.3160,0.0000
287,1,0,20.0283,315.0480,97.6650,0.0000,0.0000,0,-7.1087,126.3160,0.0000
293,1,0,19.9087,311.2980,97.6977,0.0000,0.0000,0,-6.5741,126.2690,0.0000
294,1,0,19.8446,309.2970,98.9318,0.0000,0.0000,0,-6.5264,126.2690,0.0000
295,1,0,19.6350,302.7960,97.4907,0.0000,0.0000,0,-6.3145,126.2710,0.0000
296,1,0,19.7320,305.7970,93.5953,0.0000,0.0000,0,-6.2662,126.2710,0.0000
337,1,0,19.9247,311.7980,97.5823,0.0000,0.0000,0,-6.9457,126.2560,0.0000
338,1,0,19.5048,298.7960,95.7940,0.0000,0.0000,0,-6.7453,126.2560,0.0000
339,1,0,19.6997,304.7970,92.0642,0.0000,0.0000,0,-5.7466,126.2600,0.0000
