Recipe,Lot,Wafer,MAX Area Void,MAX Diameter Void,Total NG,DieId,BumpId,Area Percent,Diameter Percent
D26-15,26um,126173086.17,16.13,40.17,121.00,60,149,8.31,28.82
D26-15,26um,126173086.17,16.13,40.17,121.00,60,174,11.78,34.32
D26-15,26um,126173086.17,16.13,40.17,121.00,60,294,10.33,32.15
D26-15,26um,126173086.17,16.13,40.17,121.00,60,295,10.47,32.35
D26-15,26um,126173086.17,16.13,40.17,121.00,60,367,9.92,31.50
D26-15,26um,126173086.17,16.13,40.17,121.00,60,368,10.29,32.08
D26-15,26um,126173086.17,16.13,40.17,121.00,60,468,13.73,37.06
D26-15,26um,126173086.17,16.13,40.17,121.00,60,500,10.37,32.21
D26-15,26um,126173086.17,16.13,40.17,121.00,60,501,12.96,36.00
D26-15,26um,126173086.17,16.13,40.17,121.00,60,535,10.58,32.53
D26-15,26um,126173086.17,16.13,40.17,121.00,60,536,8.01,28.30
D26-15,26um,126173086.17,16.13,40.17,121.00,60,547,11.84,34.40
D26-15,26um,126173086.17,16.13,40.17,121.00,60,548,9.31,30.52
D26-15,26um,126173086.17,16.13,40.17,121.00,60,591,11.40,33.76
D26-15,26um,126173086.17,16.13,40.17,121.00,60,592,10.49,32.39
D26-15,26um,126173086.17,16.13,40.17,121.00,60,600,14.02,37.44
D26-15,26um,126173086.17,16.13,40.17,121.00,60,601,13.63,36.92
D26-15,26um,126173086.17,16.13,40.17,121.00,60,602,11.12,33.34
D26-15,26um,126173086.17,16.13,40.17,121.00,60,603,11.04,33.23
D26-15,26um,126173086.17,16.13,40.17,121.00,60,656,15.19,38.97
D26-15,26um,126173086.17,16.13,40.17,121.00,60,657,11.71,34.22
D26-15,26um,126173086.17,16.13,40.17,121.00,60,700,8.91,29.85
D26-15,26um,126173086.17,16.13,40.17,121.00,60,702,12.79,35.76
D26-15,26um,126173086.17,16.13,40.17,121.00,60,703,12.47,35.31
D26-15,26um,126173086.17,16.13,40.17,121.00,60,704,12.62,35.53
D26-15,26um,126173086.17,16.13,40.17,121.00,60,705,10.92,33.05
D26-15,26um,126173086.17,16.13,40.17,121.00,60,706,12.62,35.53
D26-15,26um,126173086.17,16.13,40.17,121.00,60,707,13.66,36.96
D26-15,26um,126173086.17,16.13,40.17,121.00,60,708,9.14,30.23
D26-15,26um,126173086.17,16.13,40.17,121.00,60,732,9.74,31.22
D26-15,26um,126173086.17,16.13,40.17,121.00,60,786,10.41,32.26
D26-15,26um,126173086.17,16.13,40.17,121.00,60,787,12.82,35.81
D26-15,26um,126173086.17,16.13,40.17,121.00,60,798,8.79,29.64
D26-15,26um,126173086.17,16.13,40.17,121.00,60,833,10.43,32.30
D26-15,26um,126173086.17,16.13,40.17,121.00,60,835,13.16,36.28
D26-15,26um,126173086.17,16.13,40.17,121.00,60,848,15.20,38.99
D26-15,26um,126173086.17,16.13,40.17,121.00,60,849,14.03,37.46
D26-15,26um,126173086.17,16.13,40.17,121.00,60,850,15.45,39.31
D26-15,26um,126173086.17,16.13,40.17,121.00,60,851,9.02,30.04
D26-15,26um,126173086.17,16.13,40.17,121.00,60,852,8.29,28.80
D26-15,26um,126173086.17,16.13,40.17,121.00,60,853,8.47,29.10
D26-15,26um,126173086.17,16.13,40.17,121.00,60,925,9.48,30.80
D26-15,26um,126173086.17,16.13,40.17,121.00,60,935,10.88,32.99
D26-15,26um,126173086.17,16.13,40.17,121.00,60,936,9.46,30.75
D26-15,26um,126173086.17,16.13,40.17,121.00,60,977,10.64,32.62
D26-15,26um,126173086.17,16.13,40.17,121.00,60,978,14.13,37.60
D26-15,26um,126173086.17,16.13,40.17,121.00,60,979,9.55,30.91
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1000,10.62,32.59
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1001,12.04,34.70
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1002,14.38,37.92
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1039,8.27,28.77
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1040,10.02,31.66
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1042,13.72,37.04
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1043,16.13,40.17
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1044,8.60,29.33
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1045,10.78,32.83
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1047,12.31,35.09
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1048,8.59,29.31
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1137,8.44,29.04
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1142,11.54,33.97
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1143,11.09,33.31
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1157,14.47,38.04
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1158,9.34,30.57
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1193,9.88,31.44
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1196,11.21,33.48
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1197,12.84,35.84
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1198,8.81,29.67
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1233,10.34,32.15
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1240,9.20,30.34
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1259,8.09,28.45
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1260,11.12,33.35
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1261,11.05,33.24
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1262,13.96,37.36
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1263,14.15,37.61
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1264,10.35,32.16
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1334,9.48,30.79
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1335,11.27,33.58
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1343,12.22,34.95
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1344,9.77,31.26
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1345,12.28,35.05
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1388,9.35,30.57
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1390,12.32,35.10
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1391,10.38,32.21
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1392,8.71,29.51
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1435,11.57,34.01
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1441,10.64,32.62
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1442,11.11,33.33
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1443,10.34,32.16
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1444,8.69,29.48
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1445,9.38,30.63
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1446,12.14,34.85
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1447,10.01,31.64
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1519,11.90,34.50
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1522,8.66,29.42
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1523,12.25,35.00
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1544,10.67,32.66
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1545,12.27,35.02
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1546,14.86,38.55
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1588,10.17,31.90
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1627,9.23,30.38
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1646,10.15,31.87
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1647,11.68,34.18
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1648,11.00,33.16
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1649,10.60,32.56
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1650,8.44,29.06
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1651,9.77,31.26
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1717,9.03,30.06
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1733,12.67,35.60
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1736,13.05,36.12
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1737,12.74,35.69
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1784,9.03,30.05
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1790,10.82,32.89
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1840,12.42,35.24
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1842,9.66,31.08
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1843,10.84,32.92
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1933,10.13,31.82
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1946,9.28,30.46
D26-15,26um,126173086.17,16.13,40.17,121.00,60,1979,11.28,33.59
