BumpId,VoidId,Bump_X,Bump_Y,X(um),Y(um),Diam_X,Diam_Y,Diameter(%),Area(um2),Area(%)
287,1,-7.4799,-2.3914,0.0028,-0.0011,3.8106,3.8106,17.8859,11.4044,3.1991
294,1,-6.8978,-2.4369,-0.0007,0.0011,3.9492,3.9492,18.0410,12.2492,3.2548
296,1,-6.6375,-2.4358,0.0007,0.0012,5.3389,5.3389,24.8829,22.3864,6.1916
299,1,-5.4876,-2.4307,-0.0010,-0.0015,2.3190,2.3190,10.5881,4.2239,1.1211
339,1,-6.1193,-2.4446,-0.0076,0.0051,2.7439,2.7439,12.5917,5.9134,1.5855
340,1,-5.9182,-2.4445,-0.0018,0.0040,2.9334,2.9334,13.3631,6.7582,1.7857
340,2,-5.9182,-2.4445,-0.0044,-0.0005,3.1113,3.1113,14.1737,7.6030,2.0089
340,3,-5.9182,-2.4445,-0.0033,-0.0064,3.2796,3.2796,14.9404,8.4477,2.2322
367,1,-7.3162,-2.5286,-0.0035,-0.0002,5.3890,5.3890,25.3546,22.8087,6.4286
369,1,-6.1180,-2.5233,-0.0032,0.0005,4.1484,4.1484,18.2006,13.5163,3.3126
373,1,-5.9183,-2.5228,0.0001,0.0026,4.9195,4.9195,20.8919,19.0074,4.3647
373,2,-5.9183,-2.5228,-0.0041,-0.0018,2.0742,2.0742,8.8088,3.3791,0.7759
375,1,-5.1762,-2.5256,0.0000,0.0011,7.1101,7.1101,30.5527,39.7042,9.3347
380,1,-6.4281,-2.5313,0.0035,-0.0017,3.8805,3.8805,15.7066,11.8268,2.4670
381,1,-6.3749,-2.5313,-0.0002,0.0007,2.3190,2.3190,9.7312,4.2238,0.9470
469,1,-6.1176,-2.6692,-0.0018,0.0024,3.6667,3.6667,16.4756,10.5597,2.7145
500,1,-6.4899,-2.7178,-0.0021,0.0010,4.6957,4.6957,21.5360,17.3177,4.6380
505,1,-5.2434,-2.7113,0.0003,0.0024,3.5170,3.5170,16.0039,9.7149,2.5612
538,1,-5.9179,-2.7393,0.0008,-0.0020,1.6398,1.6398,7.4577,2.1119,0.5562
549,1,-5.7877,-2.7597,-0.0048,0.0027,3.6667,3.6667,16.9907,10.5596,2.8868
575,1,-6.3158,-2.7913,-0.0046,0.0051,2.0742,2.0742,9.4703,3.3791,0.8969
593,1,-6.1175,-2.8180,0.0002,-0.0006,3.3606,3.3606,15.5722,8.8700,2.4249
596,1,-5.6809,-2.8229,-0.0008,0.0004,5.7276,5.7276,24.6858,25.7654,6.0939
597,1,-5.6334,-2.8225,0.0040,0.0014,3.7393,3.7393,16.1812,10.9819,2.6183
600,1,-6.8793,-2.8282,-0.0043,0.0015,4.7526,4.7526,20.4530,17.7401,4.1833
601,1,-6.8316,-2.8289,-0.0019,0.0027,2.0742,2.0742,9.5893,3.3791,0.9195
604,1,-6.3540,-2.8308,-0.0008,0.0007,2.5404,2.5404,10.9435,5.0686,1.1976
659,1,-5.3977,-2.8356,0.0051,0.0043,3.9492,3.9492,18.6697,12.2492,3.4856
659,2,-5.3977,-2.8356,0.0002,-0.0013,2.0742,2.0742,9.8058,3.3791,0.9615
