BumpId,VoidId,Bump_X,Bump_Y,X(um),Y(um),Diam_X,Diam_Y,Diameter(%),Area(um2),Area(%)
3222,1,6.7273,-132.7700,0.0002,0.0064,2.2794,2.2794,16.5012,4.0806,2.7229
3303,1,6.5748,-132.8120,0.0017,-0.0004,1.9415,1.9415,10.8165,2.9605,1.1700
3303,2,6.5748,-132.8120,-0.0013,-0.0011,2.1998,2.1998,12.2555,3.8006,1.5020
3303,3,6.5748,-132.8120,0.0043,-0.0029,0.6384,0.6384,3.5564,0.3200,0.1265
3304,1,6.6509,-132.8110,0.0045,0.0041,1.1057,1.1057,6.2973,0.9601,0.3966
3304,2,6.6509,-132.8110,0.0035,0.0031,0.5047,0.5047,2.8743,0.2000,0.0826
3304,3,6.6509,-132.8110,0.0019,0.0016,0.9306,0.9306,5.3000,0.6801,0.2809
3304,4,6.6509,-132.8110,0.0014,-0.0011,2.5832,2.5832,14.7125,5.2408,2.1646
3304,5,6.6509,-132.8110,-0.0012,-0.0011,1.0586,1.0586,6.0292,0.8801,0.3635
3305,1,6.8277,-132.8110,0.0001,0.0004,2.5334,2.5334,14.1399,5.0408,1.9994
3305,2,6.8277,-132.8110,0.0016,-0.0013,1.2767,1.2767,7.1258,1.2802,0.5078
3305,3,6.8277,-132.8110,-0.0032,-0.0027,0.7818,0.7818,4.3637,0.4801,0.1904
3305,4,6.8277,-132.8110,0.0033,-0.0026,0.5047,0.5047,2.8167,0.2000,0.0793
3413,1,6.5750,-132.8600,-0.0006,0.0002,3.0946,3.0946,17.4585,7.5212,3.0480
3413,2,6.5750,-132.8600,0.0016,-0.0009,0.5047,0.5047,2.8472,0.2000,0.0811
3414,1,6.6511,-132.8590,0.0009,0.0001,3.7631,3.7631,21.8013,11.1218,4.7530
3415,1,6.8279,-132.8580,-0.0004,0.0004,3.3016,3.3016,18.1867,8.5613,3.3076
3415,2,6.8279,-132.8580,0.0023,0.0015,0.5047,0.5047,2.7799,0.2000,0.0773
3415,3,6.8279,-132.8580,0.0025,-0.0015,1.2566,1.2566,6.9220,1.2402,0.4791
3416,1,6.9044,-132.8580,0.0029,0.0026,0.7137,0.7137,4.1134,0.4001,0.1692
3416,2,6.9044,-132.8580,-0.0012,-0.0001,3.1110,3.1110,17.9301,7.6011,3.2149
3416,3,6.9044,-132.8580,0.0017,0.0015,1.0586,1.0586,6.1012,0.8801,0.3723
3416,4,6.9044,-132.8580,0.0016,-0.0017,1.8055,1.8055,10.4063,2.5604,1.0829
3484,1,6.7517,-132.8590,0.0001,0.0003,3.3170,3.3170,18.7393,8.6413,3.5116
3484,2,6.7517,-132.8590,-0.0022,-0.0018,0.8445,0.8445,4.7708,0.5601,0.2276
3505,1,6.4608,-132.8840,0.0020,0.0008,3.2314,3.2314,18.0732,8.2013,3.2664
3505,2,6.4608,-132.8840,-0.0014,-0.0005,2.1882,2.1882,12.2383,3.7606,1.4978
3506,1,6.5229,-132.8660,0.0002,0.0062,3.6671,3.6671,27.7068,10.5616,7.6767
3507,1,6.9566,-132.8580,0.0044,0.0036,0.7485,0.7485,4.2084,0.4401,0.1771
3507,3,6.9566,-132.8580,0.0007,0.0012,2.6417,2.6417,14.8518,5.4808,2.2058
3507,4,6.9566,-132.8580,0.0004,-0.0011,2.6223,2.6223,14.7430,5.4008,2.1736
3507,5,6.9566,-132.8580,0.0046,-0.0048,0.8741,0.8741,4.9143,0.6001,0.2415
3507,6,6.9566,-132.8580,-0.0003,-0.0069,1.1508,1.1508,6.4700,1.0402,0.4186
3587,1,6.4608,-132.9310,-0.0003,-0.0002,3.4818,3.4818,19.6322,9.5214,3.8542
3658,1,6.7522,-132.9540,0.0045,0.0036,0.7137,0.7137,4.0184,0.4001,0.1615
3658,2,6.7522,-132.9540,-0.0004,0.0000,4.4169,4.4169,24.8685,15.3224,6.1844
3674,1,6.5754,-132.9540,-0.0036,0.0031,0.8445,0.8445,4.8236,0.5601,0.2327
3674,2,6.5754,-132.9540,-0.0001,-0.0002,3.8168,3.8168,21.8018,11.4417,4.7532
3675,1,6.6515,-132.9540,-0.0020,0.0021,1.8611,1.8611,10.6752,2.7204,1.1396
3675,2,6.6515,-132.9540,0.0012,0.0005,2.9771,2.9771,17.0764,6.9611,2.9160
3675,3,6.6515,-132.9540,-0.0018,-0.0015,2.5534,2.5534,14.6463,5.1208,2.1451
3676,1,6.8282,-132.9540,0.0024,0.0022,0.8741,0.8741,4.8526,0.6001,0.2355
3676,2,6.8282,-132.9540,0.0011,0.0008,1.6118,1.6118,8.9478,2.0403,0.8006
3676,3,6.8282,-132.9540,-0.0010,0.0012,0.5047,0.5047,2.8017,0.2000,0.0785
3676,4,6.8282,-132.9540,-0.0024,-0.0013,1.2566,1.2566,6.9761,1.2402,0.4867
3676,5,6.8282,-132.9540,0.0036,-0.0030,1.4451,1.4451,8.0227,1.6403,0.6436
3677,1,6.9048,-132.9530,0.0004,0.0002,3.1273,3.1273,18.3083,7.6811,3.3519
3677,2,6.9048,-132.9530,-0.0022,-0.0024,2.0060,2.0060,11.7439,3.1605,1.3792
3780,1,6.3452,-133.0200,-0.0028,0.0024,0.8445,0.8445,4.9451,0.5601,0.2445
3780,2,6.3452,-133.0200,0.0001,-0.0005,2.6704,2.6704,15.6378,5.6008,2.4454
3780,3,6.3452,-133.0200,0.0027,0.0011,0.6384,0.6384,3.7381,0.3200,0.1397
3780,4,6.3452,-133.0200,0.0014,0.0007,1.1727,1.1727,6.8674,1.0802,0.4716
3780,5,6.3452,-133.0200,-0.0022,-0.0025,1.1727,1.1727,6.8674,1.0802,0.4716
3784,1,6.8285,-133.0010,0.0018,0.0011,1.5959,1.5959,8.8925,2.0003,0.7908
3784,2,6.8285,-133.0010,-0.0010,0.0008,2.6028,2.6028,14.5032,5.3208,2.1034
3784,3,6.8285,-133.0010,0.0024,-0.0016,1.2566,1.2566,7.0019,1.2402,0.4903
3785,1,6.9050,-133.0010,-0.0049,0.0058,0.5047,0.5047,2.9118,0.2000,0.0848
3785,2,6.9050,-133.0010,0.0000,0.0004,4.1799,4.1799,24.1175,13.7221,5.8165
3785,3,6.9050,-133.0010,0.0038,-0.0031,0.7818,0.7818,4.5110,0.4801,0.2035
3872,1,6.7906,-133.0310,0.0002,0.0060,3.8034,3.8034,28.0521,11.3617,7.8692
3933,1,6.3453,-133.0600,0.0003,0.0066,0.8741,0.8741,4.9731,0.6001,0.2473
3933,2,6.3453,-133.0600,0.0001,0.0005,3.3552,3.3552,19.0889,8.8414,3.6439
3933,3,6.3453,-133.0600,-0.0020,-0.0016,1.0824,1.0824,6.1581,0.9201,0.3792
3958,1,6.7145,-133.0790,-0.0015,0.0067,1.4451,1.4451,10.6306,1.6402,1.1301
3958,2,6.7145,-133.0790,0.0020,0.0068,0.8137,0.8137,5.9860,0.5201,0.3583
3958,3,6.7145,-133.0790,0.0020,0.0046,1.5799,1.5799,11.6216,1.9603,1.3506
4042,1,6.5759,-133.0970,0.0044,0.0028,1.1057,1.1057,6.0175,0.9601,0.3621
4042,2,6.5759,-133.0970,-0.0029,0.0017,0.9838,0.9838,5.3541,0.7601,0.2867
4042,3,6.5759,-133.0970,0.0020,0.0006,1.7336,1.7336,9.4348,2.3604,0.8902
4042,4,6.5759,-133.0970,-0.0014,-0.0011,2.4517,2.4517,13.3429,4.7207,1.7803
4042,5,6.5759,-133.0970,0.0014,-0.0019,1.8611,1.8611,10.1289,2.7204,1.0259
4043,1,6.6763,-133.0960,0.0029,0.0017,1.1285,1.1285,6.0311,1.0002,0.3637
4043,2,6.6763,-133.0960,0.0011,0.0001,2.4203,2.4203,12.9353,4.6007,1.6732
4043,3,6.6763,-133.0960,-0.0015,-0.0012,2.1998,2.1998,11.7568,3.8006,1.3822
4044,1,6.8290,-133.0960,-0.0023,0.0013,1.8611,1.8611,10.5886,2.7204,1.1212
4044,2,6.8290,-133.0960,0.0013,0.0012,1.6889,1.6889,9.6090,2.2403,0.9233
4044,3,6.8290,-133.0960,-0.0046,-0.0042,0.5047,0.5047,2.8712,0.2000,0.0824
4045,1,6.9195,-133.1130,0.0006,-0.0069,1.4800,1.4800,11.7927,1.7203,1.3907
4151,1,6.6003,-133.1440,0.0038,0.0029,0.9028,0.9028,5.0185,0.6401,0.2518
4151,2,6.6003,-133.1440,-0.0003,-0.0001,3.5756,3.5756,19.8768,10.0415,3.9509
4151,3,6.6003,-133.1440,0.0022,-0.0022,1.5473,1.5473,8.6012,1.8803,0.7398
4151,4,6.6003,-133.1440,0.0035,-0.0029,0.7818,0.7818,4.3461,0.4801,0.1889
4152,1,6.6524,-133.1440,0.0019,0.0015,1.6118,1.6118,9.0492,2.0403,0.8189
4152,2,6.6524,-133.1440,-0.0006,0.0000,3.0863,3.0863,17.3279,7.4811,3.0026
4152,3,6.6524,-133.1440,0.0022,-0.0017,0.6384,0.6384,3.5840,0.3200,0.1285
4152,4,6.6524,-133.1440,0.0031,-0.0026,0.6384,0.6384,3.5840,0.3200,0.1285
4153,1,6.8433,-133.1610,-0.0004,-0.0062,1.2566,1.2566,10.1299,1.2402,1.0261
4153,2,6.8433,-133.1610,0.0012,-0.0062,1.2362,1.2362,9.9652,1.2002,0.9930
4154,1,6.9056,-133.1430,0.0008,0.0003,2.7549,2.7549,15.6791,5.9609,2.4583
4154,2,6.9056,-133.1430,-0.0019,0.0014,0.7137,0.7137,4.0619,0.4001,0.1650
4238,1,6.5380,-133.1760,0.0009,0.0066,1.5799,1.5799,12.5240,1.9603,1.5685
4239,1,6.9582,-133.1980,-0.0014,0.0068,2.0808,2.0808,16.5748,3.4005,2.7472
4239,2,6.9582,-133.1980,0.0006,-0.0005,0.9838,0.9838,7.8364,0.7601,0.6141
4293,1,6.3460,-133.2040,0.0004,0.0004,3.9545,3.9545,22.1684,12.2819,4.9144
4293,2,6.3460,-133.2040,-0.0020,-0.0017,0.7485,0.7485,4.1962,0.4401,0.1761
4293,3,6.3460,-133.2040,-0.0032,-0.0029,1.3352,1.3352,7.4851,1.4002,0.5603
4326,2,6.9442,-133.2150,0.0017,0.0002,5.0163,5.0163,28.8117,19.7631,8.3011
4326,3,6.9442,-133.2150,-0.0016,0.0016,1.3160,1.3160,7.5587,1.3602,0.5713
4396,1,6.7532,-133.2390,0.0003,0.0002,3.1838,3.1838,18.5246,7.9612,3.4316
4412,1,6.6010,-133.2880,-0.0020,0.0006,0.9306,0.9306,5.1852,0.6801,0.2689
4412,2,6.6010,-133.2880,0.0009,0.0006,0.9575,0.9575,5.3355,0.7201,0.2847
4412,3,6.6010,-133.2880,-0.0020,-0.0009,1.1508,1.1508,6.4125,1.0402,0.4112
4431,1,6.9203,-133.2690,-0.0001,0.0058,0.6384,0.6384,5.0973,0.3200,0.2598
4521,1,6.4139,-133.3410,0.0003,0.0000,3.6181,3.6181,20.2781,10.2816,4.1120
4522,1,6.5907,-133.3400,0.0010,-0.0008,3.1273,3.1273,17.8796,7.6812,3.1968
4523,1,6.6669,-133.3390,-0.0026,0.0026,1.8336,1.8336,10.5215,2.6404,1.1070
4523,2,6.6669,-133.3390,0.0005,0.0001,2.7271,2.7271,15.6488,5.8409,2.4488
4523,3,6.6669,-133.3390,0.0029,-0.0025,0.5047,0.5047,2.8959,0.2000,0.0839
4524,2,6.8299,-133.2870,0.0016,0.0009,4.8720,4.8720,27.7121,18.6428,7.6796
4524,3,6.8299,-133.2870,-0.0027,-0.0020,0.5047,0.5047,2.8705,0.2000,0.0824
4524,4,6.8299,-133.2870,-0.0040,-0.0032,0.7137,0.7137,4.0595,0.4001,0.1648
4525,1,6.9062,-133.3350,0.0000,0.0000,2.4929,2.4929,14.0288,4.8808,1.9681
4599,1,6.4901,-133.3400,0.0001,0.0004,2.8548,2.8548,16.3422,6.4010,2.6707
4600,1,6.9982,-133.3620,-0.0010,0.0076,0.6384,0.6384,3.5430,0.3200,0.1255
