BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
3118,1,0,20.7236,337.3020,93.3342,0.0000,0.0000,0,135.5810,-2.7391,0.0000
3119,1,0,21.0664,348.5530,90.3994,0.0000,0.0000,0,136.0740,-2.7369,0.0000
3124,1,0,20.7236,337.3020,93.3342,0.0000,0.0000,0,135.5810,-2.7391,0.0000
3133,1,0,21.2919,356.0550,90.1863,0.0000,0.0000,0,135.2950,-2.7503,0.0000
3134,1,0,20.4374,328.0500,87.4549,0.0000,0.0000,0,135.3730,-2.7495,0.0000
3135,1,0,21.7577,371.8070,97.1503,0.0000,0.0000,0,135.7880,-2.7489,0.0000
3136,1,0,20.8614,341.8020,90.7174,0.0000,0.0000,0,135.8670,-2.7486,0.0000
3137,1,0,21.7577,371.8070,97.2750,0.0000,0.0000,0,136.2830,-2.7464,0.0000
3138,1,0,21.5667,365.3060,91.6559,0.0000,0.0000,0,136.3610,-2.7453,0.0000
3139,1,0,20.6466,334.8010,98.5477,0.0172,0.0172,1,136.5300,-2.7444,0.1311
3140,1,0,20.3124,324.0500,90.4899,0.0000,0.0000,0,136.6080,-2.7445,0.0000
3141,1,0,21.9181,377.3080,90.8275,0.0000,0.0000,0,136.7100,-2.7438,0.0000
3142,1,0,20.2260,321.2990,93.3406,0.0000,0.0000,0,136.7890,-2.7438,0.0000
3170,1,0,21.0664,348.5530,93.6629,0.0000,0.0000,0,136.4840,-2.7687,0.0000
3171,1,0,20.6928,336.3020,91.4155,0.0000,0.0000,0,136.8330,-2.7677,0.0000
3210,1,0,21.4853,362.5560,87.3850,0.0000,0.0000,0,136.2830,-2.7937,0.0000
3211,1,0,21.8745,375.8080,95.2766,0.0000,0.0000,0,136.3610,-2.7936,0.0000
3212,1,0,21.1493,351.3040,90.7177,0.0000,0.0000,0,136.5300,-2.7928,0.0000
3213,1,0,20.4296,327.8000,96.7113,0.0000,0.0000,0,136.6080,-2.7928,0.0000
3214,1,0,20.9299,344.0530,85.2021,0.0000,0.0000,0,136.7100,-2.7918,0.0000
3215,1,0,20.6774,335.8020,92.5525,0.0000,0.0000,0,136.7880,-2.7913,0.0000
3222,1,0,21.5741,365.5560,93.3867,0.0000,0.0000,0,135.2950,-2.7984,0.0000
3223,1,0,20.2967,323.5500,91.4963,0.0000,0.0000,0,135.3730,-2.7982,0.0000
3224,1,0,22.2926,390.3100,89.3088,0.0128,0.0128,1,135.7890,-2.7959,0.1132
3225,1,0,21.9761,379.3080,94.8256,0.0000,0.0000,0,135.8660,-2.7966,0.0000
3287,1,0,20.3045,323.8000,95.6410,0.0000,0.0000,0,135.5810,-2.8072,0.0000
3288,1,0,20.7159,337.0520,92.8344,0.0000,0.0000,0,136.0750,-2.8053,0.0000
3303,1,0,21.2919,356.0550,97.1079,0.0098,0.0098,1,135.1720,-2.8284,0.0992
3304,1,0,20.7543,338.3020,91.7005,0.0000,0.0000,0,135.2500,-2.8278,0.0000
3305,1,0,21.0588,348.3030,95.5515,0.0000,0.0000,0,135.4180,-2.8269,0.0000
3306,1,0,20.8766,342.3030,94.7861,0.0000,0.0000,0,135.4970,-2.8268,0.0000
3307,1,0,20.1076,317.5490,94.2170,0.0000,0.0000,0,135.6650,-2.8258,0.0000
3308,1,0,21.9181,377.3080,93.2534,0.0000,0.0000,0,135.7440,-2.8259,0.0000
3309,1,0,22.4207,394.8110,95.5541,0.0000,0.0000,0,135.9120,-2.8252,0.0000
3310,1,0,21.0588,348.3030,88.1607,0.0000,0.0000,0,135.9910,-2.8251,0.0000
3311,1,0,21.2170,353.5540,87.1263,0.0085,0.0085,1,136.1590,-2.8237,0.0921
3312,1,0,20.9527,344.8030,94.6464,0.0000,0.0000,0,136.2370,-2.8231,0.0000
3313,1,0,20.8690,342.0530,95.4366,0.0000,0.0000,0,136.4060,-2.8225,0.0000
3314,1,0,20.1945,320.2990,88.2459,0.0000,0.0000,0,136.4840,-2.8222,0.0000
3315,1,0,20.2732,322.8000,97.5578,0.0000,0.0000,0,136.8340,-2.8203,0.0000
3389,1,0,21.0134,346.8030,93.1633,0.0000,0.0000,0,136.5690,-2.8455,0.0000
3390,1,0,20.7236,337.3020,91.7100,0.0000,0.0000,0,136.7490,-2.8451,0.0000
3406,1,0,20.9527,344.8030,94.0610,0.0000,0.0000,0,136.4060,-2.8703,0.0000
3407,1,0,19.9885,313.7980,98.0835,0.0000,0.0000,0,136.4840,-2.8702,0.0000
3408,1,0,20.6235,334.0510,93.5791,0.0000,0.0000,0,136.8340,-2.8681,0.0000
3413,1,0,21.1569,351.5540,93.2280,0.0000,0.0000,0,135.1720,-2.8760,0.0000
3414,1,0,21.0966,349.5540,90.0266,0.0000,0.0000,0,135.2500,-2.8758,0.0000
3415,1,0,21.0588,348.3030,92.5220,0.0000,0.0000,0,135.4180,-2.8755,0.0000
3416,1,0,21.9544,378.5580,93.7734,0.0000,0.0000,0,135.4970,-2.8747,0.0000
3417,1,0,21.0437,347.8030,91.7152,0.0000,0.0000,0,135.6650,-2.8738,0.0000
3418,1,0,21.1493,351.3040,95.9628,0.0000,0.0000,0,135.7430,-2.8738,0.0000
3419,1,0,23.3595,428.5660,95.7656,0.0000,0.0000,0,135.9130,-2.8728,0.0000
3420,1,0,20.0918,317.0490,89.3188,0.0079,0.0079,1,135.9900,-2.8714,0.0888
3421,1,0,21.0966,349.5540,88.5613,0.0000,0.0000,0,136.1590,-2.8716,0.0000
3422,1,0,21.1644,351.8040,91.9471,0.0000,0.0000,0,136.2370,-2.8714,0.0000
3484,1,0,20.5926,333.0510,93.5517,0.0000,0.0000,0,135.3340,-2.8938,0.0000
3485,1,0,20.8002,339.8020,93.0455,0.0000,0.0000,0,135.8280,-2.8921,0.0000
3486,1,0,21.0664,348.5530,97.5227,0.0000,0.0000,0,136.3210,-2.8897,0.0000
3505,1,0,20.9223,343.8030,94.7354,0.0000,0.0000,0,135.0490,-2.9066,0.0000
3506,1,0,21.2019,353.0540,93.5061,0.0071,0.0071,1,135.1280,-2.9053,0.0842
3507,1,0,20.9147,343.5530,93.0787,0.0160,0.0160,1,135.5420,-2.9040,0.1265
3508,1,0,20.7773,339.0520,94.1873,0.0000,0.0000,0,135.6200,-2.9037,0.0000
3509,1,0,21.2019,353.0540,97.5365,0.0000,0.0000,0,136.0360,-2.9012,0.0000
3510,1,0,21.4557,361.5560,98.6931,0.0000,0.0000,0,136.1140,-2.9009,0.0000
3511,1,0,20.7926,339.5520,91.8927,0.0000,0.0000,0,136.5300,-2.8990,0.0000
3512,1,0,21.1719,352.0540,94.7711,0.0000,0.0000,0,136.6090,-2.8983,0.0000
3513,1,0,20.0680,316.2990,90.6589,0.0000,0.0000,0,136.7100,-2.8982,0.0000
3514,1,0,20.3906,326.5500,91.2845,0.0000,0.0000,0,136.7890,-2.8984,0.0000
3566,1,0,21.4186,360.3050,97.1740,0.0000,0.0000,0,136.4850,-2.9231,0.0000
3567,1,0,20.9147,343.5530,97.3579,0.0000,0.0000,0,136.8340,-2.9209,0.0000
3583,1,0,21.7358,371.0570,97.2321,0.0121,0.0121,1,136.5300,-2.9471,0.1101
3584,1,0,20.8537,341.5520,85.4211,0.0322,0.0322,1,136.6090,-2.9465,0.1795
3587,1,0,20.9603,345.0530,97.0961,0.0355,0.0355,1,135.0500,-2.9532,0.1884
3588,1,0,22.0989,383.5590,91.0625,0.0000,0.0000,0,135.1270,-2.9533,0.0000
3589,1,0,21.2019,353.0540,94.7933,0.0000,0.0000,0,135.5420,-2.9520,0.0000
3590,1,0,21.9036,376.8080,95.5171,0.0000,0.0000,0,135.6200,-2.9511,0.0000
3591,1,0,21.0966,349.5540,96.8731,0.0086,0.0086,1,136.0360,-2.9496,0.0926
3592,1,0,20.9375,344.3030,92.1768,0.0000,0.0000,0,136.1140,-2.9486,0.0000
3593,1,0,21.8818,376.0580,90.3946,0.0000,0.0000,0,136.7100,-2.9454,0.0000
3594,1,0,21.2320,354.0540,97.6425,0.0035,0.0035,1,136.7890,-2.9458,0.0594
3656,1,0,21.0058,346.5530,97.0054,0.0000,0.0000,0,136.3220,-2.9577,0.0000
3658,1,0,21.0739,348.8040,91.8140,0.0057,0.0057,1,135.3350,-2.9623,0.0757
3659,1,0,20.6235,334.0510,92.2890,0.0000,0.0000,0,135.8280,-2.9608,0.0000
3674,1,0,21.5076,363.3060,93.5010,0.0000,0.0000,0,135.1720,-2.9822,0.0000
3675,1,0,21.1493,351.3040,95.0793,0.0000,0.0000,0,135.2510,-2.9821,0.0000
3676,1,0,20.9755,345.5530,84.7341,0.0000,0.0000,0,135.4190,-2.9811,0.0000
3677,1,0,21.2170,353.5540,91.5027,0.0000,0.0000,0,135.4970,-2.9810,0.0000
3678,1,0,21.1117,350.0540,91.4401,0.0136,0.0136,1,135.6660,-2.9804,0.1165
3679,1,0,21.2245,353.8040,96.1896,0.0000,0.0000,0,135.7440,-2.9795,0.0000
3680,1,0,21.7724,372.3070,94.9434,0.0081,0.0081,1,135.9130,-2.9794,0.0898
3681,1,0,20.1155,317.7990,90.2771,0.0094,0.0094,1,135.9910,-2.9783,0.0972
