Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
R3,60,3118,-6.6899,126.3770,20.3906,90.9311,326.5500,0.0000,0.0000,Pass
R3,60,3119,-6.1959,126.3780,20.5151,92.2639,330.5510,0.0000,0.0000,Pass
R3,60,3124,-6.6899,126.3770,20.3906,90.9311,326.5500,0.0000,0.0000,Pass
R3,60,3133,-6.9761,126.3650,21.1418,94.8723,351.0540,0.0000,0.0000,Pass
R3,60,3134,-6.8979,126.3650,21.0286,97.7169,347.3030,0.0000,0.0000,Pass
R3,60,3135,-6.4817,126.3670,20.2024,97.6990,320.5490,0.0000,0.0000,Pass
R3,60,3136,-6.4036,126.3670,21.7431,94.1581,371.3070,0.0000,0.0000,Pass
R3,60,3137,-5.9885,126.3690,21.6109,96.0297,366.8060,0.5500,0.5500,Pass
R3,60,3138,-5.9100,126.3700,20.2810,98.9208,323.0500,0.0000,0.0000,Pass
R3,60,3139,-5.7412,126.3700,20.7773,95.1258,339.0520,0.0000,0.0000,Pass
R3,60,3140,-5.6629,126.3710,20.5926,93.0590,333.0510,0.0000,0.0000,Pass
R3,60,3141,-5.5608,126.3710,21.2320,87.7830,354.0540,0.0000,0.0000,Pass
R3,60,3142,-5.4822,126.3710,21.3590,92.3827,358.3050,0.0000,0.0000,Pass
R3,60,3170,-5.7862,126.3460,21.1944,91.2517,352.8040,0.9900,0.9900,Pass
R3,60,3171,-5.4372,126.3480,20.9603,94.6819,345.0530,0.0000,0.0000,Pass
R3,60,3210,-5.9882,126.3210,21.0134,93.1524,346.8030,0.0000,0.0000,Pass
R3,60,3211,-5.9101,126.3220,20.4918,95.2759,329.8010,0.0000,0.0000,Pass
R3,60,3212,-5.7409,126.3220,20.6774,96.8926,335.8020,0.0000,0.0000,Pass
R3,60,3213,-5.6629,126.3230,20.6697,94.5031,335.5520,0.0000,0.0000,Pass
R3,60,3214,-5.5602,126.3230,21.1794,94.2835,352.3040,0.0000,0.0000,Pass
R3,60,3215,-5.4820,126.3230,21.8745,91.3949,375.8080,1.5300,1.5300,Pass
R3,60,3222,-6.9759,126.3170,20.6003,96.1804,333.3010,0.0000,0.0000,Pass
