Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
W6,165,1,-2.1023,143.0320,87.1762,97.1099,5968.7800,0.0000,0.0000,Pass
W6,165,2,-1.8018,143.0320,87.4226,98.0637,6002.5800,0.0000,0.0000,Pass
W6,165,8,-3.4554,143.0270,87.2238,98.1879,5975.3000,0.0000,0.0000,Pass
W6,165,9,-3.3054,143.0280,87.2411,97.1084,5977.6800,0.0000,0.0000,Pass
W6,165,10,-3.1549,143.0280,87.0636,95.9650,5953.3700,0.0000,0.0000,Pass
W6,165,11,-3.0053,143.0280,86.9334,96.8770,5935.5800,0.0000,0.0000,Pass
W6,165,12,-2.8544,143.0280,86.7508,97.1556,5910.6800,0.0000,0.0000,Pass
W6,165,13,-2.7042,143.0290,87.0722,97.2753,5954.5500,0.0000,0.0000,Pass
W6,165,14,-2.5536,143.0290,87.1242,97.7110,5961.6700,0.0000,0.0000,Pass
W6,165,15,-2.4028,143.0300,86.5810,97.2049,5887.5500,0.0000,0.0000,Pass
W6,165,16,-2.2533,143.0300,87.0462,98.5942,5950.9900,0.0000,0.0000,Pass
W6,165,17,-1.9527,143.0320,86.6333,96.4309,5894.6700,0.0000,0.0000,Pass
W6,165,18,-1.6512,143.0330,87.1849,97.5519,5969.9700,0.0000,0.0000,Pass
W6,165,19,-1.5010,143.0340,87.0375,96.3233,5949.8100,0.0000,0.0000,Pass
W6,165,20,-1.3503,143.0330,87.3967,96.8627,5999.0200,0.0000,0.0000,Pass
W6,165,21,-1.2000,143.0340,87.5521,97.5014,6020.3600,0.0000,0.0000,Pass
W6,165,22,-1.0497,143.0350,87.8877,96.8625,6066.6100,0.0000,0.0000,Pass
W6,165,23,-0.8989,143.0350,87.9306,96.0875,6072.5400,0.0000,0.0000,Pass
W6,165,31,-3.3047,142.8770,86.9204,96.6712,5933.8000,0.0000,0.0000,Pass
W6,165,32,-2.5531,142.8790,86.6812,98.0740,5901.1900,0.0000,0.0000,Pass
W6,165,33,-2.1025,142.8810,86.3015,97.5310,5849.6100,0.0000,0.0000,Pass
W6,165,34,-1.8013,142.8820,86.7639,98.2685,5912.4600,0.0000,0.0000,Pass
W6,165,35,-1.6513,142.8820,86.4632,98.2682,5871.5400,0.0000,0.0000,Pass
W6,165,36,-1.5009,142.8830,86.6159,97.5731,5892.3000,0.0000,0.0000,Pass
W6,165,37,-1.0492,142.8840,87.0462,97.2461,5950.9900,0.0000,0.0000,Pass
W6,165,38,-0.8985,142.8850,87.7287,96.6224,6044.6700,0.0000,0.0000,Pass
W6,165,41,-3.4553,142.8770,86.7900,97.2101,5916.0100,0.0000,0.0000,Pass
W6,165,42,-3.1546,142.8770,86.9508,96.5730,5937.9500,0.0000,0.0000,Pass
W6,165,43,-3.0045,142.8780,86.4807,97.1247,5873.9200,0.0000,0.0000,Pass
W6,165,44,-2.8538,142.8780,86.1790,97.8907,5833.0100,0.0000,0.0000,Pass
W6,165,45,-2.7041,142.8790,86.6943,97.1973,5902.9700,0.0000,0.0000,Pass
W6,165,46,-2.4026,142.8790,86.0957,98.1997,5821.7400,0.0000,0.0000,Pass
W6,165,47,-2.2529,142.8800,86.3278,97.5189,5853.1700,0.0000,0.0000,Pass
W6,165,48,-1.9522,142.8810,86.3059,98.2340,5850.2000,0.0000,0.0000,Pass
W6,165,49,-1.3502,142.8830,87.0722,98.7569,5954.5500,0.0000,0.0000,Pass
W6,165,50,-1.1988,142.8840,87.1372,97.0855,5963.4500,0.0000,0.0000,Pass
W6,165,60,-3.4548,142.7260,86.1001,98.8665,5822.3300,0.0000,0.0000,Pass
W6,165,61,-3.3049,142.7270,86.3234,96.7817,5852.5700,0.0000,0.0000,Pass
W6,165,62,-3.0044,142.7270,85.9904,97.8786,5807.5100,0.0000,0.0000,Pass
W6,165,63,-2.8537,142.7280,86.0738,97.8786,5818.7800,0.0000,0.0000,Pass
W6,165,64,-2.7038,142.7280,85.8323,98.4161,5786.1700,0.0000,0.0000,Pass
W6,165,65,-2.2523,142.7290,85.8191,96.8430,5784.3900,0.0000,0.0000,Pass
W6,165,66,-2.1022,142.7300,85.8982,99.2221,5795.0600,0.0000,0.0000,Pass
W6,165,67,-1.9511,142.7310,86.2578,98.3155,5843.6800,0.0000,0.0000,Pass
W6,165,68,-1.8014,142.7310,85.9070,99.2734,5796.2500,0.0000,0.0000,Pass
W6,165,69,-1.6510,142.7310,85.8279,97.6358,5785.5700,0.0000,0.0000,Pass
W6,165,70,-1.5003,142.7320,86.3889,98.2932,5861.4700,0.0000,0.0000,Pass
W6,165,71,-1.3490,142.7330,86.8248,97.8763,5920.7600,0.0000,0.0000,Pass
W6,165,72,-0.8982,142.7340,86.8769,96.6662,5927.8700,0.0000,0.0000,Pass
W6,165,77,-3.1542,142.7270,86.2796,97.5097,5846.6400,0.0000,0.0000,Pass
W6,165,78,-2.5529,142.7290,86.4152,97.9379,5865.0200,0.0000,0.0000,Pass
W6,165,79,-2.4025,142.7290,85.8367,98.4893,5786.7600,0.0000,0.0000,Pass
W6,165,80,-1.1986,142.7330,86.3321,98.2805,5853.7600,0.0000,0.0000,Pass
W6,165,81,-1.0486,142.7340,87.1849,97.6728,5969.9700,0.0000,0.0000,Pass
W6,165,85,-1.1991,142.5820,86.5505,97.4250,5883.4000,0.0000,0.0000,Pass
W6,165,90,-3.4543,142.5750,86.2315,98.1426,5840.1200,0.0000,0.0000,Pass
W6,165,91,-3.3045,142.5760,86.4326,98.1461,5867.4000,0.0000,0.0000,Pass
W6,165,92,-3.1537,142.5760,85.9597,98.2234,5803.3600,0.0000,0.0000,Pass
W6,165,93,-3.0035,142.5760,85.5680,98.1770,5750.5900,0.0000,0.0000,Pass
W6,165,94,-2.8534,142.5770,85.9948,97.8863,5808.1000,0.0000,0.0000,Pass
W6,165,95,-2.7026,142.5770,86.0036,98.0396,5809.2900,0.0000,0.0000,Pass
W6,165,96,-2.5523,142.5780,86.0562,98.4704,5816.4100,0.0000,0.0000,Pass
W6,165,97,-2.4021,142.5790,85.6826,98.1798,5766.0100,0.0000,0.0000,Pass
W6,165,98,-2.2523,142.5790,85.6826,98.4208,5766.0100,0.0000,0.0000,Pass
W6,165,99,-2.1016,142.5800,85.5327,98.7133,5745.8500,0.0000,0.0000,Pass
W6,165,100,-1.9514,142.5810,86.0036,98.9758,5809.2900,0.0000,0.0000,Pass
W6,165,101,-1.8007,142.5810,85.8718,98.1582,5791.5000,0.0000,0.0000,Pass
W6,165,102,-1.6502,142.5810,85.8455,98.1835,5787.9500,0.0000,0.0000,Pass
W6,165,103,-1.5005,142.5810,85.9421,98.0201,5800.9900,0.0000,0.0000,Pass
W6,165,104,-1.3489,142.5830,86.2140,99.1290,5837.7500,0.0000,0.0000,Pass
W6,165,105,-1.0490,142.5830,86.7334,97.6726,5908.3100,0.0000,0.0000,Pass
W6,165,106,-0.8979,142.5830,86.8856,97.4877,5929.0600,0.0000,0.0000,Pass
W6,165,115,-3.4532,142.4250,85.9948,97.9376,5808.1000,0.0000,0.0000,Pass
W6,165,116,-3.3038,142.4250,86.6507,98.1102,5897.0400,0.0000,0.0000,Pass
W6,165,117,-3.1534,142.4260,86.5679,98.3584,5885.7800,0.0000,0.0000,Pass
W6,165,118,-3.0029,142.4260,85.8850,98.8075,5793.2800,0.0000,0.0000,Pass
W6,165,119,-2.7027,142.4270,85.9773,99.0679,5805.7300,0.0000,0.0000,Pass
W6,165,120,-2.5520,142.4280,86.3627,99.0353,5857.9100,0.0000,0.0000,Pass
W6,165,121,-2.1013,142.4290,85.8455,99.0876,5787.9500,0.0000,0.0000,Pass
W6,165,122,-1.9506,142.4300,85.6297,98.4243,5758.8900,0.0000,0.0000,Pass
W6,165,123,-1.6502,142.4310,85.8367,98.3519,5786.7600,0.0000,0.0000,Pass
W6,165,124,-1.4995,142.4310,86.1045,97.7367,5822.9300,0.0000,0.0000,Pass
W6,165,125,-1.3490,142.4320,86.1001,97.9381,5822.3300,0.0000,0.0000,Pass
W6,165,129,-2.8529,142.4270,85.8586,98.1167,5789.7200,0.0000,0.0000,Pass
W6,165,130,-2.4016,142.4280,85.5195,99.2011,5744.0700,0.0000,0.0000,Pass
W6,165,131,-2.2518,142.4280,85.9948,97.2538,5808.1000,0.0000,0.0000,Pass
W6,165,132,-1.8003,142.4300,85.7399,98.7205,5773.7200,0.0000,0.0000,Pass
W6,165,133,-1.1982,142.4320,86.4763,98.3237,5873.3200,0.0000,0.0000,Pass
W6,165,134,-1.0477,142.4330,86.7595,98.2485,5911.8600,0.0000,0.0000,Pass
W6,165,135,-0.8973,142.4340,86.5723,98.5172,5886.3700,0.0000,0.0000,Pass
W6,165,159,-3.0758,142.0180,85.5812,98.4538,5752.3700,0.0000,0.0000,Pass
W6,165,160,-2.0860,142.0210,85.3869,99.5829,5726.2800,0.0000,0.0000,Pass
W6,165,161,-1.5903,142.0220,85.9685,99.3409,5804.5500,0.0000,0.0000,Pass
W6,165,162,-2.9104,142.0180,85.4179,99.5362,5730.4300,0.0000,0.0000,Pass
W6,165,163,-2.7455,142.0180,85.8367,98.3449,5786.7600,0.0000,0.0000,Pass
W6,165,164,-2.5806,142.0190,85.5592,99.5840,5749.4100,0.0000,0.0000,Pass
W6,165,165,-2.4158,142.0190,85.3427,98.4608,5720.3500,0.0000,0.0000,Pass
W6,165,166,-2.2509,142.0200,85.4356,99.0559,5732.8100,0.0000,0.0000,Pass
W6,165,167,-1.9209,142.0220,85.4576,99.0540,5735.7700,0.0000,0.0000,Pass
W6,165,168,-1.7559,142.0220,86.0036,99.4837,5809.2900,0.0000,0.0000,Pass
W6,165,169,-1.4253,142.0220,85.4841,97.5275,5739.3300,0.0000,0.0000,Pass
W6,165,170,-1.2605,142.0230,85.5062,98.5113,5742.2900,0.0000,0.0000,Pass
W6,165,171,-1.0948,142.0230,86.4414,99.4295,5868.5800,0.0000,0.0000,Pass
W6,165,182,-3.2400,141.8520,84.8771,99.0772,5658.1000,0.0000,0.0000,Pass
W6,165,183,-3.0753,141.8520,85.1878,97.8164,5699.6000,0.0000,0.0000,Pass
W6,165,184,-2.9095,141.8530,85.0459,98.1534,5680.6300,0.0000,0.0000,Pass
W6,165,185,-2.7447,141.8530,85.4797,99.1324,5738.7300,0.0000,0.0000,Pass
W6,165,186,-2.5799,141.8540,85.0858,97.4733,5685.9700,0.0000,0.0000,Pass
W6,165,187,-2.4153,141.8540,84.9437,98.7890,5666.9900,0.0000,0.0000,Pass
W6,165,188,-2.2506,141.8550,85.2277,99.1370,5704.9400,0.0000,0.0000,Pass
W6,165,189,-2.0850,141.8550,85.0237,99.3964,5677.6700,0.0000,0.0000,Pass
W6,165,190,-1.9207,141.8560,84.7792,98.4891,5645.0600,0.0000,0.0000,Pass
W6,165,191,-1.7555,141.8570,85.4356,98.7955,5732.8100,0.0000,0.0000,Pass
W6,165,192,-1.5898,141.8570,85.3295,98.2290,5718.5800,0.0000,0.0000,Pass
W6,165,193,-1.4243,141.8580,85.5239,99.3533,5744.6600,0.0000,0.0000,Pass
W6,165,194,-1.0943,141.8590,85.9333,99.4603,5799.8000,0.0000,0.0000,Pass
W6,165,195,-1.2596,141.8580,85.4841,98.6511,5739.3300,0.0000,0.0000,Pass
W6,165,206,-3.2396,141.6870,84.8459,99.4843,5653.9500,0.0000,0.0000,Pass
W6,165,207,-3.0747,141.6870,84.7970,99.8145,5647.4300,0.0000,0.0000,Pass
W6,165,208,-2.9092,141.6880,84.7569,97.9753,5642.0900,0.0000,0.0000,Pass
W6,165,209,-2.4139,141.6890,84.3865,99.9598,5592.8800,0.0000,0.0000,Pass
W6,165,210,-2.0850,141.6910,84.0773,98.2568,5551.9700,0.0000,0.0000,Pass
W6,165,211,-1.5896,141.6920,84.9882,97.9341,5672.9200,0.0000,0.0000,Pass
W6,165,212,-1.4242,141.6920,85.5680,99.4526,5750.5900,0.0000,0.0000,Pass
W6,165,213,-1.2594,141.6930,84.7703,98.5254,5643.8700,0.0000,0.0000,Pass
W6,165,214,-2.7444,141.6880,84.9304,99.1069,5665.2100,0.0000,0.0000,Pass
W6,165,215,-2.5801,141.6880,84.6098,99.2900,5622.5200,0.0000,0.0000,Pass
W6,165,216,-2.2498,141.6890,84.4669,98.4594,5603.5500,0.0000,0.0000,Pass
W6,165,217,-1.9198,141.6910,84.5830,98.8282,5618.9700,0.0000,0.0000,Pass
W6,165,218,-1.7545,141.6910,85.0192,97.9887,5677.0700,0.0000,0.0000,Pass
W6,165,219,-1.0940,141.6930,85.5371,98.7745,5746.4400,0.0000,0.0000,Pass
W6,165,233,-1.9194,141.5260,84.5607,99.3061,5616.0000,0.0000,0.0000,Pass
W6,165,239,-3.2390,141.5220,84.3686,98.6492,5590.5100,0.0000,0.0000,Pass
W6,165,240,-3.0732,141.5220,84.2925,98.0072,5580.4300,0.0000,0.0000,Pass
W6,165,241,-2.9094,141.5230,85.0592,98.4611,5682.4100,0.0000,0.0000,Pass
W6,165,242,-2.7438,141.5230,84.7124,99.8660,5636.1600,0.0000,0.0000,Pass
W6,165,243,-2.5790,141.5240,84.2477,98.8719,5574.5000,0.0000,0.0000,Pass
W6,165,244,-2.4144,141.5240,84.2163,99.5622,5570.3500,0.0000,0.0000,Pass
W6,165,245,-2.0836,141.5260,83.8345,97.7191,5519.9500,0.0000,0.0000,Pass
W6,165,246,-1.7547,141.5270,85.0104,99.4548,5675.8900,0.0000,0.0000,Pass
W6,165,247,-1.5894,141.5270,84.8459,98.7295,5653.9500,0.0000,0.0000,Pass
W6,165,248,-1.4245,141.5280,84.9615,99.2079,5669.3600,0.0000,0.0000,Pass
W6,165,249,-1.2586,141.5280,84.5830,98.6326,5618.9700,0.0000,0.0000,Pass
W6,165,250,-1.0938,141.5290,85.7531,99.0184,5775.4900,0.0000,0.0000,Pass
W6,165,251,-2.2492,141.5250,84.1760,98.1826,5565.0100,0.0000,0.0000,Pass
W6,165,262,-3.2383,141.3570,84.6410,99.4803,5626.6800,0.0000,0.0000,Pass
W6,165,263,-2.9086,141.3580,84.6722,97.6143,5630.8300,0.0000,0.0000,Pass
W6,165,264,-2.7430,141.3580,84.7480,99.2028,5640.9000,0.0000,0.0000,Pass
W6,165,265,-2.5786,141.3580,84.5607,98.8925,5616.0000,0.0000,0.0000,Pass
W6,165,266,-2.4140,141.3600,84.1222,98.9032,5557.9000,0.0000,0.0000,Pass
W6,165,267,-2.2487,141.3600,84.1222,97.5633,5557.9000,0.0000,0.0000,Pass
W6,165,268,-2.0834,141.3610,84.1849,99.5027,5566.2000,0.0000,0.0000,Pass
W6,165,269,-1.7538,141.3620,84.7658,98.8038,5643.2800,0.0000,0.0000,Pass
W6,165,270,-1.5886,141.3620,85.1257,99.4160,5691.3000,0.0000,0.0000,Pass
W6,165,271,-1.4236,141.3630,84.9970,98.7551,5674.1100,0.0000,0.0000,Pass
W6,165,272,-1.2583,141.3640,85.0059,99.1794,5675.2900,0.0000,0.0000,Pass
W6,165,273,-3.0735,141.3580,85.0725,99.4398,5684.1900,0.0000,0.0000,Pass
W6,165,274,-1.9189,141.3610,84.9215,99.5417,5664.0300,0.0000,0.0000,Pass
W6,165,275,-1.0933,141.3640,85.3648,99.1276,5723.3200,0.0000,0.0000,Pass
W6,165,286,-2.7429,141.1930,84.9437,99.6498,5666.9900,0.0000,0.0000,Pass
W6,165,287,-2.0831,141.1960,84.5429,99.4741,5613.6300,0.0000,0.0000,Pass
W6,165,288,-1.7528,141.1970,85.2808,99.6441,5712.0500,0.0000,0.0000,Pass
W6,165,289,-3.2377,141.1920,84.4759,99.4447,5604.7400,0.0000,0.0000,Pass
W6,165,290,-3.0729,141.1920,84.7346,99.3582,5639.1300,0.0000,0.0000,Pass
W6,165,291,-2.9076,141.1930,84.8326,99.8230,5652.1700,0.0000,0.0000,Pass
W6,165,292,-2.5777,141.1940,84.7658,99.5300,5643.2800,0.0000,0.0000,Pass
W6,165,293,-2.4137,141.1940,84.3014,98.6716,5581.6100,0.0000,0.0000,Pass
W6,165,294,-2.2481,141.1950,84.3909,98.9538,5593.4700,0.0000,0.0000,Pass
W6,165,295,-1.9186,141.1970,84.5920,99.1745,5620.1500,0.0000,0.0000,Pass
W6,165,296,-1.5878,141.1980,84.9304,98.3192,5665.2100,0.0000,0.0000,Pass
W6,165,297,-1.4231,141.1980,85.0059,98.3787,5675.2900,0.0000,0.0000,Pass
W6,165,298,-1.2575,141.1990,84.5875,98.0014,5619.5600,0.0000,0.0000,Pass
W6,165,299,-1.0921,141.1990,85.2409,99.4556,5706.7200,0.0000,0.0000,Pass
W6,165,310,-3.2375,141.0270,84.5830,99.2040,5618.9700,0.0000,0.0000,Pass
W6,165,311,-3.0723,141.0270,84.6187,99.5838,5623.7100,0.0000,0.0000,Pass
W6,165,312,-2.9069,141.0280,84.4446,99.2806,5600.5900,0.0000,0.0000,Pass
W6,165,313,-2.7423,141.0280,84.6767,98.3004,5631.4200,0.0000,0.0000,Pass
W6,165,314,-2.5770,141.0290,84.4267,98.7891,5598.2200,0.0000,0.0000,Pass
W6,165,315,-2.4127,141.0300,84.6232,99.2795,5624.3000,0.0000,0.0000,Pass
W6,165,316,-2.0828,141.0310,84.3328,99.3328,5585.7600,0.0000,0.0000,Pass
W6,165,317,-1.9178,141.0310,84.9082,98.6349,5662.2500,0.0000,0.0000,Pass
W6,165,318,-1.7528,141.0330,85.1922,98.8229,5700.2000,0.0000,0.0000,Pass
W6,165,319,-1.5877,141.0330,84.8326,98.1059,5652.1700,0.0000,0.0000,Pass
W6,165,320,-1.4222,141.0330,84.7346,98.7314,5639.1300,0.0000,0.0000,Pass
W6,165,321,-1.2572,141.0340,84.5652,99.2003,5616.6000,0.0000,0.0000,Pass
W6,165,322,-1.0919,141.0340,85.2587,98.7339,5709.0900,0.0000,0.0000,Pass
W6,165,323,-2.2473,141.0300,84.4803,98.4335,5605.3300,0.0000,0.0000,Pass
W6,165,334,-3.2363,140.8620,84.7168,99.4193,5636.7500,0.0000,0.0000,Pass
W6,165,335,-3.0716,140.8620,84.8148,99.9316,5649.8000,0.0000,0.0000,Pass
W6,165,336,-2.9067,140.8630,84.7703,99.1589,5643.8700,0.0000,0.0000,Pass
W6,165,337,-2.7416,140.8630,84.4222,98.3364,5597.6200,0.0000,0.0000,Pass
W6,165,338,-2.5767,140.8640,84.6009,98.2434,5621.3400,0.0000,0.0000,Pass
W6,165,339,-2.0823,140.8660,84.9526,99.1969,5668.1800,0.0000,0.0000,Pass
W6,165,340,-1.9173,140.8670,85.4267,98.9707,5731.6200,0.0000,0.0000,Pass
W6,165,341,-1.7521,140.8670,85.4223,99.0961,5731.0300,0.0000,0.0000,Pass
W6,165,342,-1.5869,140.8680,85.1479,99.1037,5694.2700,0.0000,0.0000,Pass
W6,165,343,-1.4217,140.8690,85.3118,97.5373,5716.2000,0.0000,0.0000,Pass
W6,165,344,-1.2565,140.8690,84.8504,98.8780,5654.5400,0.0000,0.0000,Pass
W6,165,345,-2.4117,140.8650,84.9171,99.3226,5663.4400,0.0000,0.0000,Pass
W6,165,346,-2.2468,140.8650,84.5920,99.4702,5620.1500,0.0000,0.0000,Pass
W6,165,347,-1.0914,140.8690,85.7222,97.9126,5771.3400,0.0000,0.0000,Pass
W6,165,370,-3.4471,140.4710,84.4267,97.5442,5598.2200,0.0000,0.0000,Pass
W6,165,371,-2.3959,140.4740,84.4625,97.7861,5602.9600,0.0000,0.0000,Pass
W6,165,372,-2.0949,140.4760,84.0593,98.9080,5549.6000,0.0000,0.0000,Pass
W6,165,373,-1.9447,140.4760,84.2342,99.2937,5572.7200,0.0000,0.0000,Pass
W6,165,374,-1.4940,140.4780,84.5384,97.8789,5613.0400,0.0000,0.0000,Pass
W6,165,378,-3.2965,140.4710,84.2835,97.6093,5579.2400,0.0000,0.0000,Pass
W6,165,379,-3.1465,140.4710,84.3686,98.5485,5590.5100,0.0000,0.0000,Pass
W6,165,380,-2.9966,140.4720,84.1715,98.3737,5564.4200,0.0000,0.0000,Pass
W6,165,381,-2.8456,140.4720,84.2522,97.6050,5575.0900,0.0000,0.0000,Pass
W6,165,382,-2.6959,140.4730,84.1715,98.7101,5564.4200,0.0000,0.0000,Pass
W6,165,383,-2.5454,140.4740,84.0234,98.6514,5544.8500,0.0000,0.0000,Pass
W6,165,384,-2.2451,140.4740,83.8435,98.9222,5521.1400,0.0000,0.0000,Pass
W6,165,385,-1.7945,140.4770,84.5116,98.1038,5609.4800,0.0000,0.0000,Pass
W6,165,386,-1.6440,140.4770,84.3596,98.1928,5589.3200,0.0000,0.0000,Pass
W6,165,387,-1.3433,140.4780,84.5786,98.8204,5618.3700,0.0000,0.0000,Pass
W6,165,388,-1.1921,140.4790,84.8459,97.2904,5653.9500,0.0000,0.0000,Pass
W6,165,389,-1.0424,140.4790,84.6945,97.1883,5633.7900,0.0000,0.0000,Pass
W6,165,390,-0.8922,140.4790,85.4135,97.7322,5729.8400,0.0000,0.0000,Pass
W6,165,397,-3.2961,140.3200,84.2746,98.4868,5578.0600,0.0000,0.0000,Pass
W6,165,398,-1.6438,140.3270,84.2163,98.1209,5570.3500,0.0000,0.0000,Pass
W6,165,403,-3.4463,140.3200,84.3909,96.9203,5593.4700,0.0000,0.0000,Pass
W6,165,404,-3.1457,140.3210,84.4044,98.5931,5595.2500,0.0000,0.0000,Pass
W6,165,405,-2.9956,140.3220,84.3820,98.0246,5592.2900,0.0000,0.0000,Pass
W6,165,406,-2.8453,140.3220,84.1984,98.2305,5567.9800,0.0000,0.0000,Pass
W6,165,407,-2.6955,140.3230,84.2298,98.7377,5572.1300,0.0000,0.0000,Pass
W6,165,408,-2.5451,140.3230,83.5278,97.2073,5479.6300,0.0000,0.0000,Pass
W6,165,409,-2.3945,140.3240,84.2208,98.9227,5570.9400,0.0000,0.0000,Pass
