BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
1,1,0,85.2852,5712.6500,96.4686,0.0000,0.0000,0,-15.8547,6.6731,0.0000
2,1,0,85.0991,5687.7400,96.8961,0.0000,0.0000,0,-15.5535,6.6742,0.0000
8,1,0,85.4621,5736.3600,96.1436,0.0000,0.0000,0,-17.2064,6.6681,0.0000
9,1,0,85.3604,5722.7300,98.0022,0.0000,0.0000,0,-17.0564,6.6693,0.0000
10,1,0,84.6321,5625.4900,98.4776,0.0000,0.0000,0,-16.9064,6.6690,0.0000
11,1,0,85.2631,5709.6800,98.2865,0.0000,0.0000,0,-16.7561,6.6700,0.0000
12,1,0,85.6782,5765.4200,97.9982,0.0000,0.0000,0,-16.6055,6.6698,0.0000
13,1,0,84.7703,5643.8700,96.9936,0.0000,0.0000,0,-16.4557,6.6707,0.0000
14,1,0,84.9437,5666.9900,97.4963,0.0000,0.0000,0,-16.3052,6.6708,0.0000
15,1,0,84.8014,5648.0200,98.0674,0.0000,0.0000,0,-16.1547,6.6714,0.0000
16,1,0,84.7747,5644.4600,98.6150,0.0000,0.0000,0,-16.0049,6.6718,0.0000
17,1,0,85.2764,5711.4600,97.5172,0.0000,0.0000,0,-15.7040,6.6737,0.0000
18,1,0,84.9437,5666.9900,97.6305,0.0000,0.0000,0,-15.4028,6.6739,0.0000
19,1,0,85.5150,5743.4800,97.9148,0.0000,0.0000,0,-15.2524,6.6744,0.0000
20,1,0,84.9615,5669.3600,97.5901,0.0000,0.0000,0,-15.1026,6.6755,0.0000
21,1,0,85.3648,5723.3200,96.6996,0.0000,0.0000,0,-14.9517,6.6760,0.0000
22,1,0,85.5680,5750.5900,96.6661,0.0000,0.0000,0,-14.8010,6.6763,0.0000
23,1,0,86.1176,5824.7100,97.0547,0.0000,0.0000,0,-14.6503,6.6762,0.0000
31,1,0,85.1213,5690.7100,97.6594,0.0000,0.0000,0,-17.0556,6.5186,0.0000
32,1,0,84.6544,5628.4500,98.7479,0.0000,0.0000,0,-16.3047,6.5209,0.0000
33,1,0,84.4401,5599.9900,97.8346,0.0000,0.0000,0,-15.8542,6.5223,0.0000
34,1,0,85.1346,5692.4900,98.1601,0.0000,0.0000,0,-15.5534,6.5235,0.0000
35,1,0,84.5920,5620.1500,97.8167,0.0000,0.0000,0,-15.4028,6.5237,0.0000
36,1,0,84.6143,5623.1200,96.6654,0.0000,0.0000,0,-15.2527,6.5246,0.0000
