Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
kV3,165,1,-2.1057,143.0290,84.5250,97.8657,5611.2600,0.0000,0.0000,Pass
kV3,165,2,-1.8051,143.0300,84.8281,98.3987,5651.5800,0.0000,0.0000,Pass
kV3,165,8,-3.4588,143.0240,84.6232,98.5410,5624.3000,0.0000,0.0000,Pass
kV3,165,9,-3.3087,143.0240,84.6901,97.1417,5633.2000,0.0000,0.0000,Pass
kV3,165,10,-3.1581,143.0250,84.5473,96.5733,5614.2200,0.0000,0.0000,Pass
kV3,165,11,-3.0086,143.0250,84.3820,97.7176,5592.2900,0.0000,0.0000,Pass
kV3,165,12,-2.8577,143.0260,84.2611,97.6071,5576.2800,0.0000,0.0000,Pass
kV3,165,13,-2.7075,143.0270,84.5607,97.8948,5616.0000,0.0000,0.0000,Pass
kV3,165,14,-2.5569,143.0270,84.5830,97.9445,5618.9700,0.0000,0.0000,Pass
kV3,165,15,-2.4060,143.0280,84.0099,97.9834,5543.0800,0.0000,0.0000,Pass
kV3,165,16,-2.2567,143.0280,84.8192,98.8283,5650.3900,0.0000,0.0000,Pass
kV3,165,17,-1.9559,143.0300,83.9065,97.0274,5529.4400,0.0000,0.0000,Pass
kV3,165,18,-1.6545,143.0310,84.5518,97.9825,5614.8200,0.0000,0.0000,Pass
kV3,165,19,-1.5043,143.0320,84.3775,96.7705,5591.6900,0.0000,0.0000,Pass
kV3,165,20,-1.3537,143.0320,84.9304,97.2211,5665.2100,0.0000,0.0000,Pass
kV3,165,21,-1.2031,143.0320,84.8637,97.7466,5656.3200,0.0000,0.0000,Pass
kV3,165,22,-1.0530,143.0340,85.2144,97.4265,5703.1600,0.0000,0.0000,Pass
kV3,165,23,-0.9022,143.0340,85.2675,96.3494,5710.2700,0.0000,0.0000,Pass
kV3,165,31,-3.3078,142.8740,84.3641,97.1017,5589.9200,0.0000,0.0000,Pass
kV3,165,32,-2.5563,142.8760,84.0548,98.2904,5549.0000,0.0000,0.0000,Pass
kV3,165,33,-2.1057,142.8790,83.5594,97.8733,5483.7800,0.0000,0.0000,Pass
kV3,165,34,-1.8045,142.8800,84.0773,98.8763,5551.9700,0.0000,0.0000,Pass
kV3,165,35,-1.6546,142.8810,83.8525,98.7225,5522.3200,0.0000,0.0000,Pass
kV3,165,36,-1.5041,142.8810,83.8570,98.0257,5522.9200,0.0000,0.0000,Pass
kV3,165,37,-1.0523,142.8830,84.3596,97.3539,5589.3200,0.0000,0.0000,Pass
kV3,165,38,-0.9017,142.8830,85.0991,97.1930,5687.7400,0.0000,0.0000,Pass
kV3,165,41,-3.4584,142.8730,84.1401,97.8072,5560.2700,0.0000,0.0000,Pass
kV3,165,42,-3.1578,142.8740,84.3059,97.2667,5582.2100,0.0000,0.0000,Pass
kV3,165,43,-3.0076,142.8750,83.8165,97.3618,5517.5800,0.0000,0.0000,Pass
kV3,165,44,-2.8570,142.8750,83.5955,98.7022,5488.5300,0.0000,0.0000,Pass
kV3,165,45,-2.7073,142.8760,84.0773,97.5872,5551.9700,0.0000,0.0000,Pass
kV3,165,46,-2.4057,142.8770,83.6722,98.4963,5498.6100,0.0000,0.0000,Pass
kV3,165,47,-2.2562,142.8780,84.0009,97.7713,5541.8900,0.0000,0.0000,Pass
kV3,165,48,-1.9553,142.8790,83.7173,98.4564,5504.5400,0.0000,0.0000,Pass
kV3,165,49,-1.3534,142.8820,84.3507,99.0559,5588.1400,0.0000,0.0000,Pass
kV3,165,50,-1.2020,142.8820,84.4401,97.1978,5599.9900,0.0000,0.0000,Pass
kV3,165,60,-3.4579,142.7220,83.6271,99.1353,5492.6800,0.0000,0.0000,Pass
kV3,165,61,-3.3081,142.7240,83.7804,97.2919,5512.8400,0.0000,0.0000,Pass
kV3,165,62,-3.0074,142.7240,83.3015,98.3349,5449.9900,0.0000,0.0000,Pass
kV3,165,63,-2.8568,142.7250,83.5413,97.8635,5481.4100,0.0000,0.0000,Pass
kV3,165,64,-2.7068,142.7250,83.2471,98.7979,5442.8700,0.0000,0.0000,Pass
kV3,165,65,-2.2555,142.7270,83.5955,96.9097,5488.5300,0.0000,0.0000,Pass
kV3,165,66,-2.1052,142.7280,83.3015,99.3483,5449.9900,0.0000,0.0000,Pass
kV3,165,67,-1.9542,142.7290,83.6091,98.9941,5490.3100,0.0000,0.0000,Pass
kV3,165,68,-1.8043,142.7290,83.3468,99.4980,5455.9200,0.0000,0.0000,Pass
kV3,165,69,-1.6541,142.7300,83.3966,97.7028,5462.4400,0.0000,0.0000,Pass
kV3,165,70,-1.5034,142.7300,83.7985,98.8823,5515.2100,0.0000,0.0000,Pass
kV3,165,71,-1.3521,142.7310,83.9695,98.1157,5537.7400,0.0000,0.0000,Pass
kV3,165,72,-0.9013,142.7330,84.1222,97.3379,5557.9000,0.0000,0.0000,Pass
kV3,165,77,-3.1574,142.7240,83.6000,97.9622,5489.1200,0.0000,0.0000,Pass
kV3,165,78,-2.5559,142.7260,83.8480,98.2206,5521.7300,0.0000,0.0000,Pass
kV3,165,79,-2.4055,142.7270,83.4509,98.9364,5469.5600,0.0000,0.0000,Pass
kV3,165,80,-1.2016,142.7320,83.6046,98.5814,5489.7100,0.0000,0.0000,Pass
kV3,165,81,-1.0517,142.7320,84.3238,98.2533,5584.5800,0.0000,0.0000,Pass
kV3,165,85,-1.2020,142.5810,83.7849,97.6686,5513.4300,0.0000,0.0000,Pass
kV3,165,90,-3.4573,142.5720,83.4373,98.4210,5467.7800,0.0000,0.0000,Pass
kV3,165,91,-3.3074,142.5730,83.6903,98.9296,5500.9800,0.0000,0.0000,Pass
kV3,165,92,-3.1567,142.5730,83.4645,98.4297,5471.3300,0.0000,0.0000,Pass
kV3,165,93,-3.0064,142.5740,83.1518,98.2222,5430.4200,0.0000,0.0000,Pass
kV3,165,94,-2.8563,142.5740,83.5233,98.1969,5479.0400,0.0000,0.0000,Pass
kV3,165,95,-2.7056,142.5750,83.6768,98.3774,5499.2000,0.0000,0.0000,Pass
kV3,165,96,-2.5553,142.5750,83.6226,98.5368,5492.0900,0.0000,0.0000,Pass
kV3,165,97,-2.4050,142.5760,83.4102,98.5732,5464.2200,0.0000,0.0000,Pass
kV3,165,98,-2.2553,142.5770,83.6181,98.2804,5491.4900,0.0000,0.0000,Pass
kV3,165,99,-2.1046,142.5770,82.9473,99.0181,5403.7400,0.0000,0.0000,Pass
kV3,165,100,-1.9544,142.5790,83.5820,98.7349,5486.7500,0.0000,0.0000,Pass
kV3,165,101,-1.8036,142.5790,83.4057,98.3076,5463.6300,0.0000,0.0000,Pass
kV3,165,102,-1.6529,142.5790,83.2244,97.9109,5439.9100,0.0000,0.0000,Pass
kV3,165,103,-1.5035,142.5800,83.1882,98.2707,5435.1700,0.0000,0.0000,Pass
kV3,165,104,-1.3517,142.5810,83.6226,99.2381,5492.0900,0.0000,0.0000,Pass
kV3,165,105,-1.0519,142.5810,84.1132,98.2411,5556.7100,0.0000,0.0000,Pass
kV3,165,106,-0.9008,142.5820,84.2298,97.9576,5572.1300,0.0000,0.0000,Pass
kV3,165,115,-3.4561,142.4220,83.4419,98.2908,5468.3700,0.0000,0.0000,Pass
kV3,165,116,-3.3065,142.4220,84.0728,98.7888,5551.3800,0.0000,0.0000,Pass
kV3,165,117,-3.1562,142.4230,84.0593,98.7637,5549.6000,0.0000,0.0000,Pass
kV3,165,118,-3.0057,142.4230,83.4147,98.6859,5464.8100,0.0000,0.0000,Pass
kV3,165,119,-2.7055,142.4240,83.6361,99.2833,5493.8600,0.0000,0.0000,Pass
kV3,165,120,-2.5548,142.4250,83.9605,99.1489,5536.5500,0.0000,0.0000,Pass
kV3,165,121,-2.1040,142.4270,83.7083,99.2517,5503.3500,0.0000,0.0000,Pass
kV3,165,122,-1.9534,142.4280,83.3649,98.6027,5458.2900,0.0000,0.0000,Pass
kV3,165,123,-1.6530,142.4290,83.4419,98.5314,5468.3700,0.0000,0.0000,Pass
