BumpId,Flag,Failure,Diameter,Area,Roundness,VoidFraction,LargestVoidFraction,VoidNumber,Centre_X,Centre_Y,LargestVoidDiameterFraction
1,1,0,77.5962,4729.0200,97.5561,0.0000,0.0000,0,-15.8524,6.6775,0.0000
2,1,0,77.5913,4728.4200,97.2397,0.0000,0.0000,0,-15.5513,6.6785,0.0000
8,1,0,77.5719,4726.0500,97.2321,0.0000,0.0000,0,-17.2045,6.6722,0.0000
9,1,0,77.5816,4727.2400,98.3847,0.0000,0.0000,0,-17.0543,6.6734,0.0000
10,1,0,76.9710,4653.1200,99.3345,0.0000,0.0000,0,-16.9042,6.6732,0.0000
11,1,0,77.5427,4722.4900,98.6981,0.0000,0.0000,0,-16.7539,6.6740,0.0000
12,1,0,77.9747,4775.2600,98.7107,0.0000,0.0000,0,-16.6034,6.6742,0.0000
13,1,0,77.0054,4657.2700,97.8079,0.0000,0.0000,0,-16.4535,6.6749,0.0000
14,1,0,77.5378,4721.9000,98.3608,0.0000,0.0000,0,-16.3029,6.6749,0.0000
15,1,0,77.4258,4708.2600,98.9227,0.0000,0.0000,0,-16.1525,6.6756,0.0000
16,1,0,77.5573,4724.2700,99.2349,0.0000,0.0000,0,-16.0027,6.6761,0.0000
17,1,0,77.5524,4723.6800,98.4406,0.0000,0.0000,0,-15.7017,6.6780,0.0000
18,1,0,77.5816,4727.2400,98.2003,0.0000,0.0000,0,-15.4006,6.6783,0.0000
19,1,0,77.7760,4750.9500,98.8113,0.0000,0.0000,0,-15.2500,6.6788,0.0000
20,1,0,77.4063,4705.8900,98.2854,0.0000,0.0000,0,-15.1003,6.6798,0.0000
21,1,0,77.5232,4720.1200,97.0674,0.0000,0.0000,0,-14.9494,6.6805,0.0000
22,1,0,78.0956,4790.0900,97.6660,0.0000,0.0000,0,-14.7986,6.6810,0.0000
23,1,0,78.2646,4810.8400,97.8872,0.0000,0.0000,0,-14.6480,6.6807,0.0000
31,1,0,77.4063,4705.8900,98.7832,0.0000,0.0000,0,-17.0536,6.5227,0.0000
32,1,0,77.0837,4666.7600,99.3262,0.0000,0.0000,0,-16.3025,6.5250,0.0000
33,1,0,76.9024,4644.8200,98.9891,0.0000,0.0000,0,-15.8519,6.5267,0.0000
34,1,0,77.4891,4715.9700,98.9338,0.0000,0.0000,0,-15.5511,6.5279,0.0000
35,1,0,77.1669,4676.8400,98.3233,0.0000,0.0000,0,-15.4007,6.5281,0.0000
36,1,0,77.1327,4672.6900,97.7361,0.0000,0.0000,0,-15.2503,6.5291,0.0000
37,1,0,77.4794,4714.7900,97.8683,0.0000,0.0000,0,-14.7985,6.5300,0.0000
38,1,0,78.1246,4793.6400,97.9685,0.0000,0.0000,0,-14.6477,6.5312,0.0000
41,1,0,77.0250,4659.6500,97.9488,0.0000,0.0000,0,-17.2039,6.5223,0.0000
42,1,0,76.9563,4651.3500,96.4113,0.0000,0.0000,0,-16.9035,6.5229,0.0000
43,1,0,76.7304,4624.0700,97.8330,0.0000,0.0000,0,-16.7534,6.5237,0.0000
44,1,0,76.8680,4640.6700,98.3030,0.0000,0.0000,0,-16.6034,6.5236,0.0000
45,1,0,77.2110,4682.1800,98.8979,0.0000,0.0000,0,-16.4532,6.5240,0.0000
46,1,0,77.2354,4685.1400,98.1917,0.0000,0.0000,0,-16.1521,6.5250,0.0000
47,1,0,77.4404,4710.0400,98.5813,0.0000,0.0000,0,-16.0018,6.5254,0.0000
48,1,0,77.3672,4701.1500,98.9565,0.0000,0.0000,0,-15.7013,6.5275,0.0000
49,1,0,77.2745,4689.8800,99.8227,0.0000,0.0000,0,-15.0995,6.5297,0.0000
50,1,0,77.0299,4660.2400,98.5933,0.0000,0.0000,0,-14.9487,6.5295,0.0000
60,1,0,77.0250,4659.6500,97.7878,0.0000,0.0000,0,-17.2035,6.3722,0.0000
61,1,0,76.7943,4631.7800,98.4441,0.0000,0.0000,0,-17.0534,6.3721,0.0000
62,1,0,76.9220,4647.1900,97.5981,0.0000,0.0000,0,-16.7526,6.3735,0.0000
63,1,0,77.0544,4663.2000,97.2218,0.0000,0.0000,0,-16.6030,6.3736,0.0000
64,1,0,77.1229,4671.5000,99.0620,0.0000,0.0000,0,-16.4525,6.3738,0.0000
65,1,0,76.8778,4641.8600,98.6353,0.0000,0.0000,0,-16.0015,6.3747,0.0000
66,1,0,77.0348,4660.8300,98.1513,0.0000,0.0000,0,-15.8516,6.3763,0.0000
67,1,0,76.6664,4616.3600,99.1244,0.0000,0.0000,0,-15.7013,6.3771,0.0000
68,1,0,76.8189,4634.7400,99.3538,0.0000,0.0000,0,-15.5504,6.3772,0.0000
69,1,0,77.0837,4666.7600,98.8233,0.0000,0.0000,0,-15.4002,6.3779,0.0000
70,1,0,77.1376,4673.2800,98.8776,0.0000,0.0000,0,-15.2495,6.3783,0.0000
71,1,0,77.2989,4692.8500,98.4803,0.0000,0.0000,0,-15.0993,6.3785,0.0000
72,1,0,77.3331,4697.0000,97.0382,0.0000,0.0000,0,-14.6472,6.3803,0.0000
77,1,0,77.1914,4679.8000,98.0168,0.0000,0.0000,0,-16.9035,6.3723,0.0000
78,1,0,76.5136,4597.9800,99.6186,0.0000,0.0000,0,-16.3020,6.3738,0.0000
79,1,0,76.4741,4593.2400,99.0241,0.0000,0.0000,0,-16.1521,6.3746,0.0000
80,1,0,77.2501,4686.9200,97.8251,0.0000,0.0000,0,-14.9486,6.3789,0.0000
81,1,0,77.6059,4730.2000,97.5109,0.0000,0.0000,0,-14.7981,6.3798,0.0000
85,1,0,77.0740,4665.5800,97.9637,0.0000,0.0000,0,-14.9484,6.2288,0.0000
90,1,0,77.1718,4677.4300,96.6458,0.0000,0.0000,0,-17.2033,6.2212,0.0000
91,1,0,77.1963,4680.4000,97.4647,0.0000,0.0000,0,-17.0526,6.2221,0.0000
92,1,0,77.1767,4678.0300,98.8403,0.0000,0.0000,0,-16.9032,6.2229,0.0000
93,1,0,76.8091,4633.5600,98.0458,0.0000,0.0000,0,-16.7526,6.2230,0.0000
94,1,0,77.5962,4729.0200,98.3891,0.0000,0.0000,0,-16.6022,6.2226,0.0000
95,1,0,76.6467,4613.9900,98.9757,0.0000,0.0000,0,-16.4522,6.2236,0.0000
96,1,0,76.9907,4655.5000,99.0791,0.0000,0.0000,0,-16.3020,6.2241,0.0000
97,1,0,76.8238,4635.3400,99.4436,0.0000,0.0000,0,-16.1516,6.2244,0.0000
98,1,0,77.3087,4694.0300,99.3232,0.0000,0.0000,0,-16.0012,6.2248,0.0000
99,1,0,77.1327,4672.6900,98.8348,0.0000,0.0000,0,-15.8511,6.2257,0.0000
100,1,0,76.9858,4654.9000,97.8408,0.0000,0.0000,0,-15.7008,6.2266,0.0000
101,1,0,77.1963,4680.4000,99.0971,0.0000,0.0000,0,-15.5503,6.2269,0.0000
102,1,0,77.2159,4682.7700,99.8498,0.0000,0.0000,0,-15.3997,6.2281,0.0000
103,1,0,77.3038,4693.4400,98.7478,0.0000,0.0000,0,-15.2490,6.2280,0.0000
104,1,0,77.2549,4687.5100,98.8611,0.0000,0.0000,0,-15.0987,6.2282,0.0000
105,1,0,77.9892,4777.0400,99.2459,0.0000,0.0000,0,-14.7979,6.2296,0.0000
106,1,0,77.4794,4714.7900,99.1368,0.0000,0.0000,0,-14.6472,6.2301,0.0000
115,1,0,77.5329,4721.3100,97.9768,0.0000,0.0000,0,-17.2022,6.0706,0.0000
116,1,0,77.6497,4735.5400,98.9726,0.0000,0.0000,0,-17.0526,6.0711,0.0000
117,1,0,77.1865,4679.2100,98.0440,0.0000,0.0000,0,-16.9023,6.0714,0.0000
118,1,0,77.4014,4705.3000,98.8750,0.0000,0.0000,0,-16.7523,6.0715,0.0000
119,1,0,76.9956,4656.0900,98.6578,0.0000,0.0000,0,-16.4514,6.0734,0.0000
120,1,0,77.4988,4717.1600,99.4396,0.0000,0.0000,0,-16.3013,6.0735,0.0000
121,1,0,77.7468,4747.4000,98.9860,0.0000,0.0000,0,-15.8508,6.0756,0.0000
122,1,0,77.9505,4772.3000,99.5867,0.0000,0.0000,0,-15.6999,6.0761,0.0000
123,1,0,77.3770,4702.3400,99.4796,0.0000,0.0000,0,-15.3996,6.0770,0.0000
124,1,0,77.5524,4723.6800,98.5437,0.0000,0.0000,0,-15.2485,6.0768,0.0000
125,1,0,77.8196,4756.2900,99.5233,0.0000,0.0000,0,-15.0978,6.0784,0.0000
